First_Name Middle_Name,Family_Name,Institution,Category
Luis,Gomez-Mejia,1,Economics & Business
John L,Butenhoff,1,Pharmacology & Toxicology
Frede,Blaabjerg,1,Engineering
Josep M,Guerrero,1,Engineering
Henrik,Lund,1,Engineering
Brian Vad,Mathiesen,1,Engineering
Remus,Teodorescu,1,Engineering
Christian,Torp-Pedersen,1,Clinical Medicine
Steen E,Husted,1,Clinical Medicine
Karl Anker,Jorgensen,1,Chemistry
Kim,Overvad,1,"Social Sciences, general"
Pavel,Hobza,1,Chemistry
Petr,Pysek,1,Environment/Ecology
Peter J,Campbell,1,Molecular Biology & Genetics
Nicholas J,Wareham,1,Molecular Biology & Genetics
Laura M,Walker,1,Microbiology
R S,Hill,1,Space Science
Douglas R,Worsnop,1,Geosciences
M R,Canagaratna,1,Geosciences
Pedro M,Coutinho,1,Plant & Animal Science
Rong,Tsao,1,Agricultural Sciences
D J,Daferera,1,Agricultural Sciences
M G,Polissiou,1,Agricultural Sciences
Didier,Raoult,1,Microbiology
Pedro M,Coutinho,1,Biology & Biochemistry
Richard B,Lipton,1,Neuroscience & Behavior
Alberto,Jimenez-Valverde,1,Environment/Ecology
Peter J,Winzer,1,Engineering
David,Binns,1,Biology & Biochemistry
Christian W,Hamm,1,Clinical Medicine
Anees L,Ahmad,1,Engineering
Norman,Wolmark,1,Clinical Medicine
Ahmedin,Jemal,1,Clinical Medicine
Robert A,Smith,1,Clinical Medicine
Michael J,Thun,1,Clinical Medicine
Michael J,Thun,1,"Social Sciences, general"
Elizabeth M,Ward,1,Clinical Medicine
Donald E,Casey,1,Clinical Medicine
Mark R,Somerfield,1,Clinical Medicine
Martin B,Leon,1,Clinical Medicine
Mehdi,Dehghan,1,Engineering
Mehdi,Dehghan,1,Mathematics
Aldo Pietro,Maggioni,1,Clinical Medicine
Howard J,Brewington,1,Space Science
Daniel C,Long,1,Space Science
Jonathan,Brinkmann,1,Space Science
David G,Streets,1,Geosciences
Yugang,Sun,1,Materials Science
