Web Search interest: anne+osborn+krueger
Worldwide 2004 - present

Interest over time
Week,anne+osborn+krueger
2004-01-04 - 2004-01-10,56
2004-01-11 - 2004-01-17,54
2004-01-18 - 2004-01-24,56
2004-01-25 - 2004-01-31,55
2004-02-01 - 2004-02-07,56
2004-02-08 - 2004-02-14,53
2004-02-15 - 2004-02-21,53
2004-02-22 - 2004-02-28,55
2004-02-29 - 2004-03-06,54
2004-03-07 - 2004-03-13,54
2004-03-14 - 2004-03-20,55
2004-03-21 - 2004-03-27,54
2004-03-28 - 2004-04-03,55
2004-04-04 - 2004-04-10,55
2004-04-11 - 2004-04-17,54
2004-04-18 - 2004-04-24,53
2004-04-25 - 2004-05-01,54
2004-05-02 - 2004-05-08,53
2004-05-09 - 2004-05-15,51
2004-05-16 - 2004-05-22,49
2004-05-23 - 2004-05-29,48
2004-05-30 - 2004-06-05,47
2004-06-06 - 2004-06-12,47
2004-06-13 - 2004-06-19,48
2004-06-20 - 2004-06-26,46
2004-06-27 - 2004-07-03,45
2004-07-04 - 2004-07-10,43
2004-07-11 - 2004-07-17,44
2004-07-18 - 2004-07-24,46
2004-07-25 - 2004-07-31,46
2004-08-01 - 2004-08-07,47
2004-08-08 - 2004-08-14,49
2004-08-15 - 2004-08-21,48
2004-08-22 - 2004-08-28,49
2004-08-29 - 2004-09-04,48
2004-09-05 - 2004-09-11,47
2004-09-12 - 2004-09-18,49
2004-09-19 - 2004-09-25,49
2004-09-26 - 2004-10-02,50
2004-10-03 - 2004-10-09,49
2004-10-10 - 2004-10-16,50
2004-10-17 - 2004-10-23,54
2004-10-24 - 2004-10-30,53
2004-10-31 - 2004-11-06,51
2004-11-07 - 2004-11-13,49
2004-11-14 - 2004-11-20,53
2004-11-21 - 2004-11-27,48
2004-11-28 - 2004-12-04,51
2004-12-05 - 2004-12-11,51
2004-12-12 - 2004-12-18,52
2004-12-19 - 2004-12-25,53
2004-12-26 - 2005-01-01,51
2005-01-02 - 2005-01-08,56
2005-01-09 - 2005-01-15,53
2005-01-16 - 2005-01-22,51
2005-01-23 - 2005-01-29,54
