Web Search interest: carlo+la+vecchia
Worldwide 2004 - present

Interest over time
Week,carlo+la+vecchia
2004-01-04 - 2004-01-10,59
2004-01-11 - 2004-01-17,65
2004-01-18 - 2004-01-24,67
2004-01-25 - 2004-01-31,67
2004-02-01 - 2004-02-07,65
2004-02-08 - 2004-02-14,69
2004-02-15 - 2004-02-21,67
2004-02-22 - 2004-02-28,68
2004-02-29 - 2004-03-06,70
2004-03-07 - 2004-03-13,73
2004-03-14 - 2004-03-20,73
2004-03-21 - 2004-03-27,72
2004-03-28 - 2004-04-03,74
2004-04-04 - 2004-04-10,64
2004-04-11 - 2004-04-17,74
2004-04-18 - 2004-04-24,76
2004-04-25 - 2004-05-01,76
2004-05-02 - 2004-05-08,78
2004-05-09 - 2004-05-15,74
2004-05-16 - 2004-05-22,75
2004-05-23 - 2004-05-29,75
2004-05-30 - 2004-06-05,76
2004-06-06 - 2004-06-12,73
2004-06-13 - 2004-06-19,70
2004-06-20 - 2004-06-26,67
2004-06-27 - 2004-07-03,63
2004-07-04 - 2004-07-10,63
2004-07-11 - 2004-07-17,60
2004-07-18 - 2004-07-24,60
2004-07-25 - 2004-07-31,60
2004-08-01 - 2004-08-07,61
2004-08-08 - 2004-08-14,62
2004-08-15 - 2004-08-21,64
2004-08-22 - 2004-08-28,70
2004-08-29 - 2004-09-04,72
2004-09-05 - 2004-09-11,74
2004-09-12 - 2004-09-18,70
2004-09-19 - 2004-09-25,74
2004-09-26 - 2004-10-02,76
2004-10-03 - 2004-10-09,76
2004-10-10 - 2004-10-16,74
2004-10-17 - 2004-10-23,75
2004-10-24 - 2004-10-30,74
2004-10-31 - 2004-11-06,70
2004-11-07 - 2004-11-13,74
2004-11-14 - 2004-11-20,76
2004-11-21 - 2004-11-27,77
2004-11-28 - 2004-12-04,72
2004-12-05 - 2004-12-11,66
2004-12-12 - 2004-12-18,64
2004-12-19 - 2004-12-25,57
2004-12-26 - 2005-01-01,59
2005-01-02 - 2005-01-08,61
2005-01-09 - 2005-01-15,68
2005-01-16 - 2005-01-22,68
2005-01-23 - 2005-01-29,69
2005-01-30 - 2005-02-05,69
2005-02-06 - 2005-02-12,71
2005-02-13 - 2005-02-19,72
2005-02-20 - 2005-02-26,72
2005-02-27 - 2005-03-05,73
2005-03-06 - 2005-03-12,76
2005-03-13 - 2005-03-19,74
2005-03-20 - 2005-03-26,67
2005-03-27 - 2005-04-02,75
2005-04-03 - 2005-04-09,79
2005-04-10 - 2005-04-16,80
