Web Search interest: douglas+diamond
Worldwide 2004 - present

Interest over time
Week,douglas+diamond
2004-01-04 - 2004-01-10,74
2004-01-11 - 2004-01-17,75
2004-01-18 - 2004-01-24,76
2004-01-25 - 2004-01-31,77
2004-02-01 - 2004-02-07,80
2004-02-08 - 2004-02-14,78
2004-02-15 - 2004-02-21,79
2004-02-22 - 2004-02-28,74
2004-02-29 - 2004-03-06,76
2004-03-07 - 2004-03-13,72
2004-03-14 - 2004-03-20,71
2004-03-21 - 2004-03-27,70
2004-03-28 - 2004-04-03,74
2004-04-04 - 2004-04-10,71
2004-04-11 - 2004-04-17,70
2004-04-18 - 2004-04-24,70
2004-04-25 - 2004-05-01,69
2004-05-02 - 2004-05-08,72
2004-05-09 - 2004-05-15,68
2004-05-16 - 2004-05-22,71
2004-05-23 - 2004-05-29,69
2004-05-30 - 2004-06-05,67
2004-06-06 - 2004-06-12,67
2004-06-13 - 2004-06-19,67
2004-06-20 - 2004-06-26,67
2004-06-27 - 2004-07-03,68
2004-07-04 - 2004-07-10,78
2004-07-11 - 2004-07-17,72
2004-07-18 - 2004-07-24,73
2004-07-25 - 2004-07-31,73
2004-08-01 - 2004-08-07,73
2004-08-08 - 2004-08-14,71
2004-08-15 - 2004-08-21,70
2004-08-22 - 2004-08-28,67
2004-08-29 - 2004-09-04,67
2004-09-05 - 2004-09-11,68
2004-09-12 - 2004-09-18,70
2004-09-19 - 2004-09-25,66
2004-09-26 - 2004-10-02,68
2004-10-03 - 2004-10-09,64
2004-10-10 - 2004-10-16,66
2004-10-17 - 2004-10-23,70
2004-10-24 - 2004-10-30,70
2004-10-31 - 2004-11-06,69
2004-11-07 - 2004-11-13,69
2004-11-14 - 2004-11-20,74
2004-11-21 - 2004-11-27,71
2004-11-28 - 2004-12-04,81
2004-12-05 - 2004-12-11,83
2004-12-12 - 2004-12-18,79
2004-12-19 - 2004-12-25,75
2004-12-26 - 2005-01-01,70
2005-01-02 - 2005-01-08,73
2005-01-09 - 2005-01-15,68
2005-01-16 - 2005-01-22,70
2005-01-23 - 2005-01-29,71
2005-01-30 - 2005-02-05,72
2005-02-06 - 2005-02-12,78
2005-02-13 - 2005-02-19,76
2005-02-20 - 2005-02-26,70
2005-02-27 - 2005-03-05,69
2005-03-06 - 2005-03-12,68
2005-03-13 - 2005-03-19,69
2005-03-20 - 2005-03-26,66
2005-03-27 - 2005-04-02,66
