Web Search interest: ernst+fehr
Worldwide 2004 - present

Interest over time
Week,ernst+fehr
2004-01-04 - 2004-01-10,81
2004-01-11 - 2004-01-17,84
2004-01-18 - 2004-01-24,80
2004-01-25 - 2004-01-31,83
2004-02-01 - 2004-02-07,80
2004-02-08 - 2004-02-14,85
2004-02-15 - 2004-02-21,82
2004-02-22 - 2004-02-28,87
2004-02-29 - 2004-03-06,82
2004-03-07 - 2004-03-13,80
2004-03-14 - 2004-03-20,80
2004-03-21 - 2004-03-27,69
2004-03-28 - 2004-04-03,77
2004-04-04 - 2004-04-10,72
2004-04-11 - 2004-04-17,81
2004-04-18 - 2004-04-24,88
2004-04-25 - 2004-05-01,78
2004-05-02 - 2004-05-08,77
2004-05-09 - 2004-05-15,76
2004-05-16 - 2004-05-22,71
2004-05-23 - 2004-05-29,73
2004-05-30 - 2004-06-05,65
2004-06-06 - 2004-06-12,70
2004-06-13 - 2004-06-19,72
2004-06-20 - 2004-06-26,74
2004-06-27 - 2004-07-03,70
2004-07-04 - 2004-07-10,72
2004-07-11 - 2004-07-17,66
2004-07-18 - 2004-07-24,69
2004-07-25 - 2004-07-31,69
2004-08-01 - 2004-08-07,70
2004-08-08 - 2004-08-14,71
2004-08-15 - 2004-08-21,69
2004-08-22 - 2004-08-28,73
2004-08-29 - 2004-09-04,68
2004-09-05 - 2004-09-11,73
2004-09-12 - 2004-09-18,81
2004-09-19 - 2004-09-25,82
2004-09-26 - 2004-10-02,76
2004-10-03 - 2004-10-09,76
2004-10-10 - 2004-10-16,76
2004-10-17 - 2004-10-23,75
2004-10-24 - 2004-10-30,75
2004-10-31 - 2004-11-06,71
2004-11-07 - 2004-11-13,68
2004-11-14 - 2004-11-20,79
2004-11-21 - 2004-11-27,76
2004-11-28 - 2004-12-04,76
2004-12-05 - 2004-12-11,75
2004-12-12 - 2004-12-18,76
2004-12-19 - 2004-12-25,66
2004-12-26 - 2005-01-01,57
2005-01-02 - 2005-01-08,71
2005-01-09 - 2005-01-15,76
2005-01-16 - 2005-01-22,76
2005-01-23 - 2005-01-29,77
2005-01-30 - 2005-02-05,79
2005-02-06 - 2005-02-12,81
2005-02-13 - 2005-02-19,78
2005-02-20 - 2005-02-26,76
2005-02-27 - 2005-03-05,80
2005-03-06 - 2005-03-12,78
2005-03-13 - 2005-03-19,76
2005-03-20 - 2005-03-26,68
2005-03-27 - 2005-04-02,67
2005-04-03 - 2005-04-09,100
2005-04-10 - 2005-04-16,97
2005-04-17 - 2005-04-23,77
2005-04-24 - 2005-04-30,74
2005-05-01 - 2005-05-07,70
2005-05-08 - 2005-05-14,74
2005-05-15 - 2005-05-21,68
2005-05-22 - 2005-05-28,67
2005-05-29 - 2005-06-04,69
2005-06-05 - 2005-06-11,72
2005-06-12 - 2005-06-18,69
2005-06-19 - 2005-06-25,67
2005-06-26 - 2005-07-02,68
2005-07-03 - 2005-07-09,67
2005-07-10 - 2005-07-16,62
2005-07-17 - 2005-07-23,64
2005-07-24 - 2005-07-30,58
2005-07-31 - 2005-08-06,62
2005-08-07 - 2005-08-13,63
2005-08-14 - 2005-08-20,62
2005-08-21 - 2005-08-27,65
2005-08-28 - 2005-09-03,64
2005-09-04 - 2005-09-10,68
2005-09-11 - 2005-09-17,73
2005-09-18 - 2005-09-24,70
2005-09-25 - 2005-10-01,72
2005-10-02 - 2005-10-08,67
2005-10-09 - 2005-10-15,70
2005-10-16 - 2005-10-22,71
2005-10-23 - 2005-10-29,69
2005-10-30 - 2005-11-05,68
2005-11-06 - 2005-11-12,70
2005-11-13 - 2005-11-19,72
2005-11-20 - 2005-11-26,69
2005-11-27 - 2005-12-03,69
2005-12-04 - 2005-12-10,67
2005-12-11 - 2005-12-17,69
2005-12-18 - 2005-12-24,61
2005-12-25 - 2005-12-31,48
2006-01-01 - 2006-01-07,63
2006-01-08 - 2006-01-14,69
2006-01-15 - 2006-01-21,68
2006-01-22 - 2006-01-28,67
2006-01-29 - 2006-02-04,68
2006-02-05 - 2006-02-11,68
2006-02-12 - 2006-02-18,69
