Web Search interest: robert+peter+gale
Worldwide 2004 - present

Interest over time
Week,robert+peter+gale
2004-01-04 - 2004-01-10,98
2004-01-11 - 2004-01-17,98
2004-01-18 - 2004-01-24,100
2004-01-25 - 2004-01-31,96
2004-02-01 - 2004-02-07,97
2004-02-08 - 2004-02-14,98
2004-02-15 - 2004-02-21,95
2004-02-22 - 2004-02-28,97
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,95
2004-03-14 - 2004-03-20,94
2004-03-21 - 2004-03-27,92
2004-03-28 - 2004-04-03,96
2004-04-04 - 2004-04-10,93
2004-04-11 - 2004-04-17,91
2004-04-18 - 2004-04-24,91
2004-04-25 - 2004-05-01,93
2004-05-02 - 2004-05-08,92
2004-05-09 - 2004-05-15,88
2004-05-16 - 2004-05-22,89
2004-05-23 - 2004-05-29,86
2004-05-30 - 2004-06-05,82
2004-06-06 - 2004-06-12,85
2004-06-13 - 2004-06-19,83
2004-06-20 - 2004-06-26,83
2004-06-27 - 2004-07-03,80
2004-07-04 - 2004-07-10,79
2004-07-11 - 2004-07-17,82
2004-07-18 - 2004-07-24,82
2004-07-25 - 2004-07-31,86
2004-08-01 - 2004-08-07,83
2004-08-08 - 2004-08-14,82
2004-08-15 - 2004-08-21,82
2004-08-22 - 2004-08-28,82
2004-08-29 - 2004-09-04,80
2004-09-05 - 2004-09-11,81
2004-09-12 - 2004-09-18,82
2004-09-19 - 2004-09-25,83
2004-09-26 - 2004-10-02,83
2004-10-03 - 2004-10-09,84
2004-10-10 - 2004-10-16,84
2004-10-17 - 2004-10-23,84
2004-10-24 - 2004-10-30,84
2004-10-31 - 2004-11-06,82
2004-11-07 - 2004-11-13,83
2004-11-14 - 2004-11-20,86
2004-11-21 - 2004-11-27,82
2004-11-28 - 2004-12-04,84
2004-12-05 - 2004-12-11,88
2004-12-12 - 2004-12-18,86
2004-12-19 - 2004-12-25,79
2004-12-26 - 2005-01-01,76
2005-01-02 - 2005-01-08,87
2005-01-09 - 2005-01-15,88
2005-01-16 - 2005-01-22,88
2005-01-23 - 2005-01-29,88
2005-01-30 - 2005-02-05,85
2005-02-06 - 2005-02-12,85
2005-02-13 - 2005-02-19,86
2005-02-20 - 2005-02-26,86
2005-02-27 - 2005-03-05,84
2005-03-06 - 2005-03-12,87
2005-03-13 - 2005-03-19,90
2005-03-20 - 2005-03-26,84
2005-03-27 - 2005-04-02,83
2005-04-03 - 2005-04-09,85
2005-04-10 - 2005-04-16,82
2005-04-17 - 2005-04-23,83
2005-04-24 - 2005-04-30,86
2005-05-01 - 2005-05-07,85
2005-05-08 - 2005-05-14,85
2005-05-15 - 2005-05-21,83
2005-05-22 - 2005-05-28,81
2005-05-29 - 2005-06-04,78
2005-06-05 - 2005-06-11,78
2005-06-12 - 2005-06-18,78
2005-06-19 - 2005-06-25,76
2005-06-26 - 2005-07-02,76
2005-07-03 - 2005-07-09,74
2005-07-10 - 2005-07-16,75
2005-07-17 - 2005-07-23,77
2005-07-24 - 2005-07-30,75
2005-07-31 - 2005-08-06,78
2005-08-07 - 2005-08-13,93
2005-08-14 - 2005-08-20,81
2005-08-21 - 2005-08-27,78
2005-08-28 - 2005-09-03,73
2005-09-04 - 2005-09-10,75
2005-09-11 - 2005-09-17,78
2005-09-18 - 2005-09-24,77
2005-09-25 - 2005-10-01,80
2005-10-02 - 2005-10-08,80
2005-10-09 - 2005-10-15,82
2005-10-16 - 2005-10-22,80
2005-10-23 - 2005-10-29,80
2005-10-30 - 2005-11-05,81
2005-11-06 - 2005-11-12,80
2005-11-13 - 2005-11-19,83
2005-11-20 - 2005-11-26,77
2005-11-27 - 2005-12-03,81
2005-12-04 - 2005-12-10,83
2005-12-11 - 2005-12-17,81
2005-12-18 - 2005-12-24,76
2005-12-25 - 2005-12-31,70
2006-01-01 - 2006-01-07,78
2006-01-08 - 2006-01-14,79
2006-01-15 - 2006-01-21,79
2006-01-22 - 2006-01-28,81
2006-01-29 - 2006-02-04,79
2006-02-05 - 2006-02-11,77
2006-02-12 - 2006-02-18,78
2006-02-19 - 2006-02-25,77
2006-02-26 - 2006-03-04,77
2006-03-05 - 2006-03-11,77
2006-03-12 - 2006-03-18,78
2006-03-19 - 2006-03-25,75
2006-03-26 - 2006-04-01,74
2006-04-02 - 2006-04-08,75
2006-04-09 - 2006-04-15,75
2006-04-16 - 2006-04-22,75
2006-04-23 - 2006-04-29,75
2006-04-30 - 2006-05-06,76
2006-05-07 - 2006-05-13,73
2006-05-14 - 2006-05-20,73
2006-05-21 - 2006-05-27,71
2006-05-28 - 2006-06-03,71
2006-06-04 - 2006-06-10,70
2006-06-11 - 2006-06-17,69
2006-06-18 - 2006-06-24,68
2006-06-25 - 2006-07-01,68
2006-07-02 - 2006-07-08,64
2006-07-09 - 2006-07-15,68
2006-07-16 - 2006-07-22,69
2006-07-23 - 2006-07-29,68
2006-07-30 - 2006-08-05,68
2006-08-06 - 2006-08-12,68
2006-08-13 - 2006-08-19,70
2006-08-20 - 2006-08-26,70
2006-08-27 - 2006-09-02,68
2006-09-03 - 2006-09-09,75
2006-09-10 - 2006-09-16,74
2006-09-17 - 2006-09-23,71
2006-09-24 - 2006-09-30,72
2006-10-01 - 2006-10-07,71
2006-10-08 - 2006-10-14,70
2006-10-15 - 2006-10-21,71
2006-10-22 - 2006-10-28,72
2006-10-29 - 2006-11-04,71
2006-11-05 - 2006-11-11,73
2006-11-12 - 2006-11-18,70
2006-11-19 - 2006-11-25,69
2006-11-26 - 2006-12-02,69
2006-12-03 - 2006-12-09,68
2006-12-10 - 2006-12-16,76
2006-12-17 - 2006-12-23,66
2006-12-24 - 2006-12-30,60
2006-12-31 - 2007-01-06,67
2007-01-07 - 2007-01-13,69
2007-01-14 - 2007-01-20,68
2007-01-21 - 2007-01-27,72
2007-01-28 - 2007-02-03,70
2007-02-04 - 2007-02-10,69
2007-02-11 - 2007-02-17,76
2007-02-18 - 2007-02-24,73
2007-02-25 - 2007-03-03,70
2007-03-04 - 2007-03-10,69
2007-03-11 - 2007-03-17,70
2007-03-18 - 2007-03-24,71
2007-03-25 - 2007-03-31,69
2007-04-01 - 2007-04-07,67
2007-04-08 - 2007-04-14,68
2007-04-15 - 2007-04-21,67
2007-04-22 - 2007-04-28,69
2007-04-29 - 2007-05-05,72
2007-05-06 - 2007-05-12,70
2007-05-13 - 2007-05-19,71
2007-05-20 - 2007-05-26,68
2007-05-27 - 2007-06-02,67
2007-06-03 - 2007-06-09,68
2007-06-10 - 2007-06-16,70
2007-06-17 - 2007-06-23,66
2007-06-24 - 2007-06-30,65
2007-07-01 - 2007-07-07,65
2007-07-08 - 2007-07-14,65
2007-07-15 - 2007-07-21,65
2007-07-22 - 2007-07-28,65
2007-07-29 - 2007-08-04,65
2007-08-05 - 2007-08-11,65
2007-08-12 - 2007-08-18,64
2007-08-19 - 2007-08-25,65
2007-08-26 - 2007-09-01,65
2007-09-02 - 2007-09-08,63
2007-09-09 - 2007-09-15,65
2007-09-16 - 2007-09-22,70
2007-09-23 - 2007-09-29,66
2007-09-30 - 2007-10-06,67
2007-10-07 - 2007-10-13,69
2007-10-14 - 2007-10-20,67
2007-10-21 - 2007-10-27,67
2007-10-28 - 2007-11-03,71
2007-11-04 - 2007-11-10,68
2007-11-11 - 2007-11-17,69
2007-11-18 - 2007-11-24,71
2007-11-25 - 2007-12-01,77
2007-12-02 - 2007-12-08,77
2007-12-09 - 2007-12-15,70
2007-12-16 - 2007-12-22,66
2007-12-23 - 2007-12-29,60
2007-12-30 - 2008-01-05,66
2008-01-06 - 2008-01-12,68
2008-01-13 - 2008-01-19,66
2008-01-20 - 2008-01-26,66
2008-01-27 - 2008-02-02,69
2008-02-03 - 2008-02-09,70
2008-02-10 - 2008-02-16,68
2008-02-17 - 2008-02-23,65
2008-02-24 - 2008-03-01,68
2008-03-02 - 2008-03-08,67
2008-03-09 - 2008-03-15,66
2008-03-16 - 2008-03-22,63
2008-03-23 - 2008-03-29,65
2008-03-30 - 2008-04-05,66
2008-04-06 - 2008-04-12,66
2008-04-13 - 2008-04-19,66
2008-04-20 - 2008-04-26,66
2008-04-27 - 2008-05-03,65
2008-05-04 - 2008-05-10,66
2008-05-11 - 2008-05-17,67
2008-05-18 - 2008-05-24,67
2008-05-25 - 2008-05-31,68
2008-06-01 - 2008-06-07,64
2008-06-08 - 2008-06-14,62
2008-06-15 - 2008-06-21,62
2008-06-22 - 2008-06-28,61
2008-06-29 - 2008-07-05,60
2008-07-06 - 2008-07-12,62
2008-07-13 - 2008-07-19,61
2008-07-20 - 2008-07-26,61
2008-07-27 - 2008-08-02,59
2008-08-03 - 2008-08-09,62
2008-08-10 - 2008-08-16,61
2008-08-17 - 2008-08-23,60
2008-08-24 - 2008-08-30,62
2008-08-31 - 2008-09-06,59
2008-09-07 - 2008-09-13,63
2008-09-14 - 2008-09-20,63
2008-09-21 - 2008-09-27,63
2008-09-28 - 2008-10-04,65
2008-10-05 - 2008-10-11,66
2008-10-12 - 2008-10-18,68
2008-10-19 - 2008-10-25,65
2008-10-26 - 2008-11-01,66
2008-11-02 - 2008-11-08,65
2008-11-09 - 2008-11-15,68
2008-11-16 - 2008-11-22,71
2008-11-23 - 2008-11-29,72
2008-11-30 - 2008-12-06,74
2008-12-07 - 2008-12-13,73
2008-12-14 - 2008-12-20,71
2008-12-21 - 2008-12-27,70
2008-12-28 - 2009-01-03,74
2009-01-04 - 2009-01-10,76
