Web Search interest: victor+dzau
Worldwide 2004 - present

Interest over time
Week,victor+dzau
2004-01-04 - 2004-01-10,67
2004-01-11 - 2004-01-17,70
2004-01-18 - 2004-01-24,75
2004-01-25 - 2004-01-31,69
2004-02-01 - 2004-02-07,74
2004-02-08 - 2004-02-14,71
2004-02-15 - 2004-02-21,69
2004-02-22 - 2004-02-28,69
2004-02-29 - 2004-03-06,73
2004-03-07 - 2004-03-13,74
2004-03-14 - 2004-03-20,73
2004-03-21 - 2004-03-27,69
2004-03-28 - 2004-04-03,71
2004-04-04 - 2004-04-10,68
2004-04-11 - 2004-04-17,67
2004-04-18 - 2004-04-24,70
2004-04-25 - 2004-05-01,74
2004-05-02 - 2004-05-08,74
2004-05-09 - 2004-05-15,71
2004-05-16 - 2004-05-22,70
2004-05-23 - 2004-05-29,67
2004-05-30 - 2004-06-05,71
2004-06-06 - 2004-06-12,68
2004-06-13 - 2004-06-19,68
2004-06-20 - 2004-06-26,70
2004-06-27 - 2004-07-03,63
2004-07-04 - 2004-07-10,65
2004-07-11 - 2004-07-17,65
2004-07-18 - 2004-07-24,64
2004-07-25 - 2004-07-31,63
2004-08-01 - 2004-08-07,63
2004-08-08 - 2004-08-14,62
2004-08-15 - 2004-08-21,65
2004-08-22 - 2004-08-28,65
2004-08-29 - 2004-09-04,63
2004-09-05 - 2004-09-11,69
2004-09-12 - 2004-09-18,70
2004-09-19 - 2004-09-25,70
2004-09-26 - 2004-10-02,69
2004-10-03 - 2004-10-09,67
2004-10-10 - 2004-10-16,66
2004-10-17 - 2004-10-23,72
2004-10-24 - 2004-10-30,68
2004-10-31 - 2004-11-06,69
2004-11-07 - 2004-11-13,66
2004-11-14 - 2004-11-20,67
2004-11-21 - 2004-11-27,67
2004-11-28 - 2004-12-04,68
2004-12-05 - 2004-12-11,72
2004-12-12 - 2004-12-18,70
2004-12-19 - 2004-12-25,60
2004-12-26 - 2005-01-01,61
2005-01-02 - 2005-01-08,66
2005-01-09 - 2005-01-15,65
2005-01-16 - 2005-01-22,66
2005-01-23 - 2005-01-29,69
2005-01-30 - 2005-02-05,65
2005-02-06 - 2005-02-12,62
2005-02-13 - 2005-02-19,68
2005-02-20 - 2005-02-26,67
2005-02-27 - 2005-03-05,68
2005-03-06 - 2005-03-12,67
2005-03-13 - 2005-03-19,70
2005-03-20 - 2005-03-26,68
2005-03-27 - 2005-04-02,70
2005-04-03 - 2005-04-09,72
2005-04-10 - 2005-04-16,69
2005-04-17 - 2005-04-23,68
2005-04-24 - 2005-04-30,70
2005-05-01 - 2005-05-07,71
2005-05-08 - 2005-05-14,68
2005-05-15 - 2005-05-21,70
