Web Search interest: 30s
Worldwide 2004 - present

Interest over time
Week,30s
2004-01-04 - 2004-01-10,60
2004-01-11 - 2004-01-17,53
2004-01-18 - 2004-01-24,33
2004-01-25 - 2004-01-31,44
2004-02-01 - 2004-02-07,50
2004-02-08 - 2004-02-14,53
2004-02-15 - 2004-02-21,44
2004-02-22 - 2004-02-28,44
2004-02-29 - 2004-03-06,54
2004-03-07 - 2004-03-13,49
2004-03-14 - 2004-03-20,40
2004-03-21 - 2004-03-27,55
2004-03-28 - 2004-04-03,46
2004-04-04 - 2004-04-10,72
2004-04-11 - 2004-04-17,45
2004-04-18 - 2004-04-24,51
2004-04-25 - 2004-05-01,42
2004-05-02 - 2004-05-08,45
2004-05-09 - 2004-05-15,62
2004-05-16 - 2004-05-22,60
2004-05-23 - 2004-05-29,55
2004-05-30 - 2004-06-05,48
2004-06-06 - 2004-06-12,42
2004-06-13 - 2004-06-19,42
2004-06-20 - 2004-06-26,41
2004-06-27 - 2004-07-03,45
2004-07-04 - 2004-07-10,40
2004-07-11 - 2004-07-17,39
2004-07-18 - 2004-07-24,45
2004-07-25 - 2004-07-31,31
2004-08-01 - 2004-08-07,38
2004-08-08 - 2004-08-14,30
2004-08-15 - 2004-08-21,45
2004-08-22 - 2004-08-28,48
2004-08-29 - 2004-09-04,44
2004-09-05 - 2004-09-11,55
2004-09-12 - 2004-09-18,55
2004-09-19 - 2004-09-25,41
2004-09-26 - 2004-10-02,39
2004-10-03 - 2004-10-09,49
2004-10-10 - 2004-10-16,44
2004-10-17 - 2004-10-23,58
2004-10-24 - 2004-10-30,55
2004-10-31 - 2004-11-06,44
2004-11-07 - 2004-11-13,61
2004-11-14 - 2004-11-20,51
2004-11-21 - 2004-11-27,38
2004-11-28 - 2004-12-04,49
2004-12-05 - 2004-12-11,49
2004-12-12 - 2004-12-18,51
2004-12-19 - 2004-12-25,38
2004-12-26 - 2005-01-01,33
2005-01-02 - 2005-01-08,52
2005-01-09 - 2005-01-15,40
2005-01-16 - 2005-01-22,40
2005-01-23 - 2005-01-29,48
2005-01-30 - 2005-02-05,55
2005-02-06 - 2005-02-12,43
2005-02-13 - 2005-02-19,59
2005-02-20 - 2005-02-26,48
2005-02-27 - 2005-03-05,50
2005-03-06 - 2005-03-12,59
2005-03-13 - 2005-03-19,49
2005-03-20 - 2005-03-26,50
2005-03-27 - 2005-04-02,45
2005-04-03 - 2005-04-09,55
2005-04-10 - 2005-04-16,54
2005-04-17 - 2005-04-23,55
2005-04-24 - 2005-04-30,53
2005-05-01 - 2005-05-07,54
2005-05-08 - 2005-05-14,55
2005-05-15 - 2005-05-21,56
2005-05-22 - 2005-05-28,45
2005-05-29 - 2005-06-04,44
2005-06-05 - 2005-06-11,47
2005-06-12 - 2005-06-18,39
2005-06-19 - 2005-06-25,43
2005-06-26 - 2005-07-02,33
2005-07-03 - 2005-07-09,36
2005-07-10 - 2005-07-16,35
2005-07-17 - 2005-07-23,44
2005-07-24 - 2005-07-30,39
2005-07-31 - 2005-08-06,40
2005-08-07 - 2005-08-13,34
2005-08-14 - 2005-08-20,46
2005-08-21 - 2005-08-27,43
2005-08-28 - 2005-09-03,39
2005-09-04 - 2005-09-10,43
2005-09-11 - 2005-09-17,52
2005-09-18 - 2005-09-24,42
2005-09-25 - 2005-10-01,37
2005-10-02 - 2005-10-08,46
2005-10-09 - 2005-10-15,43
2005-10-16 - 2005-10-22,37
2005-10-23 - 2005-10-29,49
2005-10-30 - 2005-11-05,41
2005-11-06 - 2005-11-12,40
2005-11-13 - 2005-11-19,50
2005-11-20 - 2005-11-26,44
2005-11-27 - 2005-12-03,55
2005-12-04 - 2005-12-10,44
2005-12-11 - 2005-12-17,46
2005-12-18 - 2005-12-24,38
2005-12-25 - 2005-12-31,30
2006-01-01 - 2006-01-07,38
2006-01-08 - 2006-01-14,43
2006-01-15 - 2006-01-21,47
2006-01-22 - 2006-01-28,45
2006-01-29 - 2006-02-04,48
2006-02-05 - 2006-02-11,43
2006-02-12 - 2006-02-18,44
2006-02-19 - 2006-02-25,48
2006-02-26 - 2006-03-04,37
2006-03-05 - 2006-03-11,52
2006-03-12 - 2006-03-18,44
2006-03-19 - 2006-03-25,43
2006-03-26 - 2006-04-01,45
2006-04-02 - 2006-04-08,39
2006-04-09 - 2006-04-15,40
2006-04-16 - 2006-04-22,48
2006-04-23 - 2006-04-29,48
2006-04-30 - 2006-05-06,48
2006-05-07 - 2006-05-13,48
2006-05-14 - 2006-05-20,50
2006-05-21 - 2006-05-27,42
2006-05-28 - 2006-06-03,42
2006-06-04 - 2006-06-10,44
2006-06-11 - 2006-06-17,46
2006-06-18 - 2006-06-24,37
2006-06-25 - 2006-07-01,38
2006-07-02 - 2006-07-08,35
2006-07-09 - 2006-07-15,39
2006-07-16 - 2006-07-22,33
2006-07-23 - 2006-07-29,38
2006-07-30 - 2006-08-05,41
2006-08-06 - 2006-08-12,42
2006-08-13 - 2006-08-19,41
2006-08-20 - 2006-08-26,37
2006-08-27 - 2006-09-02,37
2006-09-03 - 2006-09-09,35
2006-09-10 - 2006-09-16,40
2006-09-17 - 2006-09-23,43
2006-09-24 - 2006-09-30,40
2006-10-01 - 2006-10-07,44
2006-10-08 - 2006-10-14,47
2006-10-15 - 2006-10-21,44
2006-10-22 - 2006-10-28,40
2006-10-29 - 2006-11-04,48
2006-11-05 - 2006-11-11,43
2006-11-12 - 2006-11-18,45
2006-11-19 - 2006-11-25,37
2006-11-26 - 2006-12-02,49
2006-12-03 - 2006-12-09,36
2006-12-10 - 2006-12-16,43
2006-12-17 - 2006-12-23,31
2006-12-24 - 2006-12-30,39
2006-12-31 - 2007-01-06,43
2007-01-07 - 2007-01-13,38
2007-01-14 - 2007-01-20,46
2007-01-21 - 2007-01-27,47
2007-01-28 - 2007-02-03,54
2007-02-04 - 2007-02-10,48
2007-02-11 - 2007-02-17,46
2007-02-18 - 2007-02-24,45
2007-02-25 - 2007-03-03,47
2007-03-04 - 2007-03-10,50
2007-03-11 - 2007-03-17,40
2007-03-18 - 2007-03-24,40
2007-03-25 - 2007-03-31,42
2007-04-01 - 2007-04-07,42
2007-04-08 - 2007-04-14,43
2007-04-15 - 2007-04-21,48
2007-04-22 - 2007-04-28,53
2007-04-29 - 2007-05-05,43
2007-05-06 - 2007-05-12,43
2007-05-13 - 2007-05-19,46
2007-05-20 - 2007-05-26,45
2007-05-27 - 2007-06-02,41
2007-06-03 - 2007-06-09,42
2007-06-10 - 2007-06-16,44
2007-06-17 - 2007-06-23,39
2007-06-24 - 2007-06-30,38
2007-07-01 - 2007-07-07,45
2007-07-08 - 2007-07-14,47
2007-07-15 - 2007-07-21,43
2007-07-22 - 2007-07-28,50
2007-07-29 - 2007-08-04,59
2007-08-05 - 2007-08-11,51
2007-08-12 - 2007-08-18,48
2007-08-19 - 2007-08-25,49
2007-08-26 - 2007-09-01,52
2007-09-02 - 2007-09-08,43
2007-09-09 - 2007-09-15,50
2007-09-16 - 2007-09-22,52
2007-09-23 - 2007-09-29,45
2007-09-30 - 2007-10-06,47
2007-10-07 - 2007-10-13,42
2007-10-14 - 2007-10-20,43
2007-10-21 - 2007-10-27,52
2007-10-28 - 2007-11-03,46
2007-11-04 - 2007-11-10,42
2007-11-11 - 2007-11-17,48
2007-11-18 - 2007-11-24,46
2007-11-25 - 2007-12-01,47
2007-12-02 - 2007-12-08,48
2007-12-09 - 2007-12-15,44
2007-12-16 - 2007-12-22,37
2007-12-23 - 2007-12-29,33
2007-12-30 - 2008-01-05,42
2008-01-06 - 2008-01-12,43
2008-01-13 - 2008-01-19,42
2008-01-20 - 2008-01-26,47
2008-01-27 - 2008-02-02,42
2008-02-03 - 2008-02-09,46
2008-02-10 - 2008-02-16,46
2008-02-17 - 2008-02-23,43
2008-02-24 - 2008-03-01,48
2008-03-02 - 2008-03-08,48
2008-03-09 - 2008-03-15,42
2008-03-16 - 2008-03-22,41
2008-03-23 - 2008-03-29,48
2008-03-30 - 2008-04-05,40
2008-04-06 - 2008-04-12,48
2008-04-13 - 2008-04-19,45
2008-04-20 - 2008-04-26,45
