Web Search interest: alkene
Worldwide 2004 - present

Interest over time
Week,alkene
2004-01-04 - 2004-01-10,46
2004-01-11 - 2004-01-17,35
2004-01-18 - 2004-01-24,59
2004-01-25 - 2004-01-31,51
2004-02-01 - 2004-02-07,63
2004-02-08 - 2004-02-14,46
2004-02-15 - 2004-02-21,54
2004-02-22 - 2004-02-28,44
2004-02-29 - 2004-03-06,96
2004-03-07 - 2004-03-13,74
2004-03-14 - 2004-03-20,65
2004-03-21 - 2004-03-27,71
2004-03-28 - 2004-04-03,34
2004-04-04 - 2004-04-10,46
2004-04-11 - 2004-04-17,49
2004-04-18 - 2004-04-24,41
2004-04-25 - 2004-05-01,55
2004-05-02 - 2004-05-08,58
2004-05-09 - 2004-05-15,50
2004-05-16 - 2004-05-22,47
2004-05-23 - 2004-05-29,40
2004-05-30 - 2004-06-05,59
2004-06-06 - 2004-06-12,32
2004-06-13 - 2004-06-19,45
2004-06-20 - 2004-06-26,49
2004-06-27 - 2004-07-03,42
2004-07-04 - 2004-07-10,38
2004-07-11 - 2004-07-17,27
2004-07-18 - 2004-07-24,31
2004-07-25 - 2004-07-31,13
2004-08-01 - 2004-08-07,19
2004-08-08 - 2004-08-14,27
2004-08-15 - 2004-08-21,26
2004-08-22 - 2004-08-28,29
2004-08-29 - 2004-09-04,21
2004-09-05 - 2004-09-11,36
2004-09-12 - 2004-09-18,39
2004-09-19 - 2004-09-25,37
2004-09-26 - 2004-10-02,53
2004-10-03 - 2004-10-09,65
2004-10-10 - 2004-10-16,46
2004-10-17 - 2004-10-23,62
2004-10-24 - 2004-10-30,71
2004-10-31 - 2004-11-06,82
2004-11-07 - 2004-11-13,82
2004-11-14 - 2004-11-20,67
2004-11-21 - 2004-11-27,82
2004-11-28 - 2004-12-04,86
2004-12-05 - 2004-12-11,74
2004-12-12 - 2004-12-18,42
2004-12-19 - 2004-12-25,39
2004-12-26 - 2005-01-01,14
2005-01-02 - 2005-01-08,41
2005-01-09 - 2005-01-15,42
2005-01-16 - 2005-01-22,60
2005-01-23 - 2005-01-29,51
