Web Search interest: biomedical engineering
Worldwide 2004 - present

Interest over time
Week,biomedical engineering
2004-01-04 - 2004-01-10,87
2004-01-11 - 2004-01-17,94
2004-01-18 - 2004-01-24,81
2004-01-25 - 2004-01-31,70
2004-02-01 - 2004-02-07,71
2004-02-08 - 2004-02-14,78
2004-02-15 - 2004-02-21,73
2004-02-22 - 2004-02-28,78
2004-02-29 - 2004-03-06,80
2004-03-07 - 2004-03-13,86
2004-03-14 - 2004-03-20,72
2004-03-21 - 2004-03-27,84
2004-03-28 - 2004-04-03,70
2004-04-04 - 2004-04-10,87
2004-04-11 - 2004-04-17,100
2004-04-18 - 2004-04-24,89
2004-04-25 - 2004-05-01,80
2004-05-02 - 2004-05-08,65
2004-05-09 - 2004-05-15,75
2004-05-16 - 2004-05-22,62
2004-05-23 - 2004-05-29,66
2004-05-30 - 2004-06-05,67
2004-06-06 - 2004-06-12,61
2004-06-13 - 2004-06-19,64
2004-06-20 - 2004-06-26,61
2004-06-27 - 2004-07-03,80
2004-07-04 - 2004-07-10,62
2004-07-11 - 2004-07-17,63
2004-07-18 - 2004-07-24,71
2004-07-25 - 2004-07-31,76
2004-08-01 - 2004-08-07,78
2004-08-08 - 2004-08-14,70
2004-08-15 - 2004-08-21,64
2004-08-22 - 2004-08-28,80
2004-08-29 - 2004-09-04,75
2004-09-05 - 2004-09-11,72
2004-09-12 - 2004-09-18,78
2004-09-19 - 2004-09-25,72
2004-09-26 - 2004-10-02,85
2004-10-03 - 2004-10-09,79
2004-10-10 - 2004-10-16,70
2004-10-17 - 2004-10-23,77
2004-10-24 - 2004-10-30,70
2004-10-31 - 2004-11-06,79
2004-11-07 - 2004-11-13,61
2004-11-14 - 2004-11-20,91
2004-11-21 - 2004-11-27,62
2004-11-28 - 2004-12-04,58
2004-12-05 - 2004-12-11,60
2004-12-12 - 2004-12-18,62
2004-12-19 - 2004-12-25,75
2004-12-26 - 2005-01-01,52
2005-01-02 - 2005-01-08,63
2005-01-09 - 2005-01-15,61
2005-01-16 - 2005-01-22,73
2005-01-23 - 2005-01-29,66
2005-01-30 - 2005-02-05,59
2005-02-06 - 2005-02-12,66
2005-02-13 - 2005-02-19,69
2005-02-20 - 2005-02-26,67
2005-02-27 - 2005-03-05,60
2005-03-06 - 2005-03-12,62
2005-03-13 - 2005-03-19,55
2005-03-20 - 2005-03-26,50
2005-03-27 - 2005-04-02,60
2005-04-03 - 2005-04-09,65
2005-04-10 - 2005-04-16,63
2005-04-17 - 2005-04-23,58
2005-04-24 - 2005-04-30,61
2005-05-01 - 2005-05-07,53
2005-05-08 - 2005-05-14,52
2005-05-15 - 2005-05-21,53
2005-05-22 - 2005-05-28,61
2005-05-29 - 2005-06-04,60
2005-06-05 - 2005-06-11,54
2005-06-12 - 2005-06-18,64
2005-06-19 - 2005-06-25,63
2005-06-26 - 2005-07-02,50
2005-07-03 - 2005-07-09,56
2005-07-10 - 2005-07-16,52
2005-07-17 - 2005-07-23,53
2005-07-24 - 2005-07-30,54
2005-07-31 - 2005-08-06,56
2005-08-07 - 2005-08-13,59
2005-08-14 - 2005-08-20,61
2005-08-21 - 2005-08-27,71
2005-08-28 - 2005-09-03,61
2005-09-04 - 2005-09-10,52
2005-09-11 - 2005-09-17,60
2005-09-18 - 2005-09-24,64
2005-09-25 - 2005-10-01,58
2005-10-02 - 2005-10-08,70
2005-10-09 - 2005-10-15,57
2005-10-16 - 2005-10-22,59
2005-10-23 - 2005-10-29,60
2005-10-30 - 2005-11-05,64
2005-11-06 - 2005-11-12,70
2005-11-13 - 2005-11-19,57
2005-11-20 - 2005-11-26,51
2005-11-27 - 2005-12-03,56
2005-12-04 - 2005-12-10,60
2005-12-11 - 2005-12-17,57
2005-12-18 - 2005-12-24,53
2005-12-25 - 2005-12-31,41
2006-01-01 - 2006-01-07,57
2006-01-08 - 2006-01-14,55
2006-01-15 - 2006-01-21,65
2006-01-22 - 2006-01-28,58
2006-01-29 - 2006-02-04,48
2006-02-05 - 2006-02-11,55
2006-02-12 - 2006-02-18,51
2006-02-19 - 2006-02-25,52
2006-02-26 - 2006-03-04,56
2006-03-05 - 2006-03-11,56
2006-03-12 - 2006-03-18,53
2006-03-19 - 2006-03-25,54
2006-03-26 - 2006-04-01,52
2006-04-02 - 2006-04-08,51
2006-04-09 - 2006-04-15,51
2006-04-16 - 2006-04-22,50
2006-04-23 - 2006-04-29,51
2006-04-30 - 2006-05-06,49
2006-05-07 - 2006-05-13,44
2006-05-14 - 2006-05-20,41
2006-05-21 - 2006-05-27,51
2006-05-28 - 2006-06-03,43
2006-06-04 - 2006-06-10,44
2006-06-11 - 2006-06-17,42
2006-06-18 - 2006-06-24,40
2006-06-25 - 2006-07-01,45
2006-07-02 - 2006-07-08,38
2006-07-09 - 2006-07-15,42
2006-07-16 - 2006-07-22,45
2006-07-23 - 2006-07-29,53
2006-07-30 - 2006-08-05,41
2006-08-06 - 2006-08-12,40
2006-08-13 - 2006-08-19,43
2006-08-20 - 2006-08-26,59
2006-08-27 - 2006-09-02,52
2006-09-03 - 2006-09-09,54
2006-09-10 - 2006-09-16,51
2006-09-17 - 2006-09-23,49
2006-09-24 - 2006-09-30,45
2006-10-01 - 2006-10-07,51
2006-10-08 - 2006-10-14,50
2006-10-15 - 2006-10-21,45
2006-10-22 - 2006-10-28,54
2006-10-29 - 2006-11-04,54
2006-11-05 - 2006-11-11,50
2006-11-12 - 2006-11-18,50
2006-11-19 - 2006-11-25,41
2006-11-26 - 2006-12-02,43
2006-12-03 - 2006-12-09,40
2006-12-10 - 2006-12-16,38
2006-12-17 - 2006-12-23,41
2006-12-24 - 2006-12-30,35
2006-12-31 - 2007-01-06,45
2007-01-07 - 2007-01-13,48
2007-01-14 - 2007-01-20,47
2007-01-21 - 2007-01-27,45
2007-01-28 - 2007-02-03,46
2007-02-04 - 2007-02-10,39
2007-02-11 - 2007-02-17,44
2007-02-18 - 2007-02-24,45
2007-02-25 - 2007-03-03,41
2007-03-04 - 2007-03-10,46
2007-03-11 - 2007-03-17,41
2007-03-18 - 2007-03-24,35
2007-03-25 - 2007-03-31,42
2007-04-01 - 2007-04-07,54
2007-04-08 - 2007-04-14,47
2007-04-15 - 2007-04-21,42
2007-04-22 - 2007-04-28,39
2007-04-29 - 2007-05-05,38
2007-05-06 - 2007-05-12,40
2007-05-13 - 2007-05-19,41
2007-05-20 - 2007-05-26,36
2007-05-27 - 2007-06-02,37
2007-06-03 - 2007-06-09,39
2007-06-10 - 2007-06-16,38
2007-06-17 - 2007-06-23,47
2007-06-24 - 2007-06-30,41
2007-07-01 - 2007-07-07,42
2007-07-08 - 2007-07-14,43
2007-07-15 - 2007-07-21,35
2007-07-22 - 2007-07-28,37
2007-07-29 - 2007-08-04,39
2007-08-05 - 2007-08-11,40
2007-08-12 - 2007-08-18,38
2007-08-19 - 2007-08-25,47
2007-08-26 - 2007-09-01,47
2007-09-02 - 2007-09-08,46
2007-09-09 - 2007-09-15,44
2007-09-16 - 2007-09-22,52
2007-09-23 - 2007-09-29,46
2007-09-30 - 2007-10-06,44
2007-10-07 - 2007-10-13,40
2007-10-14 - 2007-10-20,46
2007-10-21 - 2007-10-27,47
2007-10-28 - 2007-11-03,46
2007-11-04 - 2007-11-10,41
2007-11-11 - 2007-11-17,45
2007-11-18 - 2007-11-24,46
2007-11-25 - 2007-12-01,49
2007-12-02 - 2007-12-08,46
2007-12-09 - 2007-12-15,39
2007-12-16 - 2007-12-22,41
2007-12-23 - 2007-12-29,36
2007-12-30 - 2008-01-05,44
2008-01-06 - 2008-01-12,46
2008-01-13 - 2008-01-19,44
2008-01-20 - 2008-01-26,40
2008-01-27 - 2008-02-02,45
2008-02-03 - 2008-02-09,40
2008-02-10 - 2008-02-16,43
2008-02-17 - 2008-02-23,38
2008-02-24 - 2008-03-01,40
