Web Search interest: brain
Worldwide 2004 - present

Interest over time
Week,brain
2004-01-04 - 2004-01-10,83
2004-01-11 - 2004-01-17,87
2004-01-18 - 2004-01-24,86
2004-01-25 - 2004-01-31,89
2004-02-01 - 2004-02-07,92
2004-02-08 - 2004-02-14,89
2004-02-15 - 2004-02-21,91
2004-02-22 - 2004-02-28,93
2004-02-29 - 2004-03-06,93
2004-03-07 - 2004-03-13,88
2004-03-14 - 2004-03-20,87
2004-03-21 - 2004-03-27,84
2004-03-28 - 2004-04-03,88
2004-04-04 - 2004-04-10,84
2004-04-11 - 2004-04-17,88
2004-04-18 - 2004-04-24,89
2004-04-25 - 2004-05-01,90
2004-05-02 - 2004-05-08,89
2004-05-09 - 2004-05-15,86
2004-05-16 - 2004-05-22,86
2004-05-23 - 2004-05-29,84
2004-05-30 - 2004-06-05,77
2004-06-06 - 2004-06-12,79
2004-06-13 - 2004-06-19,74
2004-06-20 - 2004-06-26,72
2004-06-27 - 2004-07-03,70
2004-07-04 - 2004-07-10,69
2004-07-11 - 2004-07-17,72
2004-07-18 - 2004-07-24,74
2004-07-25 - 2004-07-31,74
2004-08-01 - 2004-08-07,73
2004-08-08 - 2004-08-14,73
2004-08-15 - 2004-08-21,73
2004-08-22 - 2004-08-28,73
2004-08-29 - 2004-09-04,76
2004-09-05 - 2004-09-11,79
2004-09-12 - 2004-09-18,83
2004-09-19 - 2004-09-25,87
2004-09-26 - 2004-10-02,89
2004-10-03 - 2004-10-09,89
2004-10-10 - 2004-10-16,89
2004-10-17 - 2004-10-23,86
2004-10-24 - 2004-10-30,90
2004-10-31 - 2004-11-06,95
2004-11-07 - 2004-11-13,91
2004-11-14 - 2004-11-20,91
2004-11-21 - 2004-11-27,79
2004-11-28 - 2004-12-04,91
2004-12-05 - 2004-12-11,95
2004-12-12 - 2004-12-18,83
2004-12-19 - 2004-12-25,67
2004-12-26 - 2005-01-01,60
2005-01-02 - 2005-01-08,77
2005-01-09 - 2005-01-15,83
2005-01-16 - 2005-01-22,83
2005-01-23 - 2005-01-29,86
2005-01-30 - 2005-02-05,89
2005-02-06 - 2005-02-12,89
2005-02-13 - 2005-02-19,87
2005-02-20 - 2005-02-26,86
2005-02-27 - 2005-03-05,89
2005-03-06 - 2005-03-12,89
2005-03-13 - 2005-03-19,88
2005-03-20 - 2005-03-26,91
2005-03-27 - 2005-04-02,90
2005-04-03 - 2005-04-09,83
2005-04-10 - 2005-04-16,85
2005-04-17 - 2005-04-23,84
2005-04-24 - 2005-04-30,90
2005-05-01 - 2005-05-07,88
2005-05-08 - 2005-05-14,84
2005-05-15 - 2005-05-21,83
2005-05-22 - 2005-05-28,83
2005-05-29 - 2005-06-04,74
2005-06-05 - 2005-06-11,75
2005-06-12 - 2005-06-18,76
2005-06-19 - 2005-06-25,74
2005-06-26 - 2005-07-02,71
2005-07-03 - 2005-07-09,68
2005-07-10 - 2005-07-16,70
2005-07-17 - 2005-07-23,71
2005-07-24 - 2005-07-30,71
2005-07-31 - 2005-08-06,71
2005-08-07 - 2005-08-13,70
2005-08-14 - 2005-08-20,70
2005-08-21 - 2005-08-27,70
2005-08-28 - 2005-09-03,66
2005-09-04 - 2005-09-10,71
2005-09-11 - 2005-09-17,82
2005-09-18 - 2005-09-24,81
2005-09-25 - 2005-10-01,84
2005-10-02 - 2005-10-08,85
2005-10-09 - 2005-10-15,83
2005-10-16 - 2005-10-22,83
2005-10-23 - 2005-10-29,85
2005-10-30 - 2005-11-05,84
2005-11-06 - 2005-11-12,83
2005-11-13 - 2005-11-19,84
2005-11-20 - 2005-11-26,74
2005-11-27 - 2005-12-03,81
2005-12-04 - 2005-12-10,84
2005-12-11 - 2005-12-17,78
2005-12-18 - 2005-12-24,67
2005-12-25 - 2005-12-31,58
2006-01-01 - 2006-01-07,71
2006-01-08 - 2006-01-14,76
2006-01-15 - 2006-01-21,80
2006-01-22 - 2006-01-28,79
