Web Search interest: Wavelet
Worldwide 2004 - present

Interest over time
Week,Wavelet
2004-01-04 - 2004-01-10,83
2004-01-11 - 2004-01-17,79
2004-01-18 - 2004-01-24,72
2004-01-25 - 2004-01-31,72
2004-02-01 - 2004-02-07,76
2004-02-08 - 2004-02-14,81
2004-02-15 - 2004-02-21,92
2004-02-22 - 2004-02-28,93
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,94
2004-03-14 - 2004-03-20,85
2004-03-21 - 2004-03-27,92
2004-03-28 - 2004-04-03,89
2004-04-04 - 2004-04-10,86
2004-04-11 - 2004-04-17,87
2004-04-18 - 2004-04-24,90
2004-04-25 - 2004-05-01,81
2004-05-02 - 2004-05-08,70
2004-05-09 - 2004-05-15,78
2004-05-16 - 2004-05-22,90
2004-05-23 - 2004-05-29,90
2004-05-30 - 2004-06-05,80
2004-06-06 - 2004-06-12,80
2004-06-13 - 2004-06-19,76
2004-06-20 - 2004-06-26,77
2004-06-27 - 2004-07-03,75
2004-07-04 - 2004-07-10,70
2004-07-11 - 2004-07-17,67
2004-07-18 - 2004-07-24,64
2004-07-25 - 2004-07-31,62
2004-08-01 - 2004-08-07,63
2004-08-08 - 2004-08-14,59
2004-08-15 - 2004-08-21,68
2004-08-22 - 2004-08-28,54
2004-08-29 - 2004-09-04,66
2004-09-05 - 2004-09-11,62
2004-09-12 - 2004-09-18,62
2004-09-19 - 2004-09-25,62
2004-09-26 - 2004-10-02,72
2004-10-03 - 2004-10-09,67
2004-10-10 - 2004-10-16,59
2004-10-17 - 2004-10-23,69
2004-10-24 - 2004-10-30,76
2004-10-31 - 2004-11-06,56
2004-11-07 - 2004-11-13,63
2004-11-14 - 2004-11-20,71
2004-11-21 - 2004-11-27,63
2004-11-28 - 2004-12-04,69
2004-12-05 - 2004-12-11,69
2004-12-12 - 2004-12-18,71
2004-12-19 - 2004-12-25,57
2004-12-26 - 2005-01-01,48
2005-01-02 - 2005-01-08,59
2005-01-09 - 2005-01-15,66
2005-01-16 - 2005-01-22,60
2005-01-23 - 2005-01-29,59
2005-01-30 - 2005-02-05,62
2005-02-06 - 2005-02-12,52
2005-02-13 - 2005-02-19,61
2005-02-20 - 2005-02-26,65
2005-02-27 - 2005-03-05,59
2005-03-06 - 2005-03-12,65
2005-03-13 - 2005-03-19,62
2005-03-20 - 2005-03-26,61
2005-03-27 - 2005-04-02,64
2005-04-03 - 2005-04-09,61
2005-04-10 - 2005-04-16,59
2005-04-17 - 2005-04-23,63
2005-04-24 - 2005-04-30,67
2005-05-01 - 2005-05-07,53
2005-05-08 - 2005-05-14,64
2005-05-15 - 2005-05-21,58
2005-05-22 - 2005-05-28,56
2005-05-29 - 2005-06-04,54
2005-06-05 - 2005-06-11,54
2005-06-12 - 2005-06-18,59
2005-06-19 - 2005-06-25,54
2005-06-26 - 2005-07-02,50
2005-07-03 - 2005-07-09,42
2005-07-10 - 2005-07-16,44
2005-07-17 - 2005-07-23,53
2005-07-24 - 2005-07-30,47
2005-07-31 - 2005-08-06,46
2005-08-07 - 2005-08-13,43
2005-08-14 - 2005-08-20,42
2005-08-21 - 2005-08-27,39
2005-08-28 - 2005-09-03,42
2005-09-04 - 2005-09-10,41
2005-09-11 - 2005-09-17,42
2005-09-18 - 2005-09-24,47
2005-09-25 - 2005-10-01,40
2005-10-02 - 2005-10-08,45
2005-10-09 - 2005-10-15,38
2005-10-16 - 2005-10-22,43
2005-10-23 - 2005-10-29,42
2005-10-30 - 2005-11-05,38
2005-11-06 - 2005-11-12,46
2005-11-13 - 2005-11-19,46
2005-11-20 - 2005-11-26,41
2005-11-27 - 2005-12-03,49
2005-12-04 - 2005-12-10,43
2005-12-11 - 2005-12-17,42
2005-12-18 - 2005-12-24,41
2005-12-25 - 2005-12-31,37
2006-01-01 - 2006-01-07,38
2006-01-08 - 2006-01-14,42
2006-01-15 - 2006-01-21,42
2006-01-22 - 2006-01-28,39
2006-01-29 - 2006-02-04,35
2006-02-05 - 2006-02-11,39
2006-02-12 - 2006-02-18,40
2006-02-19 - 2006-02-25,41
2006-02-26 - 2006-03-04,42
2006-03-05 - 2006-03-11,41
2006-03-12 - 2006-03-18,36
2006-03-19 - 2006-03-25,40
2006-03-26 - 2006-04-01,43
2006-04-02 - 2006-04-08,37
2006-04-09 - 2006-04-15,44
2006-04-16 - 2006-04-22,45
2006-04-23 - 2006-04-29,47
2006-04-30 - 2006-05-06,36
2006-05-07 - 2006-05-13,42
2006-05-14 - 2006-05-20,38
2006-05-21 - 2006-05-27,35
2006-05-28 - 2006-06-03,41
2006-06-04 - 2006-06-10,38
2006-06-11 - 2006-06-17,37
2006-06-18 - 2006-06-24,35
2006-06-25 - 2006-07-01,32
2006-07-02 - 2006-07-08,32
2006-07-09 - 2006-07-15,28
2006-07-16 - 2006-07-22,32
2006-07-23 - 2006-07-29,30
2006-07-30 - 2006-08-05,34
2006-08-06 - 2006-08-12,29
2006-08-13 - 2006-08-19,28
2006-08-20 - 2006-08-26,29
2006-08-27 - 2006-09-02,32
2006-09-03 - 2006-09-09,30
2006-09-10 - 2006-09-16,31
2006-09-17 - 2006-09-23,31
2006-09-24 - 2006-09-30,32
2006-10-01 - 2006-10-07,31
2006-10-08 - 2006-10-14,34
2006-10-15 - 2006-10-21,32
2006-10-22 - 2006-10-28,30
2006-10-29 - 2006-11-04,31
2006-11-05 - 2006-11-11,34
2006-11-12 - 2006-11-18,35
2006-11-19 - 2006-11-25,35
2006-11-26 - 2006-12-02,36
2006-12-03 - 2006-12-09,35
2006-12-10 - 2006-12-16,37
2006-12-17 - 2006-12-23,27
2006-12-24 - 2006-12-30,30
2006-12-31 - 2007-01-06,25
2007-01-07 - 2007-01-13,36
2007-01-14 - 2007-01-20,31
2007-01-21 - 2007-01-27,31
2007-01-28 - 2007-02-03,28
2007-02-04 - 2007-02-10,30
2007-02-11 - 2007-02-17,24
2007-02-18 - 2007-02-24,26
2007-02-25 - 2007-03-03,28
2007-03-04 - 2007-03-10,28
2007-03-11 - 2007-03-17,33
2007-03-18 - 2007-03-24,30
2007-03-25 - 2007-03-31,32
2007-04-01 - 2007-04-07,30
2007-04-08 - 2007-04-14,32
2007-04-15 - 2007-04-21,30
2007-04-22 - 2007-04-28,29
2007-04-29 - 2007-05-05,26
2007-05-06 - 2007-05-12,30
2007-05-13 - 2007-05-19,30
2007-05-20 - 2007-05-26,29
2007-05-27 - 2007-06-02,31
2007-06-03 - 2007-06-09,32
2007-06-10 - 2007-06-16,31
2007-06-17 - 2007-06-23,29
2007-06-24 - 2007-06-30,26
2007-07-01 - 2007-07-07,29
2007-07-08 - 2007-07-14,25
2007-07-15 - 2007-07-21,24
2007-07-22 - 2007-07-28,22
2007-07-29 - 2007-08-04,23
2007-08-05 - 2007-08-11,21
2007-08-12 - 2007-08-18,21
2007-08-19 - 2007-08-25,23
2007-08-26 - 2007-09-01,20
2007-09-02 - 2007-09-08,22
2007-09-09 - 2007-09-15,24
2007-09-16 - 2007-09-22,22
2007-09-23 - 2007-09-29,23
2007-09-30 - 2007-10-06,25
2007-10-07 - 2007-10-13,23
2007-10-14 - 2007-10-20,25
2007-10-21 - 2007-10-27,27
2007-10-28 - 2007-11-03,22
2007-11-04 - 2007-11-10,25
2007-11-11 - 2007-11-17,26
2007-11-18 - 2007-11-24,26
2007-11-25 - 2007-12-01,26
2007-12-02 - 2007-12-08,26
2007-12-09 - 2007-12-15,24
2007-12-16 - 2007-12-22,23
2007-12-23 - 2007-12-29,17
2007-12-30 - 2008-01-05,20
2008-01-06 - 2008-01-12,25
2008-01-13 - 2008-01-19,21
2008-01-20 - 2008-01-26,24
2008-01-27 - 2008-02-02,22
2008-02-03 - 2008-02-09,21
2008-02-10 - 2008-02-16,22
2008-02-17 - 2008-02-23,24
2008-02-24 - 2008-03-01,24
2008-03-02 - 2008-03-08,25
2008-03-09 - 2008-03-15,25
2008-03-16 - 2008-03-22,24
2008-03-23 - 2008-03-29,23
2008-03-30 - 2008-04-05,24
2008-04-06 - 2008-04-12,25
2008-04-13 - 2008-04-19,24
2008-04-20 - 2008-04-26,26
2008-04-27 - 2008-05-03,23
2008-05-04 - 2008-05-10,25
2008-05-11 - 2008-05-17,22
2008-05-18 - 2008-05-24,20
2008-05-25 - 2008-05-31,22
2008-06-01 - 2008-06-07,24
2008-06-08 - 2008-06-14,21
2008-06-15 - 2008-06-21,21
2008-06-22 - 2008-06-28,20
2008-06-29 - 2008-07-05,20
2008-07-06 - 2008-07-12,21
2008-07-13 - 2008-07-19,20
2008-07-20 - 2008-07-26,20
2008-07-27 - 2008-08-02,19
2008-08-03 - 2008-08-09,17
2008-08-10 - 2008-08-16,17
2008-08-17 - 2008-08-23,18
2008-08-24 - 2008-08-30,16
2008-08-31 - 2008-09-06,18
2008-09-07 - 2008-09-13,16
2008-09-14 - 2008-09-20,16
2008-09-21 - 2008-09-27,19
2008-09-28 - 2008-10-04,18
