Web Search interest: commercial bank
Worldwide 2004 - present

Interest over time
Week,commercial bank
2004-01-04 - 2004-01-10,79
2004-01-11 - 2004-01-17,84
2004-01-18 - 2004-01-24,93
2004-01-25 - 2004-01-31,85
2004-02-01 - 2004-02-07,81
2004-02-08 - 2004-02-14,88
2004-02-15 - 2004-02-21,85
2004-02-22 - 2004-02-28,75
2004-02-29 - 2004-03-06,92
2004-03-07 - 2004-03-13,93
2004-03-14 - 2004-03-20,94
2004-03-21 - 2004-03-27,85
2004-03-28 - 2004-04-03,92
2004-04-04 - 2004-04-10,82
2004-04-11 - 2004-04-17,78
2004-04-18 - 2004-04-24,87
2004-04-25 - 2004-05-01,83
2004-05-02 - 2004-05-08,92
2004-05-09 - 2004-05-15,84
2004-05-16 - 2004-05-22,86
2004-05-23 - 2004-05-29,76
2004-05-30 - 2004-06-05,80
2004-06-06 - 2004-06-12,84
2004-06-13 - 2004-06-19,83
2004-06-20 - 2004-06-26,90
2004-06-27 - 2004-07-03,93
2004-07-04 - 2004-07-10,80
2004-07-11 - 2004-07-17,90
2004-07-18 - 2004-07-24,94
2004-07-25 - 2004-07-31,85
2004-08-01 - 2004-08-07,100
2004-08-08 - 2004-08-14,95
2004-08-15 - 2004-08-21,82
2004-08-22 - 2004-08-28,87
2004-08-29 - 2004-09-04,92
2004-09-05 - 2004-09-11,83
2004-09-12 - 2004-09-18,79
2004-09-19 - 2004-09-25,73
2004-09-26 - 2004-10-02,75
2004-10-03 - 2004-10-09,84
2004-10-10 - 2004-10-16,73
2004-10-17 - 2004-10-23,71
2004-10-24 - 2004-10-30,73
2004-10-31 - 2004-11-06,83
2004-11-07 - 2004-11-13,74
2004-11-14 - 2004-11-20,76
2004-11-21 - 2004-11-27,66
2004-11-28 - 2004-12-04,69
2004-12-05 - 2004-12-11,80
2004-12-12 - 2004-12-18,73
2004-12-19 - 2004-12-25,71
2004-12-26 - 2005-01-01,80
2005-01-02 - 2005-01-08,80
2005-01-09 - 2005-01-15,90
2005-01-16 - 2005-01-22,82
2005-01-23 - 2005-01-29,79
2005-01-30 - 2005-02-05,79
2005-02-06 - 2005-02-12,75
2005-02-13 - 2005-02-19,86
2005-02-20 - 2005-02-26,88
2005-02-27 - 2005-03-05,93
2005-03-06 - 2005-03-12,88
2005-03-13 - 2005-03-19,80
2005-03-20 - 2005-03-26,73
2005-03-27 - 2005-04-02,85
2005-04-03 - 2005-04-09,79
2005-04-10 - 2005-04-16,75
2005-04-17 - 2005-04-23,85
2005-04-24 - 2005-04-30,84
2005-05-01 - 2005-05-07,82
2005-05-08 - 2005-05-14,88
