Web Search interest: Electrical resistivity and conductivity
Worldwide 2004 - present

Interest over time
Week,Electrical resistivity and conductivity
2004-01-04 - 2004-01-10,69
2004-01-11 - 2004-01-17,78
2004-01-18 - 2004-01-24,76
2004-01-25 - 2004-01-31,86
2004-02-01 - 2004-02-07,87
2004-02-08 - 2004-02-14,89
2004-02-15 - 2004-02-21,84
2004-02-22 - 2004-02-28,83
2004-02-29 - 2004-03-06,90
2004-03-07 - 2004-03-13,92
2004-03-14 - 2004-03-20,100
2004-03-21 - 2004-03-27,78
2004-03-28 - 2004-04-03,83
2004-04-04 - 2004-04-10,73
2004-04-11 - 2004-04-17,93
2004-04-18 - 2004-04-24,89
2004-04-25 - 2004-05-01,80
2004-05-02 - 2004-05-08,87
2004-05-09 - 2004-05-15,75
2004-05-16 - 2004-05-22,78
2004-05-23 - 2004-05-29,75
2004-05-30 - 2004-06-05,67
2004-06-06 - 2004-06-12,78
2004-06-13 - 2004-06-19,72
2004-06-20 - 2004-06-26,74
2004-06-27 - 2004-07-03,73
2004-07-04 - 2004-07-10,65
2004-07-11 - 2004-07-17,68
2004-07-18 - 2004-07-24,57
2004-07-25 - 2004-07-31,66
2004-08-01 - 2004-08-07,61
2004-08-08 - 2004-08-14,57
2004-08-15 - 2004-08-21,58
2004-08-22 - 2004-08-28,60
2004-08-29 - 2004-09-04,72
2004-09-05 - 2004-09-11,70
2004-09-12 - 2004-09-18,78
2004-09-19 - 2004-09-25,82
2004-09-26 - 2004-10-02,88
2004-10-03 - 2004-10-09,87
2004-10-10 - 2004-10-16,82
2004-10-17 - 2004-10-23,83
2004-10-24 - 2004-10-30,81
2004-10-31 - 2004-11-06,79
2004-11-07 - 2004-11-13,78
2004-11-14 - 2004-11-20,77
2004-11-21 - 2004-11-27,76
2004-11-28 - 2004-12-04,81
2004-12-05 - 2004-12-11,70
2004-12-12 - 2004-12-18,72
2004-12-19 - 2004-12-25,53
2004-12-26 - 2005-01-01,32
2005-01-02 - 2005-01-08,60
2005-01-09 - 2005-01-15,73
2005-01-16 - 2005-01-22,71
2005-01-23 - 2005-01-29,77
2005-01-30 - 2005-02-05,76
2005-02-06 - 2005-02-12,81
2005-02-13 - 2005-02-19,81
