Web Search interest: embryonic+stem+cell
Worldwide 2004 - present

Interest over time
Week,embryonic+stem+cell
2004-01-04 - 2004-01-10,84
2004-01-11 - 2004-01-17,83
2004-01-18 - 2004-01-24,83
2004-01-25 - 2004-01-31,82
2004-02-01 - 2004-02-07,82
2004-02-08 - 2004-02-14,82
2004-02-15 - 2004-02-21,84
2004-02-22 - 2004-02-28,84
2004-02-29 - 2004-03-06,83
2004-03-07 - 2004-03-13,79
2004-03-14 - 2004-03-20,85
2004-03-21 - 2004-03-27,91
2004-03-28 - 2004-04-03,93
2004-04-04 - 2004-04-10,93
2004-04-11 - 2004-04-17,88
2004-04-18 - 2004-04-24,86
2004-04-25 - 2004-05-01,85
2004-05-02 - 2004-05-08,85
2004-05-09 - 2004-05-15,81
2004-05-16 - 2004-05-22,84
2004-05-23 - 2004-05-29,79
2004-05-30 - 2004-06-05,80
2004-06-06 - 2004-06-12,82
2004-06-13 - 2004-06-19,83
2004-06-20 - 2004-06-26,83
2004-06-27 - 2004-07-03,79
2004-07-04 - 2004-07-10,78
2004-07-11 - 2004-07-17,82
2004-07-18 - 2004-07-24,81
2004-07-25 - 2004-07-31,83
2004-08-01 - 2004-08-07,83
2004-08-08 - 2004-08-14,80
2004-08-15 - 2004-08-21,83
2004-08-22 - 2004-08-28,81
2004-08-29 - 2004-09-04,81
2004-09-05 - 2004-09-11,80
2004-09-12 - 2004-09-18,84
2004-09-19 - 2004-09-25,85
2004-09-26 - 2004-10-02,86
2004-10-03 - 2004-10-09,87
2004-10-10 - 2004-10-16,93
2004-10-17 - 2004-10-23,94
2004-10-24 - 2004-10-30,93
2004-10-31 - 2004-11-06,92
2004-11-07 - 2004-11-13,87
2004-11-14 - 2004-11-20,90
2004-11-21 - 2004-11-27,80
2004-11-28 - 2004-12-04,95
2004-12-05 - 2004-12-11,94
2004-12-12 - 2004-12-18,91
2004-12-19 - 2004-12-25,76
2004-12-26 - 2005-01-01,76
2005-01-02 - 2005-01-08,82
2005-01-09 - 2005-01-15,80
2005-01-16 - 2005-01-22,78
2005-01-23 - 2005-01-29,79
2005-01-30 - 2005-02-05,81
2005-02-06 - 2005-02-12,85
2005-02-13 - 2005-02-19,80
2005-02-20 - 2005-02-26,100
2005-02-27 - 2005-03-05,86
2005-03-06 - 2005-03-12,83
2005-03-13 - 2005-03-19,80
2005-03-20 - 2005-03-26,81
2005-03-27 - 2005-04-02,85
2005-04-03 - 2005-04-09,90
2005-04-10 - 2005-04-16,89
2005-04-17 - 2005-04-23,88
2005-04-24 - 2005-04-30,86
2005-05-01 - 2005-05-07,86
2005-05-08 - 2005-05-14,81
2005-05-15 - 2005-05-21,82
2005-05-22 - 2005-05-28,81
2005-05-29 - 2005-06-04,77
2005-06-05 - 2005-06-11,76
2005-06-12 - 2005-06-18,75
2005-06-19 - 2005-06-25,75
2005-06-26 - 2005-07-02,74
2005-07-03 - 2005-07-09,71
2005-07-10 - 2005-07-16,76
2005-07-17 - 2005-07-23,76
2005-07-24 - 2005-07-30,77
2005-07-31 - 2005-08-06,78
2005-08-07 - 2005-08-13,75
2005-08-14 - 2005-08-20,77
2005-08-21 - 2005-08-27,77
2005-08-28 - 2005-09-03,74
2005-09-04 - 2005-09-10,75
2005-09-11 - 2005-09-17,78
2005-09-18 - 2005-09-24,79
2005-09-25 - 2005-10-01,80
2005-10-02 - 2005-10-08,82
2005-10-09 - 2005-10-15,80
2005-10-16 - 2005-10-22,80
2005-10-23 - 2005-10-29,79
2005-10-30 - 2005-11-05,77
2005-11-06 - 2005-11-12,76
2005-11-13 - 2005-11-19,79
2005-11-20 - 2005-11-26,78
2005-11-27 - 2005-12-03,84
2005-12-04 - 2005-12-10,82
2005-12-11 - 2005-12-17,80
2005-12-18 - 2005-12-24,72
2005-12-25 - 2005-12-31,71
