Web Search interest: evolution
Worldwide 2004 - present

Interest over time
Week,evolution
2004-01-04 - 2004-01-10,72
2004-01-11 - 2004-01-17,72
2004-01-18 - 2004-01-24,69
2004-01-25 - 2004-01-31,69
2004-02-01 - 2004-02-07,66
2004-02-08 - 2004-02-14,69
2004-02-15 - 2004-02-21,67
2004-02-22 - 2004-02-28,69
2004-02-29 - 2004-03-06,72
2004-03-07 - 2004-03-13,64
2004-03-14 - 2004-03-20,63
2004-03-21 - 2004-03-27,65
2004-03-28 - 2004-04-03,63
2004-04-04 - 2004-04-10,64
2004-04-11 - 2004-04-17,61
2004-04-18 - 2004-04-24,64
2004-04-25 - 2004-05-01,61
2004-05-02 - 2004-05-08,59
2004-05-09 - 2004-05-15,62
2004-05-16 - 2004-05-22,58
2004-05-23 - 2004-05-29,54
2004-05-30 - 2004-06-05,58
2004-06-06 - 2004-06-12,55
2004-06-13 - 2004-06-19,55
2004-06-20 - 2004-06-26,56
2004-06-27 - 2004-07-03,53
2004-07-04 - 2004-07-10,55
2004-07-11 - 2004-07-17,53
2004-07-18 - 2004-07-24,52
2004-07-25 - 2004-07-31,51
2004-08-01 - 2004-08-07,50
2004-08-08 - 2004-08-14,54
2004-08-15 - 2004-08-21,53
2004-08-22 - 2004-08-28,53
2004-08-29 - 2004-09-04,57
2004-09-05 - 2004-09-11,60
2004-09-12 - 2004-09-18,63
2004-09-19 - 2004-09-25,65
2004-09-26 - 2004-10-02,75
2004-10-03 - 2004-10-09,79
2004-10-10 - 2004-10-16,100
2004-10-17 - 2004-10-23,95
2004-10-24 - 2004-10-30,78
2004-10-31 - 2004-11-06,70
2004-11-07 - 2004-11-13,72
2004-11-14 - 2004-11-20,77
2004-11-21 - 2004-11-27,79
2004-11-28 - 2004-12-04,80
2004-12-05 - 2004-12-11,78
2004-12-12 - 2004-12-18,68
2004-12-19 - 2004-12-25,65
2004-12-26 - 2005-01-01,65
2005-01-02 - 2005-01-08,66
2005-01-09 - 2005-01-15,65
2005-01-16 - 2005-01-22,66
2005-01-23 - 2005-01-29,63
2005-01-30 - 2005-02-05,62
2005-02-06 - 2005-02-12,64
2005-02-13 - 2005-02-19,63
2005-02-20 - 2005-02-26,60
2005-02-27 - 2005-03-05,62
2005-03-06 - 2005-03-12,60
2005-03-13 - 2005-03-19,58
2005-03-20 - 2005-03-26,60
2005-03-27 - 2005-04-02,57
2005-04-03 - 2005-04-09,58
2005-04-10 - 2005-04-16,56
2005-04-17 - 2005-04-23,55
2005-04-24 - 2005-04-30,58
2005-05-01 - 2005-05-07,62
2005-05-08 - 2005-05-14,55
2005-05-15 - 2005-05-21,55
2005-05-22 - 2005-05-28,53
2005-05-29 - 2005-06-04,52
2005-06-05 - 2005-06-11,52
2005-06-12 - 2005-06-18,50
2005-06-19 - 2005-06-25,49
2005-06-26 - 2005-07-02,49
2005-07-03 - 2005-07-09,48
2005-07-10 - 2005-07-16,49
2005-07-17 - 2005-07-23,51
2005-07-24 - 2005-07-30,50
2005-07-31 - 2005-08-06,53
2005-08-07 - 2005-08-13,54
2005-08-14 - 2005-08-20,55
2005-08-21 - 2005-08-27,57
2005-08-28 - 2005-09-03,58
2005-09-04 - 2005-09-10,60
2005-09-11 - 2005-09-17,67
2005-09-18 - 2005-09-24,69
2005-09-25 - 2005-10-01,72
2005-10-02 - 2005-10-08,81
2005-10-09 - 2005-10-15,79
2005-10-16 - 2005-10-22,91
2005-10-23 - 2005-10-29,92
