Web Search interest: Polish Academy of Sciences
Worldwide 2004 - present

Interest over time
Week,Polish Academy of Sciences
2004-01-04 - 2004-01-10,66
2004-01-11 - 2004-01-17,56
2004-01-18 - 2004-01-24,92
2004-01-25 - 2004-01-31,63
2004-02-01 - 2004-02-07,75
2004-02-08 - 2004-02-14,73
2004-02-15 - 2004-02-21,76
2004-02-22 - 2004-02-28,40
2004-02-29 - 2004-03-06,85
2004-03-07 - 2004-03-13,91
2004-03-14 - 2004-03-20,59
2004-03-21 - 2004-03-27,28
2004-03-28 - 2004-04-03,63
2004-04-04 - 2004-04-10,53
2004-04-11 - 2004-04-17,86
2004-04-18 - 2004-04-24,74
2004-04-25 - 2004-05-01,42
2004-05-02 - 2004-05-08,42
2004-05-09 - 2004-05-15,64
2004-05-16 - 2004-05-22,84
2004-05-23 - 2004-05-29,82
2004-05-30 - 2004-06-05,53
2004-06-06 - 2004-06-12,65
2004-06-13 - 2004-06-19,70
2004-06-20 - 2004-06-26,37
2004-06-27 - 2004-07-03,47
2004-07-04 - 2004-07-10,67
2004-07-11 - 2004-07-17,73
2004-07-18 - 2004-07-24,33
2004-07-25 - 2004-07-31,53
2004-08-01 - 2004-08-07,34
2004-08-08 - 2004-08-14,57
2004-08-15 - 2004-08-21,46
2004-08-22 - 2004-08-28,40
2004-08-29 - 2004-09-04,56
2004-09-05 - 2004-09-11,56
2004-09-12 - 2004-09-18,74
2004-09-19 - 2004-09-25,44
2004-09-26 - 2004-10-02,48
2004-10-03 - 2004-10-09,48
2004-10-10 - 2004-10-16,53
2004-10-17 - 2004-10-23,82
2004-10-24 - 2004-10-30,45
2004-10-31 - 2004-11-06,66
2004-11-07 - 2004-11-13,34
2004-11-14 - 2004-11-20,52
2004-11-21 - 2004-11-27,62
2004-11-28 - 2004-12-04,66
2004-12-05 - 2004-12-11,63
2004-12-12 - 2004-12-18,48
2004-12-19 - 2004-12-25,66
2004-12-26 - 2005-01-01,39
2005-01-02 - 2005-01-08,44
2005-01-09 - 2005-01-15,31
2005-01-16 - 2005-01-22,58
2005-01-23 - 2005-01-29,100
2005-01-30 - 2005-02-05,80
2005-02-06 - 2005-02-12,54
2005-02-13 - 2005-02-19,59
2005-02-20 - 2005-02-26,62
2005-02-27 - 2005-03-05,53
2005-03-06 - 2005-03-12,66
2005-03-13 - 2005-03-19,95
2005-03-20 - 2005-03-26,75
2005-03-27 - 2005-04-02,66
2005-04-03 - 2005-04-09,37
2005-04-10 - 2005-04-16,62
2005-04-17 - 2005-04-23,56
2005-04-24 - 2005-04-30,58
2005-05-01 - 2005-05-07,76
2005-05-08 - 2005-05-14,77
2005-05-15 - 2005-05-21,84
2005-05-22 - 2005-05-28,31
2005-05-29 - 2005-06-04,80
2005-06-05 - 2005-06-11,47
2005-06-12 - 2005-06-18,57
2005-06-19 - 2005-06-25,68
2005-06-26 - 2005-07-02,75
2005-07-03 - 2005-07-09,50
2005-07-10 - 2005-07-16,37
2005-07-17 - 2005-07-23,49
2005-07-24 - 2005-07-30,34
2005-07-31 - 2005-08-06,49
2005-08-07 - 2005-08-13,42
2005-08-14 - 2005-08-20,33
2005-08-21 - 2005-08-27,38
2005-08-28 - 2005-09-03,31
2005-09-04 - 2005-09-10,42
2005-09-11 - 2005-09-17,50
2005-09-18 - 2005-09-24,42
2005-09-25 - 2005-10-01,49
2005-10-02 - 2005-10-08,42
2005-10-09 - 2005-10-15,49
2005-10-16 - 2005-10-22,50
2005-10-23 - 2005-10-29,43
2005-10-30 - 2005-11-05,48
2005-11-06 - 2005-11-12,34
2005-11-13 - 2005-11-19,45
2005-11-20 - 2005-11-26,47
2005-11-27 - 2005-12-03,44
2005-12-04 - 2005-12-10,50
2005-12-11 - 2005-12-17,50
2005-12-18 - 2005-12-24,39
2005-12-25 - 2005-12-31,30
2006-01-01 - 2006-01-07,45
2006-01-08 - 2006-01-14,56
2006-01-15 - 2006-01-21,43
2006-01-22 - 2006-01-28,58
2006-01-29 - 2006-02-04,50
2006-02-05 - 2006-02-11,44
2006-02-12 - 2006-02-18,37
2006-02-19 - 2006-02-25,54
2006-02-26 - 2006-03-04,39
2006-03-05 - 2006-03-11,42
2006-03-12 - 2006-03-18,44
2006-03-19 - 2006-03-25,41
