Web Search interest: free software
Worldwide 2004 - present

Interest over time
Week,free software
2004-01-04 - 2004-01-10,100
2004-01-11 - 2004-01-17,95
2004-01-18 - 2004-01-24,100
2004-01-25 - 2004-01-31,97
2004-02-01 - 2004-02-07,90
2004-02-08 - 2004-02-14,92
2004-02-15 - 2004-02-21,95
2004-02-22 - 2004-02-28,93
2004-02-29 - 2004-03-06,92
2004-03-07 - 2004-03-13,97
2004-03-14 - 2004-03-20,89
2004-03-21 - 2004-03-27,92
2004-03-28 - 2004-04-03,84
2004-04-04 - 2004-04-10,92
2004-04-11 - 2004-04-17,92
2004-04-18 - 2004-04-24,87
2004-04-25 - 2004-05-01,85
2004-05-02 - 2004-05-08,89
2004-05-09 - 2004-05-15,83
2004-05-16 - 2004-05-22,83
2004-05-23 - 2004-05-29,84
2004-05-30 - 2004-06-05,89
2004-06-06 - 2004-06-12,84
2004-06-13 - 2004-06-19,86
2004-06-20 - 2004-06-26,87
2004-06-27 - 2004-07-03,86
2004-07-04 - 2004-07-10,89
2004-07-11 - 2004-07-17,89
2004-07-18 - 2004-07-24,91
2004-07-25 - 2004-07-31,89
2004-08-01 - 2004-08-07,89
2004-08-08 - 2004-08-14,90
2004-08-15 - 2004-08-21,87
2004-08-22 - 2004-08-28,90
2004-08-29 - 2004-09-04,88
2004-09-05 - 2004-09-11,86
2004-09-12 - 2004-09-18,84
2004-09-19 - 2004-09-25,83
2004-09-26 - 2004-10-02,81
2004-10-03 - 2004-10-09,82
2004-10-10 - 2004-10-16,80
2004-10-17 - 2004-10-23,80
2004-10-24 - 2004-10-30,79
2004-10-31 - 2004-11-06,82
2004-11-07 - 2004-11-13,79
2004-11-14 - 2004-11-20,74
2004-11-21 - 2004-11-27,80
2004-11-28 - 2004-12-04,77
2004-12-05 - 2004-12-11,77
2004-12-12 - 2004-12-18,78
2004-12-19 - 2004-12-25,89
2004-12-26 - 2005-01-01,100
2005-01-02 - 2005-01-08,89
2005-01-09 - 2005-01-15,82
2005-01-16 - 2005-01-22,84
2005-01-23 - 2005-01-29,83
2005-01-30 - 2005-02-05,83
2005-02-06 - 2005-02-12,84
2005-02-13 - 2005-02-19,83
2005-02-20 - 2005-02-26,79
2005-02-27 - 2005-03-05,79
2005-03-06 - 2005-03-12,81
2005-03-13 - 2005-03-19,80
2005-03-20 - 2005-03-26,81
2005-03-27 - 2005-04-02,80
2005-04-03 - 2005-04-09,77
2005-04-10 - 2005-04-16,74
2005-04-17 - 2005-04-23,71
2005-04-24 - 2005-04-30,75
2005-05-01 - 2005-05-07,76
2005-05-08 - 2005-05-14,70
2005-05-15 - 2005-05-21,70
2005-05-22 - 2005-05-28,70
2005-05-29 - 2005-06-04,72
2005-06-05 - 2005-06-11,69
2005-06-12 - 2005-06-18,71
2005-06-19 - 2005-06-25,72
2005-06-26 - 2005-07-02,73
2005-07-03 - 2005-07-09,74
2005-07-10 - 2005-07-16,72
2005-07-17 - 2005-07-23,75
2005-07-24 - 2005-07-30,77
2005-07-31 - 2005-08-06,76
2005-08-07 - 2005-08-13,77
2005-08-14 - 2005-08-20,76
2005-08-21 - 2005-08-27,76
2005-08-28 - 2005-09-03,72
2005-09-04 - 2005-09-10,71
2005-09-11 - 2005-09-17,72
2005-09-18 - 2005-09-24,71
2005-09-25 - 2005-10-01,71
2005-10-02 - 2005-10-08,71
2005-10-09 - 2005-10-15,70
2005-10-16 - 2005-10-22,70
2005-10-23 - 2005-10-29,70
2005-10-30 - 2005-11-05,67
2005-11-06 - 2005-11-12,71
2005-11-13 - 2005-11-19,68
2005-11-20 - 2005-11-26,69
2005-11-27 - 2005-12-03,68
2005-12-04 - 2005-12-10,69
2005-12-11 - 2005-12-17,67
2005-12-18 - 2005-12-24,72
2005-12-25 - 2005-12-31,86
2006-01-01 - 2006-01-07,76
2006-01-08 - 2006-01-14,73
2006-01-15 - 2006-01-21,72
2006-01-22 - 2006-01-28,69
2006-01-29 - 2006-02-04,71
2006-02-05 - 2006-02-11,67
2006-02-12 - 2006-02-18,67
2006-02-19 - 2006-02-25,67
2006-02-26 - 2006-03-04,65
2006-03-05 - 2006-03-11,65
2006-03-12 - 2006-03-18,64
2006-03-19 - 2006-03-25,65
2006-03-26 - 2006-04-01,63
2006-04-02 - 2006-04-08,64
