Web Search interest: gastrointestinal+tract
Worldwide 2004 - present

Interest over time
Week,gastrointestinal+tract
2004-01-04 - 2004-01-10,87
2004-01-11 - 2004-01-17,83
2004-01-18 - 2004-01-24,93
2004-01-25 - 2004-01-31,82
2004-02-01 - 2004-02-07,90
2004-02-08 - 2004-02-14,91
2004-02-15 - 2004-02-21,92
2004-02-22 - 2004-02-28,91
2004-02-29 - 2004-03-06,95
2004-03-07 - 2004-03-13,85
2004-03-14 - 2004-03-20,92
2004-03-21 - 2004-03-27,98
2004-03-28 - 2004-04-03,99
2004-04-04 - 2004-04-10,90
2004-04-11 - 2004-04-17,91
2004-04-18 - 2004-04-24,96
2004-04-25 - 2004-05-01,94
2004-05-02 - 2004-05-08,97
2004-05-09 - 2004-05-15,84
2004-05-16 - 2004-05-22,92
2004-05-23 - 2004-05-29,89
2004-05-30 - 2004-06-05,91
2004-06-06 - 2004-06-12,88
2004-06-13 - 2004-06-19,81
2004-06-20 - 2004-06-26,90
2004-06-27 - 2004-07-03,83
2004-07-04 - 2004-07-10,93
2004-07-11 - 2004-07-17,92
2004-07-18 - 2004-07-24,90
2004-07-25 - 2004-07-31,90
2004-08-01 - 2004-08-07,94
2004-08-08 - 2004-08-14,91
2004-08-15 - 2004-08-21,94
2004-08-22 - 2004-08-28,89
2004-08-29 - 2004-09-04,93
2004-09-05 - 2004-09-11,86
2004-09-12 - 2004-09-18,91
2004-09-19 - 2004-09-25,92
2004-09-26 - 2004-10-02,93
2004-10-03 - 2004-10-09,95
2004-10-10 - 2004-10-16,94
2004-10-17 - 2004-10-23,89
2004-10-24 - 2004-10-30,95
2004-10-31 - 2004-11-06,95
2004-11-07 - 2004-11-13,86
2004-11-14 - 2004-11-20,89
2004-11-21 - 2004-11-27,77
2004-11-28 - 2004-12-04,92
2004-12-05 - 2004-12-11,89
2004-12-12 - 2004-12-18,83
2004-12-19 - 2004-12-25,71
2004-12-26 - 2005-01-01,73
2005-01-02 - 2005-01-08,92
2005-01-09 - 2005-01-15,84
2005-01-16 - 2005-01-22,89
2005-01-23 - 2005-01-29,94
2005-01-30 - 2005-02-05,93
2005-02-06 - 2005-02-12,90
2005-02-13 - 2005-02-19,91
2005-02-20 - 2005-02-26,97
2005-02-27 - 2005-03-05,94
2005-03-06 - 2005-03-12,86
