Web Search interest: geometric+measure+theory
Worldwide 2004 - present

Interest over time
Week,geometric+measure+theory
2004-01-04 - 2004-01-10,79
2004-01-11 - 2004-01-17,84
2004-01-18 - 2004-01-24,87
2004-01-25 - 2004-01-31,88
2004-02-01 - 2004-02-07,94
2004-02-08 - 2004-02-14,92
2004-02-15 - 2004-02-21,88
2004-02-22 - 2004-02-28,95
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,89
2004-03-14 - 2004-03-20,92
2004-03-21 - 2004-03-27,86
2004-03-28 - 2004-04-03,90
2004-04-04 - 2004-04-10,86
2004-04-11 - 2004-04-17,87
2004-04-18 - 2004-04-24,93
2004-04-25 - 2004-05-01,93
2004-05-02 - 2004-05-08,93
2004-05-09 - 2004-05-15,83
2004-05-16 - 2004-05-22,81
2004-05-23 - 2004-05-29,78
2004-05-30 - 2004-06-05,72
2004-06-06 - 2004-06-12,73
2004-06-13 - 2004-06-19,69
2004-06-20 - 2004-06-26,66
2004-06-27 - 2004-07-03,64
2004-07-04 - 2004-07-10,65
2004-07-11 - 2004-07-17,66
2004-07-18 - 2004-07-24,70
2004-07-25 - 2004-07-31,65
2004-08-01 - 2004-08-07,65
2004-08-08 - 2004-08-14,64
2004-08-15 - 2004-08-21,64
2004-08-22 - 2004-08-28,68
2004-08-29 - 2004-09-04,71
2004-09-05 - 2004-09-11,78
2004-09-12 - 2004-09-18,83
2004-09-19 - 2004-09-25,87
2004-09-26 - 2004-10-02,90
2004-10-03 - 2004-10-09,90
2004-10-10 - 2004-10-16,90
2004-10-17 - 2004-10-23,91
2004-10-24 - 2004-10-30,92
2004-10-31 - 2004-11-06,96
2004-11-07 - 2004-11-13,82
2004-11-14 - 2004-11-20,91
2004-11-21 - 2004-11-27,83
2004-11-28 - 2004-12-04,89
2004-12-05 - 2004-12-11,93
2004-12-12 - 2004-12-18,85
2004-12-19 - 2004-12-25,59
2004-12-26 - 2005-01-01,55
2005-01-02 - 2005-01-08,69
2005-01-09 - 2005-01-15,78
2005-01-16 - 2005-01-22,77
2005-01-23 - 2005-01-29,79
2005-01-30 - 2005-02-05,82
2005-02-06 - 2005-02-12,83
2005-02-13 - 2005-02-19,83
2005-02-20 - 2005-02-26,88
2005-02-27 - 2005-03-05,89
2005-03-06 - 2005-03-12,88
2005-03-13 - 2005-03-19,84
2005-03-20 - 2005-03-26,81
2005-03-27 - 2005-04-02,89
2005-04-03 - 2005-04-09,98
2005-04-10 - 2005-04-16,96
2005-04-17 - 2005-04-23,97
2005-04-24 - 2005-04-30,94
2005-05-01 - 2005-05-07,94
2005-05-08 - 2005-05-14,88
