Web Search interest: hausdorff+dimension
Worldwide 2004 - present

Interest over time
Week,hausdorff+dimension
2004-01-04 - 2004-01-10,94
2004-01-11 - 2004-01-17,93
2004-01-18 - 2004-01-24,96
2004-01-25 - 2004-01-31,95
2004-02-01 - 2004-02-07,90
2004-02-08 - 2004-02-14,88
2004-02-15 - 2004-02-21,94
2004-02-22 - 2004-02-28,97
2004-02-29 - 2004-03-06,97
2004-03-07 - 2004-03-13,90
2004-03-14 - 2004-03-20,83
2004-03-21 - 2004-03-27,87
2004-03-28 - 2004-04-03,89
2004-04-04 - 2004-04-10,95
2004-04-11 - 2004-04-17,88
2004-04-18 - 2004-04-24,93
2004-04-25 - 2004-05-01,83
2004-05-02 - 2004-05-08,90
2004-05-09 - 2004-05-15,82
2004-05-16 - 2004-05-22,90
2004-05-23 - 2004-05-29,87
2004-05-30 - 2004-06-05,81
2004-06-06 - 2004-06-12,88
2004-06-13 - 2004-06-19,88
2004-06-20 - 2004-06-26,88
2004-06-27 - 2004-07-03,87
2004-07-04 - 2004-07-10,86
2004-07-11 - 2004-07-17,89
2004-07-18 - 2004-07-24,89
2004-07-25 - 2004-07-31,88
2004-08-01 - 2004-08-07,91
2004-08-08 - 2004-08-14,89
2004-08-15 - 2004-08-21,90
2004-08-22 - 2004-08-28,94
2004-08-29 - 2004-09-04,97
2004-09-05 - 2004-09-11,97
2004-09-12 - 2004-09-18,92
2004-09-19 - 2004-09-25,92
2004-09-26 - 2004-10-02,93
2004-10-03 - 2004-10-09,94
2004-10-10 - 2004-10-16,90
2004-10-17 - 2004-10-23,91
2004-10-24 - 2004-10-30,91
2004-10-31 - 2004-11-06,86
2004-11-07 - 2004-11-13,87
2004-11-14 - 2004-11-20,95
2004-11-21 - 2004-11-27,92
2004-11-28 - 2004-12-04,94
2004-12-05 - 2004-12-11,90
2004-12-12 - 2004-12-18,91
2004-12-19 - 2004-12-25,83
2004-12-26 - 2005-01-01,90
2005-01-02 - 2005-01-08,88
2005-01-09 - 2005-01-15,93
2005-01-16 - 2005-01-22,98
2005-01-23 - 2005-01-29,94
2005-01-30 - 2005-02-05,90
2005-02-06 - 2005-02-12,90
2005-02-13 - 2005-02-19,88
2005-02-20 - 2005-02-26,93
2005-02-27 - 2005-03-05,89
2005-03-06 - 2005-03-12,88
2005-03-13 - 2005-03-19,90
2005-03-20 - 2005-03-26,91
2005-03-27 - 2005-04-02,90
2005-04-03 - 2005-04-09,87
2005-04-10 - 2005-04-16,88
2005-04-17 - 2005-04-23,86
2005-04-24 - 2005-04-30,88
2005-05-01 - 2005-05-07,88
2005-05-08 - 2005-05-14,88
2005-05-15 - 2005-05-21,85
2005-05-22 - 2005-05-28,86
2005-05-29 - 2005-06-04,87
2005-06-05 - 2005-06-11,86
2005-06-12 - 2005-06-18,87
2005-06-19 - 2005-06-25,89
2005-06-26 - 2005-07-02,87
2005-07-03 - 2005-07-09,86
2005-07-10 - 2005-07-16,100
2005-07-17 - 2005-07-23,87
2005-07-24 - 2005-07-30,88
2005-07-31 - 2005-08-06,82
2005-08-07 - 2005-08-13,86
2005-08-14 - 2005-08-20,90
2005-08-21 - 2005-08-27,89
2005-08-28 - 2005-09-03,87
2005-09-04 - 2005-09-10,89
2005-09-11 - 2005-09-17,86
2005-09-18 - 2005-09-24,84
2005-09-25 - 2005-10-01,86
2005-10-02 - 2005-10-08,88
2005-10-09 - 2005-10-15,90
2005-10-16 - 2005-10-22,87
2005-10-23 - 2005-10-29,87
2005-10-30 - 2005-11-05,83
2005-11-06 - 2005-11-12,87
2005-11-13 - 2005-11-19,90
2005-11-20 - 2005-11-26,88
2005-11-27 - 2005-12-03,88
2005-12-04 - 2005-12-10,86
2005-12-11 - 2005-12-17,84
2005-12-18 - 2005-12-24,87
2005-12-25 - 2005-12-31,85
2006-01-01 - 2006-01-07,88
2006-01-08 - 2006-01-14,86
2006-01-15 - 2006-01-21,88
2006-01-22 - 2006-01-28,85
2006-01-29 - 2006-02-04,85
2006-02-05 - 2006-02-11,83
2006-02-12 - 2006-02-18,84
2006-02-19 - 2006-02-25,85
2006-02-26 - 2006-03-04,84
2006-03-05 - 2006-03-11,83
2006-03-12 - 2006-03-18,84
2006-03-19 - 2006-03-25,85
2006-03-26 - 2006-04-01,84
2006-04-02 - 2006-04-08,86
2006-04-09 - 2006-04-15,85
2006-04-16 - 2006-04-22,83
2006-04-23 - 2006-04-29,84
2006-04-30 - 2006-05-06,81
2006-05-07 - 2006-05-13,84
2006-05-14 - 2006-05-20,83
2006-05-21 - 2006-05-27,81
2006-05-28 - 2006-06-03,81
2006-06-04 - 2006-06-10,76
2006-06-11 - 2006-06-17,81
2006-06-18 - 2006-06-24,79
2006-06-25 - 2006-07-01,76
2006-07-02 - 2006-07-08,77
2006-07-09 - 2006-07-15,79
2006-07-16 - 2006-07-22,79
2006-07-23 - 2006-07-29,79
2006-07-30 - 2006-08-05,78
2006-08-06 - 2006-08-12,80
2006-08-13 - 2006-08-19,83
2006-08-20 - 2006-08-26,86
2006-08-27 - 2006-09-02,84
2006-09-03 - 2006-09-09,81
2006-09-10 - 2006-09-16,83
2006-09-17 - 2006-09-23,82
2006-09-24 - 2006-09-30,83
2006-10-01 - 2006-10-07,81
2006-10-08 - 2006-10-14,79
2006-10-15 - 2006-10-21,82
2006-10-22 - 2006-10-28,82
2006-10-29 - 2006-11-04,82
2006-11-05 - 2006-11-11,80
2006-11-12 - 2006-11-18,82
2006-11-19 - 2006-11-25,80
2006-11-26 - 2006-12-02,81
2006-12-03 - 2006-12-09,78
2006-12-10 - 2006-12-16,80
2006-12-17 - 2006-12-23,75
2006-12-24 - 2006-12-30,76
2006-12-31 - 2007-01-06,78
2007-01-07 - 2007-01-13,81
2007-01-14 - 2007-01-20,79
2007-01-21 - 2007-01-27,80
2007-01-28 - 2007-02-03,80
2007-02-04 - 2007-02-10,79
2007-02-11 - 2007-02-17,76
2007-02-18 - 2007-02-24,81
2007-02-25 - 2007-03-03,75
2007-03-04 - 2007-03-10,76
2007-03-11 - 2007-03-17,78
2007-03-18 - 2007-03-24,79
2007-03-25 - 2007-03-31,79
2007-04-01 - 2007-04-07,76
2007-04-08 - 2007-04-14,76
2007-04-15 - 2007-04-21,73
2007-04-22 - 2007-04-28,73
2007-04-29 - 2007-05-05,75
2007-05-06 - 2007-05-12,76
2007-05-13 - 2007-05-19,80
2007-05-20 - 2007-05-26,77
2007-05-27 - 2007-06-02,78
2007-06-03 - 2007-06-09,78
2007-06-10 - 2007-06-16,79
2007-06-17 - 2007-06-23,75
2007-06-24 - 2007-06-30,75
2007-07-01 - 2007-07-07,74
2007-07-08 - 2007-07-14,75
2007-07-15 - 2007-07-21,73
2007-07-22 - 2007-07-28,74
2007-07-29 - 2007-08-04,74
2007-08-05 - 2007-08-11,72
2007-08-12 - 2007-08-18,72
2007-08-19 - 2007-08-25,75
2007-08-26 - 2007-09-01,74
2007-09-02 - 2007-09-08,72
2007-09-09 - 2007-09-15,73
2007-09-16 - 2007-09-22,74
2007-09-23 - 2007-09-29,73
2007-09-30 - 2007-10-06,73
2007-10-07 - 2007-10-13,72
2007-10-14 - 2007-10-20,72
2007-10-21 - 2007-10-27,72
2007-10-28 - 2007-11-03,73
2007-11-04 - 2007-11-10,72
2007-11-11 - 2007-11-17,74
2007-11-18 - 2007-11-24,78
2007-11-25 - 2007-12-01,80
2007-12-02 - 2007-12-08,79
2007-12-09 - 2007-12-15,73
2007-12-16 - 2007-12-22,68
2007-12-23 - 2007-12-29,67
2007-12-30 - 2008-01-05,68
2008-01-06 - 2008-01-12,74
2008-01-13 - 2008-01-19,73
2008-01-20 - 2008-01-26,74
2008-01-27 - 2008-02-02,73
2008-02-03 - 2008-02-09,73
2008-02-10 - 2008-02-16,72
2008-02-17 - 2008-02-23,72
2008-02-24 - 2008-03-01,72
2008-03-02 - 2008-03-08,73
2008-03-09 - 2008-03-15,71
2008-03-16 - 2008-03-22,71
2008-03-23 - 2008-03-29,73
2008-03-30 - 2008-04-05,73
2008-04-06 - 2008-04-12,73
2008-04-13 - 2008-04-19,74
2008-04-20 - 2008-04-26,74
2008-04-27 - 2008-05-03,72
2008-05-04 - 2008-05-10,71
2008-05-11 - 2008-05-17,72
2008-05-18 - 2008-05-24,73
2008-05-25 - 2008-05-31,74
2008-06-01 - 2008-06-07,74
2008-06-08 - 2008-06-14,73
2008-06-15 - 2008-06-21,71
2008-06-22 - 2008-06-28,72
2008-06-29 - 2008-07-05,70
2008-07-06 - 2008-07-12,72
2008-07-13 - 2008-07-19,71
2008-07-20 - 2008-07-26,72
2008-07-27 - 2008-08-02,69
2008-08-03 - 2008-08-09,71
2008-08-10 - 2008-08-16,69
2008-08-17 - 2008-08-23,71
2008-08-24 - 2008-08-30,73
2008-08-31 - 2008-09-06,71
2008-09-07 - 2008-09-13,74
2008-09-14 - 2008-09-20,75
2008-09-21 - 2008-09-27,74
2008-09-28 - 2008-10-04,74
2008-10-05 - 2008-10-11,70
2008-10-12 - 2008-10-18,72
2008-10-19 - 2008-10-25,73
2008-10-26 - 2008-11-01,73
2008-11-02 - 2008-11-08,70
2008-11-09 - 2008-11-15,73
2008-11-16 - 2008-11-22,73
2008-11-23 - 2008-11-29,72
2008-11-30 - 2008-12-06,74
2008-12-07 - 2008-12-13,71
2008-12-14 - 2008-12-20,66
2008-12-21 - 2008-12-27,64
2008-12-28 - 2009-01-03,69
2009-01-04 - 2009-01-10,73
2009-01-11 - 2009-01-17,74
2009-01-18 - 2009-01-24,74
2009-01-25 - 2009-01-31,76
2009-02-01 - 2009-02-07,73
2009-02-08 - 2009-02-14,75
2009-02-15 - 2009-02-21,76
2009-02-22 - 2009-02-28,73
2009-03-01 - 2009-03-07,73
2009-03-08 - 2009-03-14,72
2009-03-15 - 2009-03-21,73
2009-03-22 - 2009-03-28,73
2009-03-29 - 2009-04-04,74
2009-04-05 - 2009-04-11,73
2009-04-12 - 2009-04-18,72
2009-04-19 - 2009-04-25,73
2009-04-26 - 2009-05-02,72
2009-05-03 - 2009-05-09,69
2009-05-10 - 2009-05-16,72
2009-05-17 - 2009-05-23,69
2009-05-24 - 2009-05-30,70
2009-05-31 - 2009-06-06,69
2009-06-07 - 2009-06-13,69
2009-06-14 - 2009-06-20,69
2009-06-21 - 2009-06-27,70
2009-06-28 - 2009-07-04,66
2009-07-05 - 2009-07-11,67
2009-07-12 - 2009-07-18,67
2009-07-19 - 2009-07-25,69
2009-07-26 - 2009-08-01,68
2009-08-02 - 2009-08-08,67
2009-08-09 - 2009-08-15,67
2009-08-16 - 2009-08-22,69
2009-08-23 - 2009-08-29,72
2009-08-30 - 2009-09-05,70
2009-09-06 - 2009-09-12,68
2009-09-13 - 2009-09-19,71
2009-09-20 - 2009-09-26,70
2009-09-27 - 2009-10-03,70
2009-10-04 - 2009-10-10,71
2009-10-11 - 2009-10-17,71
2009-10-18 - 2009-10-24,72
2009-10-25 - 2009-10-31,72
2009-11-01 - 2009-11-07,73
2009-11-08 - 2009-11-14,71
2009-11-15 - 2009-11-21,73
2009-11-22 - 2009-11-28,70
2009-11-29 - 2009-12-05,70
2009-12-06 - 2009-12-12,69
2009-12-13 - 2009-12-19,64
2009-12-20 - 2009-12-26,62
2009-12-27 - 2010-01-02,65
2010-01-03 - 2010-01-09,69
2010-01-10 - 2010-01-16,69
2010-01-17 - 2010-01-23,71
2010-01-24 - 2010-01-30,71
2010-01-31 - 2010-02-06,70
2010-02-07 - 2010-02-13,70
2010-02-14 - 2010-02-20,70
2010-02-21 - 2010-02-27,71
2010-02-28 - 2010-03-06,70
2010-03-07 - 2010-03-13,72
2010-03-14 - 2010-03-20,70
2010-03-21 - 2010-03-27,70
2010-03-28 - 2010-04-03,71
2010-04-04 - 2010-04-10,69
2010-04-11 - 2010-04-17,68
2010-04-18 - 2010-04-24,69
2010-04-25 - 2010-05-01,71
2010-05-02 - 2010-05-08,69
2010-05-09 - 2010-05-15,67
2010-05-16 - 2010-05-22,69
2010-05-23 - 2010-05-29,67
2010-05-30 - 2010-06-05,66
2010-06-06 - 2010-06-12,65
2010-06-13 - 2010-06-19,64
2010-06-20 - 2010-06-26,65
2010-06-27 - 2010-07-03,62
2010-07-04 - 2010-07-10,60
2010-07-11 - 2010-07-17,65
2010-07-18 - 2010-07-24,65
2010-07-25 - 2010-07-31,64
2010-08-01 - 2010-08-07,63
2010-08-08 - 2010-08-14,62
2010-08-15 - 2010-08-21,63
2010-08-22 - 2010-08-28,66
2010-08-29 - 2010-09-04,67
2010-09-05 - 2010-09-11,67
2010-09-12 - 2010-09-18,67
2010-09-19 - 2010-09-25,67
2010-09-26 - 2010-10-02,66
2010-10-03 - 2010-10-09,66
2010-10-10 - 2010-10-16,65
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,66
2010-10-31 - 2010-11-06,65
2010-11-07 - 2010-11-13,64
2010-11-14 - 2010-11-20,66
2010-11-21 - 2010-11-27,66
2010-11-28 - 2010-12-04,66
2010-12-05 - 2010-12-11,65
2010-12-12 - 2010-12-18,64
2010-12-19 - 2010-12-25,59
2010-12-26 - 2011-01-01,59
2011-01-02 - 2011-01-08,62
2011-01-09 - 2011-01-15,64
2011-01-16 - 2011-01-22,65
2011-01-23 - 2011-01-29,63
2011-01-30 - 2011-02-05,63
2011-02-06 - 2011-02-12,65
2011-02-13 - 2011-02-19,64
2011-02-20 - 2011-02-26,65
2011-02-27 - 2011-03-05,65
2011-03-06 - 2011-03-12,63
2011-03-13 - 2011-03-19,63
2011-03-20 - 2011-03-26,66
2011-03-27 - 2011-04-02,65
2011-04-03 - 2011-04-09,64
2011-04-10 - 2011-04-16,64
2011-04-17 - 2011-04-23,63
2011-04-24 - 2011-04-30,61
2011-05-01 - 2011-05-07,63
2011-05-08 - 2011-05-14,65
2011-05-15 - 2011-05-21,66
2011-05-22 - 2011-05-28,66
2011-05-29 - 2011-06-04,62
2011-06-05 - 2011-06-11,63
2011-06-12 - 2011-06-18,64
2011-06-19 - 2011-06-25,63
2011-06-26 - 2011-07-02,61
2011-07-03 - 2011-07-09,61
2011-07-10 - 2011-07-16,61
2011-07-17 - 2011-07-23,61
2011-07-24 - 2011-07-30,60
2011-07-31 - 2011-08-06,67
2011-08-07 - 2011-08-13,68
2011-08-14 - 2011-08-20,67
2011-08-21 - 2011-08-27,71
2011-08-28 - 2011-09-03,71
2011-09-04 - 2011-09-10,68
2011-09-11 - 2011-09-17,68
2011-09-18 - 2011-09-24,69
2011-09-25 - 2011-10-01,69
2011-10-02 - 2011-10-08,67
2011-10-09 - 2011-10-15,68
2011-10-16 - 2011-10-22,68
2011-10-23 - 2011-10-29,66
2011-10-30 - 2011-11-05,68
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,66
2011-11-20 - 2011-11-26,65
2011-11-27 - 2011-12-03,64
2011-12-04 - 2011-12-10,62
2011-12-11 - 2011-12-17,61
2011-12-18 - 2011-12-24,55
2011-12-25 - 2011-12-31,53
2012-01-01 - 2012-01-07,57
2012-01-08 - 2012-01-14,59
2012-01-15 - 2012-01-21,60
2012-01-22 - 2012-01-28,60
2012-01-29 - 2012-02-04,60
2012-02-05 - 2012-02-11,60
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,62
2012-02-26 - 2012-03-03,61
2012-03-04 - 2012-03-10,60
2012-03-11 - 2012-03-17,60
