Web Search interest: heart failure
Worldwide 2004 - present

Interest over time
Week,heart failure
2004-01-04 - 2004-01-10,84
2004-01-11 - 2004-01-17,78
2004-01-18 - 2004-01-24,79
2004-01-25 - 2004-01-31,78
2004-02-01 - 2004-02-07,83
2004-02-08 - 2004-02-14,98
2004-02-15 - 2004-02-21,87
2004-02-22 - 2004-02-28,87
2004-02-29 - 2004-03-06,91
2004-03-07 - 2004-03-13,79
2004-03-14 - 2004-03-20,87
2004-03-21 - 2004-03-27,81
2004-03-28 - 2004-04-03,88
2004-04-04 - 2004-04-10,89
2004-04-11 - 2004-04-17,93
2004-04-18 - 2004-04-24,91
2004-04-25 - 2004-05-01,99
2004-05-02 - 2004-05-08,89
2004-05-09 - 2004-05-15,86
2004-05-16 - 2004-05-22,77
2004-05-23 - 2004-05-29,69
2004-05-30 - 2004-06-05,77
2004-06-06 - 2004-06-12,72
2004-06-13 - 2004-06-19,83
2004-06-20 - 2004-06-26,70
2004-06-27 - 2004-07-03,73
2004-07-04 - 2004-07-10,73
2004-07-11 - 2004-07-17,77
2004-07-18 - 2004-07-24,81
2004-07-25 - 2004-07-31,73
2004-08-01 - 2004-08-07,83
2004-08-08 - 2004-08-14,83
2004-08-15 - 2004-08-21,69
2004-08-22 - 2004-08-28,65
2004-08-29 - 2004-09-04,70
2004-09-05 - 2004-09-11,86
2004-09-12 - 2004-09-18,80
2004-09-19 - 2004-09-25,74
2004-09-26 - 2004-10-02,80
2004-10-03 - 2004-10-09,72
2004-10-10 - 2004-10-16,90
2004-10-17 - 2004-10-23,84
2004-10-24 - 2004-10-30,80
2004-10-31 - 2004-11-06,85
2004-11-07 - 2004-11-13,74
2004-11-14 - 2004-11-20,85
2004-11-21 - 2004-11-27,75
2004-11-28 - 2004-12-04,97
2004-12-05 - 2004-12-11,84
2004-12-12 - 2004-12-18,73
2004-12-19 - 2004-12-25,71
2004-12-26 - 2005-01-01,72
2005-01-02 - 2005-01-08,90
2005-01-09 - 2005-01-15,81
2005-01-16 - 2005-01-22,79
2005-01-23 - 2005-01-29,90
2005-01-30 - 2005-02-05,85
2005-02-06 - 2005-02-12,91
2005-02-13 - 2005-02-19,93
2005-02-20 - 2005-02-26,86
2005-02-27 - 2005-03-05,84
2005-03-06 - 2005-03-12,90
2005-03-13 - 2005-03-19,85
2005-03-20 - 2005-03-26,89
2005-03-27 - 2005-04-02,100
2005-04-03 - 2005-04-09,87
2005-04-10 - 2005-04-16,88
2005-04-17 - 2005-04-23,91
2005-04-24 - 2005-04-30,85
2005-05-01 - 2005-05-07,80
2005-05-08 - 2005-05-14,84
2005-05-15 - 2005-05-21,75
2005-05-22 - 2005-05-28,75
2005-05-29 - 2005-06-04,67
2005-06-05 - 2005-06-11,70
2005-06-12 - 2005-06-18,76
2005-06-19 - 2005-06-25,74
2005-06-26 - 2005-07-02,79
2005-07-03 - 2005-07-09,68
2005-07-10 - 2005-07-16,74
2005-07-17 - 2005-07-23,76
2005-07-24 - 2005-07-30,76
2005-07-31 - 2005-08-06,67
2005-08-07 - 2005-08-13,74
2005-08-14 - 2005-08-20,68
2005-08-21 - 2005-08-27,71
2005-08-28 - 2005-09-03,67
2005-09-04 - 2005-09-10,70
2005-09-11 - 2005-09-17,79
2005-09-18 - 2005-09-24,76
2005-09-25 - 2005-10-01,76
2005-10-02 - 2005-10-08,80
2005-10-09 - 2005-10-15,79
2005-10-16 - 2005-10-22,81
2005-10-23 - 2005-10-29,77
2005-10-30 - 2005-11-05,81
2005-11-06 - 2005-11-12,78
2005-11-13 - 2005-11-19,79
2005-11-20 - 2005-11-26,69
2005-11-27 - 2005-12-03,76
2005-12-04 - 2005-12-10,75
2005-12-11 - 2005-12-17,66
2005-12-18 - 2005-12-24,60
2005-12-25 - 2005-12-31,63
2006-01-01 - 2006-01-07,72
2006-01-08 - 2006-01-14,66
2006-01-15 - 2006-01-21,74
2006-01-22 - 2006-01-28,78
2006-01-29 - 2006-02-04,82
2006-02-05 - 2006-02-11,76
2006-02-12 - 2006-02-18,75
2006-02-19 - 2006-02-25,75
2006-02-26 - 2006-03-04,84
2006-03-05 - 2006-03-11,79
