Web Search interest: Order of precedence
Worldwide 2004 - present

Interest over time
Week,Order of precedence
2004-01-04 - 2004-01-10,37
2004-01-11 - 2004-01-17,48
2004-01-18 - 2004-01-24,52
2004-01-25 - 2004-01-31,48
2004-02-01 - 2004-02-07,51
2004-02-08 - 2004-02-14,39
2004-02-15 - 2004-02-21,41
2004-02-22 - 2004-02-28,65
2004-02-29 - 2004-03-06,77
2004-03-07 - 2004-03-13,84
2004-03-14 - 2004-03-20,45
2004-03-21 - 2004-03-27,71
2004-03-28 - 2004-04-03,60
2004-04-04 - 2004-04-10,45
2004-04-11 - 2004-04-17,37
2004-04-18 - 2004-04-24,57
2004-04-25 - 2004-05-01,60
2004-05-02 - 2004-05-08,66
2004-05-09 - 2004-05-15,73
2004-05-16 - 2004-05-22,80
2004-05-23 - 2004-05-29,76
2004-05-30 - 2004-06-05,51
2004-06-06 - 2004-06-12,52
2004-06-13 - 2004-06-19,47
2004-06-20 - 2004-06-26,50
2004-06-27 - 2004-07-03,43
2004-07-04 - 2004-07-10,56
2004-07-11 - 2004-07-17,63
2004-07-18 - 2004-07-24,59
2004-07-25 - 2004-07-31,51
2004-08-01 - 2004-08-07,44
2004-08-08 - 2004-08-14,66
2004-08-15 - 2004-08-21,52
2004-08-22 - 2004-08-28,38
2004-08-29 - 2004-09-04,69
2004-09-05 - 2004-09-11,66
2004-09-12 - 2004-09-18,66
2004-09-19 - 2004-09-25,73
2004-09-26 - 2004-10-02,77
2004-10-03 - 2004-10-09,71
2004-10-10 - 2004-10-16,80
2004-10-17 - 2004-10-23,67
2004-10-24 - 2004-10-30,89
2004-10-31 - 2004-11-06,48
2004-11-07 - 2004-11-13,76
2004-11-14 - 2004-11-20,91
2004-11-21 - 2004-11-27,66
2004-11-28 - 2004-12-04,66
2004-12-05 - 2004-12-11,57
2004-12-12 - 2004-12-18,62
2004-12-19 - 2004-12-25,49
2004-12-26 - 2005-01-01,30
2005-01-02 - 2005-01-08,47
2005-01-09 - 2005-01-15,38
2005-01-16 - 2005-01-22,49
2005-01-23 - 2005-01-29,45
2005-01-30 - 2005-02-05,65
2005-02-06 - 2005-02-12,47
2005-02-13 - 2005-02-19,51
2005-02-20 - 2005-02-26,44
2005-02-27 - 2005-03-05,60
2005-03-06 - 2005-03-12,52
2005-03-13 - 2005-03-19,63
2005-03-20 - 2005-03-26,64
2005-03-27 - 2005-04-02,75
2005-04-03 - 2005-04-09,55
2005-04-10 - 2005-04-16,81
2005-04-17 - 2005-04-23,68
2005-04-24 - 2005-04-30,71
2005-05-01 - 2005-05-07,80
2005-05-08 - 2005-05-14,64
2005-05-15 - 2005-05-21,65
2005-05-22 - 2005-05-28,69
2005-05-29 - 2005-06-04,54
2005-06-05 - 2005-06-11,59
2005-06-12 - 2005-06-18,53
2005-06-19 - 2005-06-25,61
2005-06-26 - 2005-07-02,41
2005-07-03 - 2005-07-09,32
2005-07-10 - 2005-07-16,46
2005-07-17 - 2005-07-23,46
2005-07-24 - 2005-07-30,48
2005-07-31 - 2005-08-06,62
2005-08-07 - 2005-08-13,45
2005-08-14 - 2005-08-20,67
2005-08-21 - 2005-08-27,55
2005-08-28 - 2005-09-03,50
2005-09-04 - 2005-09-10,65
2005-09-11 - 2005-09-17,47
2005-09-18 - 2005-09-24,47
2005-09-25 - 2005-10-01,74
