Web Search interest: hypercholesterolemia
Worldwide 2004 - present

Interest over time
Week,hypercholesterolemia
2004-01-04 - 2004-01-10,42
2004-01-11 - 2004-01-17,54
2004-01-18 - 2004-01-24,72
2004-01-25 - 2004-01-31,97
2004-02-01 - 2004-02-07,98
2004-02-08 - 2004-02-14,86
2004-02-15 - 2004-02-21,87
2004-02-22 - 2004-02-28,100
2004-02-29 - 2004-03-06,59
2004-03-07 - 2004-03-13,69
2004-03-14 - 2004-03-20,81
2004-03-21 - 2004-03-27,96
2004-03-28 - 2004-04-03,83
2004-04-04 - 2004-04-10,57
2004-04-11 - 2004-04-17,65
2004-04-18 - 2004-04-24,83
2004-04-25 - 2004-05-01,80
2004-05-02 - 2004-05-08,69
2004-05-09 - 2004-05-15,20
2004-05-16 - 2004-05-22,48
2004-05-23 - 2004-05-29,52
2004-05-30 - 2004-06-05,52
2004-06-06 - 2004-06-12,50
2004-06-13 - 2004-06-19,50
2004-06-20 - 2004-06-26,36
2004-06-27 - 2004-07-03,55
2004-07-04 - 2004-07-10,36
2004-07-11 - 2004-07-17,57
2004-07-18 - 2004-07-24,88
2004-07-25 - 2004-07-31,49
2004-08-01 - 2004-08-07,67
2004-08-08 - 2004-08-14,45
2004-08-15 - 2004-08-21,47
2004-08-22 - 2004-08-28,45
2004-08-29 - 2004-09-04,36
2004-09-05 - 2004-09-11,49
2004-09-12 - 2004-09-18,78
2004-09-19 - 2004-09-25,67
2004-09-26 - 2004-10-02,61
2004-10-03 - 2004-10-09,79
2004-10-10 - 2004-10-16,70
2004-10-17 - 2004-10-23,62
2004-10-24 - 2004-10-30,49
2004-10-31 - 2004-11-06,76
2004-11-07 - 2004-11-13,72
2004-11-14 - 2004-11-20,74
2004-11-21 - 2004-11-27,81
2004-11-28 - 2004-12-04,91
2004-12-05 - 2004-12-11,63
2004-12-12 - 2004-12-18,43
2004-12-19 - 2004-12-25,53
2004-12-26 - 2005-01-01,43
2005-01-02 - 2005-01-08,54
2005-01-09 - 2005-01-15,59
2005-01-16 - 2005-01-22,52
2005-01-23 - 2005-01-29,68
2005-01-30 - 2005-02-05,57
2005-02-06 - 2005-02-12,50
2005-02-13 - 2005-02-19,92
2005-02-20 - 2005-02-26,82
2005-02-27 - 2005-03-05,79
2005-03-06 - 2005-03-12,44
2005-03-13 - 2005-03-19,78
2005-03-20 - 2005-03-26,60
2005-03-27 - 2005-04-02,67
2005-04-03 - 2005-04-09,47
2005-04-10 - 2005-04-16,67
2005-04-17 - 2005-04-23,61
2005-04-24 - 2005-04-30,71
2005-05-01 - 2005-05-07,72
2005-05-08 - 2005-05-14,53
2005-05-15 - 2005-05-21,59
2005-05-22 - 2005-05-28,58
2005-05-29 - 2005-06-04,53
2005-06-05 - 2005-06-11,57
2005-06-12 - 2005-06-18,42
2005-06-19 - 2005-06-25,55
2005-06-26 - 2005-07-02,32
2005-07-03 - 2005-07-09,38
2005-07-10 - 2005-07-16,41
2005-07-17 - 2005-07-23,61
2005-07-24 - 2005-07-30,41
2005-07-31 - 2005-08-06,56
2005-08-07 - 2005-08-13,57
2005-08-14 - 2005-08-20,50
2005-08-21 - 2005-08-27,72
2005-08-28 - 2005-09-03,50
2005-09-04 - 2005-09-10,42
2005-09-11 - 2005-09-17,45
2005-09-18 - 2005-09-24,73
2005-09-25 - 2005-10-01,58
2005-10-02 - 2005-10-08,46
2005-10-09 - 2005-10-15,66
2005-10-16 - 2005-10-22,43
2005-10-23 - 2005-10-29,64
2005-10-30 - 2005-11-05,42
2005-11-06 - 2005-11-12,73
2005-11-13 - 2005-11-19,64
2005-11-20 - 2005-11-26,47
2005-11-27 - 2005-12-03,84
2005-12-04 - 2005-12-10,53
2005-12-11 - 2005-12-17,45
2005-12-18 - 2005-12-24,42
2005-12-25 - 2005-12-31,45
2006-01-01 - 2006-01-07,46
2006-01-08 - 2006-01-14,51
2006-01-15 - 2006-01-21,52
2006-01-22 - 2006-01-28,40
2006-01-29 - 2006-02-04,55
2006-02-05 - 2006-02-11,46
2006-02-12 - 2006-02-18,74
2006-02-19 - 2006-02-25,37
2006-02-26 - 2006-03-04,64
2006-03-05 - 2006-03-11,39
2006-03-12 - 2006-03-18,62
2006-03-19 - 2006-03-25,72
2006-03-26 - 2006-04-01,49
2006-04-02 - 2006-04-08,56
2006-04-09 - 2006-04-15,69
2006-04-16 - 2006-04-22,49
2006-04-23 - 2006-04-29,62
2006-04-30 - 2006-05-06,64
2006-05-07 - 2006-05-13,48
2006-05-14 - 2006-05-20,53
