Web Search interest: immigration
Worldwide 2004 - present

Interest over time
Week,immigration
2004-01-04 - 2004-01-10,95
2004-01-11 - 2004-01-17,84
2004-01-18 - 2004-01-24,81
2004-01-25 - 2004-01-31,73
2004-02-01 - 2004-02-07,79
2004-02-08 - 2004-02-14,74
2004-02-15 - 2004-02-21,78
2004-02-22 - 2004-02-28,82
2004-02-29 - 2004-03-06,80
2004-03-07 - 2004-03-13,69
2004-03-14 - 2004-03-20,77
2004-03-21 - 2004-03-27,70
2004-03-28 - 2004-04-03,73
2004-04-04 - 2004-04-10,71
2004-04-11 - 2004-04-17,69
2004-04-18 - 2004-04-24,75
2004-04-25 - 2004-05-01,79
2004-05-02 - 2004-05-08,78
2004-05-09 - 2004-05-15,72
2004-05-16 - 2004-05-22,70
2004-05-23 - 2004-05-29,66
2004-05-30 - 2004-06-05,64
2004-06-06 - 2004-06-12,64
2004-06-13 - 2004-06-19,64
2004-06-20 - 2004-06-26,62
2004-06-27 - 2004-07-03,61
2004-07-04 - 2004-07-10,64
2004-07-11 - 2004-07-17,68
2004-07-18 - 2004-07-24,67
2004-07-25 - 2004-07-31,66
2004-08-01 - 2004-08-07,66
2004-08-08 - 2004-08-14,66
2004-08-15 - 2004-08-21,64
2004-08-22 - 2004-08-28,62
2004-08-29 - 2004-09-04,62
2004-09-05 - 2004-09-11,64
2004-09-12 - 2004-09-18,66
2004-09-19 - 2004-09-25,68
2004-09-26 - 2004-10-02,67
2004-10-03 - 2004-10-09,69
2004-10-10 - 2004-10-16,66
2004-10-17 - 2004-10-23,68
2004-10-24 - 2004-10-30,67
2004-10-31 - 2004-11-06,77
2004-11-07 - 2004-11-13,67
2004-11-14 - 2004-11-20,72
2004-11-21 - 2004-11-27,66
2004-11-28 - 2004-12-04,69
2004-12-05 - 2004-12-11,68
2004-12-12 - 2004-12-18,62
2004-12-19 - 2004-12-25,52
2004-12-26 - 2005-01-01,53
2005-01-02 - 2005-01-08,68
2005-01-09 - 2005-01-15,65
