Web Search interest: intellectual property
Worldwide 2004 - present

Interest over time
Week,intellectual property
2004-01-04 - 2004-01-10,74
2004-01-11 - 2004-01-17,84
2004-01-18 - 2004-01-24,83
2004-01-25 - 2004-01-31,75
2004-02-01 - 2004-02-07,76
2004-02-08 - 2004-02-14,87
2004-02-15 - 2004-02-21,97
2004-02-22 - 2004-02-28,90
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,91
2004-03-14 - 2004-03-20,86
2004-03-21 - 2004-03-27,89
2004-03-28 - 2004-04-03,91
2004-04-04 - 2004-04-10,90
2004-04-11 - 2004-04-17,87
2004-04-18 - 2004-04-24,98
2004-04-25 - 2004-05-01,91
2004-05-02 - 2004-05-08,84
2004-05-09 - 2004-05-15,87
2004-05-16 - 2004-05-22,82
2004-05-23 - 2004-05-29,78
2004-05-30 - 2004-06-05,79
2004-06-06 - 2004-06-12,71
2004-06-13 - 2004-06-19,72
2004-06-20 - 2004-06-26,72
2004-06-27 - 2004-07-03,67
2004-07-04 - 2004-07-10,73
2004-07-11 - 2004-07-17,78
2004-07-18 - 2004-07-24,77
2004-07-25 - 2004-07-31,85
2004-08-01 - 2004-08-07,75
2004-08-08 - 2004-08-14,77
2004-08-15 - 2004-08-21,75
2004-08-22 - 2004-08-28,79
2004-08-29 - 2004-09-04,71
2004-09-05 - 2004-09-11,77
2004-09-12 - 2004-09-18,75
2004-09-19 - 2004-09-25,85
2004-09-26 - 2004-10-02,72
2004-10-03 - 2004-10-09,72
2004-10-10 - 2004-10-16,78
2004-10-17 - 2004-10-23,81
2004-10-24 - 2004-10-30,85
2004-10-31 - 2004-11-06,73
2004-11-07 - 2004-11-13,81
2004-11-14 - 2004-11-20,82
2004-11-21 - 2004-11-27,73
2004-11-28 - 2004-12-04,71
2004-12-05 - 2004-12-11,80
2004-12-12 - 2004-12-18,64
2004-12-19 - 2004-12-25,51
2004-12-26 - 2005-01-01,39
2005-01-02 - 2005-01-08,69
2005-01-09 - 2005-01-15,62
2005-01-16 - 2005-01-22,66
2005-01-23 - 2005-01-29,69
2005-01-30 - 2005-02-05,75
2005-02-06 - 2005-02-12,68
2005-02-13 - 2005-02-19,72
2005-02-20 - 2005-02-26,72
2005-02-27 - 2005-03-05,75
2005-03-06 - 2005-03-12,70
2005-03-13 - 2005-03-19,70
2005-03-20 - 2005-03-26,68
2005-03-27 - 2005-04-02,69
2005-04-03 - 2005-04-09,74
2005-04-10 - 2005-04-16,72
2005-04-17 - 2005-04-23,73
2005-04-24 - 2005-04-30,68
2005-05-01 - 2005-05-07,78
2005-05-08 - 2005-05-14,68
2005-05-15 - 2005-05-21,71
2005-05-22 - 2005-05-28,61
2005-05-29 - 2005-06-04,60
2005-06-05 - 2005-06-11,66
2005-06-12 - 2005-06-18,64
2005-06-19 - 2005-06-25,62
2005-06-26 - 2005-07-02,57
2005-07-03 - 2005-07-09,54
2005-07-10 - 2005-07-16,58
2005-07-17 - 2005-07-23,60
2005-07-24 - 2005-07-30,62
2005-07-31 - 2005-08-06,57
2005-08-07 - 2005-08-13,66
2005-08-14 - 2005-08-20,54
2005-08-21 - 2005-08-27,58
2005-08-28 - 2005-09-03,53
2005-09-04 - 2005-09-10,57
2005-09-11 - 2005-09-17,63
2005-09-18 - 2005-09-24,63
2005-09-25 - 2005-10-01,62
2005-10-02 - 2005-10-08,65
2005-10-09 - 2005-10-15,67
2005-10-16 - 2005-10-22,63
2005-10-23 - 2005-10-29,65
2005-10-30 - 2005-11-05,60
2005-11-06 - 2005-11-12,63
2005-11-13 - 2005-11-19,58
2005-11-20 - 2005-11-26,57
2005-11-27 - 2005-12-03,65
2005-12-04 - 2005-12-10,60
2005-12-11 - 2005-12-17,59
2005-12-18 - 2005-12-24,46
2005-12-25 - 2005-12-31,34
2006-01-01 - 2006-01-07,48
2006-01-08 - 2006-01-14,51
2006-01-15 - 2006-01-21,60
2006-01-22 - 2006-01-28,55
2006-01-29 - 2006-02-04,63
2006-02-05 - 2006-02-11,59
2006-02-12 - 2006-02-18,59
2006-02-19 - 2006-02-25,57
2006-02-26 - 2006-03-04,61
2006-03-05 - 2006-03-11,55
2006-03-12 - 2006-03-18,52
2006-03-19 - 2006-03-25,63
2006-03-26 - 2006-04-01,62
2006-04-02 - 2006-04-08,59
2006-04-09 - 2006-04-15,64
2006-04-16 - 2006-04-22,60
2006-04-23 - 2006-04-29,66
2006-04-30 - 2006-05-06,56
2006-05-07 - 2006-05-13,55
2006-05-14 - 2006-05-20,57
2006-05-21 - 2006-05-27,54
2006-05-28 - 2006-06-03,50
2006-06-04 - 2006-06-10,49
2006-06-11 - 2006-06-17,51
2006-06-18 - 2006-06-24,50
2006-06-25 - 2006-07-01,42
2006-07-02 - 2006-07-08,39
2006-07-09 - 2006-07-15,47
2006-07-16 - 2006-07-22,46
2006-07-23 - 2006-07-29,50
2006-07-30 - 2006-08-05,51
2006-08-06 - 2006-08-12,44
2006-08-13 - 2006-08-19,47
2006-08-20 - 2006-08-26,47
2006-08-27 - 2006-09-02,44
2006-09-03 - 2006-09-09,46
2006-09-10 - 2006-09-16,52
2006-09-17 - 2006-09-23,53
2006-09-24 - 2006-09-30,53
2006-10-01 - 2006-10-07,47
2006-10-08 - 2006-10-14,56
2006-10-15 - 2006-10-21,49
2006-10-22 - 2006-10-28,48
2006-10-29 - 2006-11-04,51
2006-11-05 - 2006-11-11,50
2006-11-12 - 2006-11-18,48
2006-11-19 - 2006-11-25,43
2006-11-26 - 2006-12-02,49
2006-12-03 - 2006-12-09,50
2006-12-10 - 2006-12-16,47
2006-12-17 - 2006-12-23,36
2006-12-24 - 2006-12-30,27
2006-12-31 - 2007-01-06,33
2007-01-07 - 2007-01-13,45
2007-01-14 - 2007-01-20,45
2007-01-21 - 2007-01-27,48
2007-01-28 - 2007-02-03,52
2007-02-04 - 2007-02-10,47
2007-02-11 - 2007-02-17,48
2007-02-18 - 2007-02-24,45
2007-02-25 - 2007-03-03,50
2007-03-04 - 2007-03-10,45
2007-03-11 - 2007-03-17,46
2007-03-18 - 2007-03-24,46
2007-03-25 - 2007-03-31,50
2007-04-01 - 2007-04-07,43
2007-04-08 - 2007-04-14,45
2007-04-15 - 2007-04-21,51
2007-04-22 - 2007-04-28,51
2007-04-29 - 2007-05-05,46
2007-05-06 - 2007-05-12,46
2007-05-13 - 2007-05-19,45
2007-05-20 - 2007-05-26,47
2007-05-27 - 2007-06-02,43
2007-06-03 - 2007-06-09,46
2007-06-10 - 2007-06-16,43
2007-06-17 - 2007-06-23,44
2007-06-24 - 2007-06-30,39
2007-07-01 - 2007-07-07,39
2007-07-08 - 2007-07-14,42
2007-07-15 - 2007-07-21,41
2007-07-22 - 2007-07-28,41
2007-07-29 - 2007-08-04,44
2007-08-05 - 2007-08-11,44
2007-08-12 - 2007-08-18,40
2007-08-19 - 2007-08-25,40
2007-08-26 - 2007-09-01,40
2007-09-02 - 2007-09-08,39
2007-09-09 - 2007-09-15,46
2007-09-16 - 2007-09-22,47
2007-09-23 - 2007-09-29,42
2007-09-30 - 2007-10-06,46
2007-10-07 - 2007-10-13,50
2007-10-14 - 2007-10-20,45
2007-10-21 - 2007-10-27,47
2007-10-28 - 2007-11-03,46
2007-11-04 - 2007-11-10,42
2007-11-11 - 2007-11-17,46
2007-11-18 - 2007-11-24,43
2007-11-25 - 2007-12-01,45
2007-12-02 - 2007-12-08,45
2007-12-09 - 2007-12-15,43
2007-12-16 - 2007-12-22,32
2007-12-23 - 2007-12-29,21
2007-12-30 - 2008-01-05,28
