Web Search interest: international development
Worldwide 2004 - present

Interest over time
Week,international development
2004-01-04 - 2004-01-10,79
2004-01-11 - 2004-01-17,96
2004-01-18 - 2004-01-24,84
2004-01-25 - 2004-01-31,88
2004-02-01 - 2004-02-07,91
2004-02-08 - 2004-02-14,76
2004-02-15 - 2004-02-21,86
2004-02-22 - 2004-02-28,93
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,65
2004-03-14 - 2004-03-20,75
2004-03-21 - 2004-03-27,64
2004-03-28 - 2004-04-03,79
2004-04-04 - 2004-04-10,79
2004-04-11 - 2004-04-17,79
2004-04-18 - 2004-04-24,78
2004-04-25 - 2004-05-01,76
2004-05-02 - 2004-05-08,82
2004-05-09 - 2004-05-15,68
2004-05-16 - 2004-05-22,72
2004-05-23 - 2004-05-29,69
2004-05-30 - 2004-06-05,65
2004-06-06 - 2004-06-12,73
2004-06-13 - 2004-06-19,76
2004-06-20 - 2004-06-26,70
2004-06-27 - 2004-07-03,73
2004-07-04 - 2004-07-10,73
2004-07-11 - 2004-07-17,71
2004-07-18 - 2004-07-24,73
2004-07-25 - 2004-07-31,64
2004-08-01 - 2004-08-07,68
2004-08-08 - 2004-08-14,67
2004-08-15 - 2004-08-21,73
2004-08-22 - 2004-08-28,65
2004-08-29 - 2004-09-04,67
2004-09-05 - 2004-09-11,69
2004-09-12 - 2004-09-18,73
2004-09-19 - 2004-09-25,73
2004-09-26 - 2004-10-02,69
2004-10-03 - 2004-10-09,72
2004-10-10 - 2004-10-16,66
2004-10-17 - 2004-10-23,71
2004-10-24 - 2004-10-30,67
2004-10-31 - 2004-11-06,68
2004-11-07 - 2004-11-13,60
2004-11-14 - 2004-11-20,71
2004-11-21 - 2004-11-27,66
2004-11-28 - 2004-12-04,74
2004-12-05 - 2004-12-11,68
2004-12-12 - 2004-12-18,65
2004-12-19 - 2004-12-25,50
2004-12-26 - 2005-01-01,52
2005-01-02 - 2005-01-08,73
2005-01-09 - 2005-01-15,76
2005-01-16 - 2005-01-22,70
2005-01-23 - 2005-01-29,73
2005-01-30 - 2005-02-05,72
2005-02-06 - 2005-02-12,69
2005-02-13 - 2005-02-19,67
2005-02-20 - 2005-02-26,70
2005-02-27 - 2005-03-05,68
2005-03-06 - 2005-03-12,68
2005-03-13 - 2005-03-19,69
2005-03-20 - 2005-03-26,66
2005-03-27 - 2005-04-02,65
2005-04-03 - 2005-04-09,65
2005-04-10 - 2005-04-16,71
2005-04-17 - 2005-04-23,64
2005-04-24 - 2005-04-30,63
2005-05-01 - 2005-05-07,67
2005-05-08 - 2005-05-14,68
2005-05-15 - 2005-05-21,64
2005-05-22 - 2005-05-28,65
2005-05-29 - 2005-06-04,61
2005-06-05 - 2005-06-11,64
2005-06-12 - 2005-06-18,65
2005-06-19 - 2005-06-25,60
2005-06-26 - 2005-07-02,59
2005-07-03 - 2005-07-09,56
2005-07-10 - 2005-07-16,62
2005-07-17 - 2005-07-23,61
2005-07-24 - 2005-07-30,64
2005-07-31 - 2005-08-06,63
2005-08-07 - 2005-08-13,63
2005-08-14 - 2005-08-20,57
2005-08-21 - 2005-08-27,56
2005-08-28 - 2005-09-03,53
2005-09-04 - 2005-09-10,55
2005-09-11 - 2005-09-17,56
2005-09-18 - 2005-09-24,53
2005-09-25 - 2005-10-01,63
2005-10-02 - 2005-10-08,59
2005-10-09 - 2005-10-15,58
2005-10-16 - 2005-10-22,64
2005-10-23 - 2005-10-29,60
2005-10-30 - 2005-11-05,61
2005-11-06 - 2005-11-12,52
2005-11-13 - 2005-11-19,57
2005-11-20 - 2005-11-26,52
2005-11-27 - 2005-12-03,57
2005-12-04 - 2005-12-10,56
2005-12-11 - 2005-12-17,46
2005-12-18 - 2005-12-24,44
2005-12-25 - 2005-12-31,40
2006-01-01 - 2006-01-07,54
2006-01-08 - 2006-01-14,52
2006-01-15 - 2006-01-21,57
2006-01-22 - 2006-01-28,56
2006-01-29 - 2006-02-04,61
2006-02-05 - 2006-02-11,57
2006-02-12 - 2006-02-18,55
2006-02-19 - 2006-02-25,52
2006-02-26 - 2006-03-04,56
2006-03-05 - 2006-03-11,53
2006-03-12 - 2006-03-18,50
2006-03-19 - 2006-03-25,54
2006-03-26 - 2006-04-01,51
2006-04-02 - 2006-04-08,55
2006-04-09 - 2006-04-15,50
2006-04-16 - 2006-04-22,50
2006-04-23 - 2006-04-29,51
2006-04-30 - 2006-05-06,53
2006-05-07 - 2006-05-13,54
2006-05-14 - 2006-05-20,53
2006-05-21 - 2006-05-27,48
2006-05-28 - 2006-06-03,48
2006-06-04 - 2006-06-10,53
2006-06-11 - 2006-06-17,46
2006-06-18 - 2006-06-24,48
2006-06-25 - 2006-07-01,44
2006-07-02 - 2006-07-08,41
2006-07-09 - 2006-07-15,45
2006-07-16 - 2006-07-22,47
2006-07-23 - 2006-07-29,47
2006-07-30 - 2006-08-05,44
2006-08-06 - 2006-08-12,45
2006-08-13 - 2006-08-19,44
2006-08-20 - 2006-08-26,45
2006-08-27 - 2006-09-02,42
2006-09-03 - 2006-09-09,42
2006-09-10 - 2006-09-16,44
2006-09-17 - 2006-09-23,45
2006-09-24 - 2006-09-30,44
2006-10-01 - 2006-10-07,44
2006-10-08 - 2006-10-14,46
2006-10-15 - 2006-10-21,51
2006-10-22 - 2006-10-28,49
2006-10-29 - 2006-11-04,48
2006-11-05 - 2006-11-11,44
2006-11-12 - 2006-11-18,46
2006-11-19 - 2006-11-25,42
2006-11-26 - 2006-12-02,46
2006-12-03 - 2006-12-09,43
2006-12-10 - 2006-12-16,39
2006-12-17 - 2006-12-23,36
2006-12-24 - 2006-12-30,27
2006-12-31 - 2007-01-06,39
2007-01-07 - 2007-01-13,44
2007-01-14 - 2007-01-20,43
2007-01-21 - 2007-01-27,45
2007-01-28 - 2007-02-03,44
2007-02-04 - 2007-02-10,48
2007-02-11 - 2007-02-17,41
2007-02-18 - 2007-02-24,45
2007-02-25 - 2007-03-03,40
2007-03-04 - 2007-03-10,43
2007-03-11 - 2007-03-17,41
2007-03-18 - 2007-03-24,43
2007-03-25 - 2007-03-31,45
2007-04-01 - 2007-04-07,39
2007-04-08 - 2007-04-14,44
2007-04-15 - 2007-04-21,43
2007-04-22 - 2007-04-28,40
2007-04-29 - 2007-05-05,41
2007-05-06 - 2007-05-12,43
2007-05-13 - 2007-05-19,40
2007-05-20 - 2007-05-26,40
2007-05-27 - 2007-06-02,40
2007-06-03 - 2007-06-09,42
2007-06-10 - 2007-06-16,42
2007-06-17 - 2007-06-23,41
2007-06-24 - 2007-06-30,37
2007-07-01 - 2007-07-07,36
2007-07-08 - 2007-07-14,41
2007-07-15 - 2007-07-21,39
2007-07-22 - 2007-07-28,40
2007-07-29 - 2007-08-04,34
2007-08-05 - 2007-08-11,37
2007-08-12 - 2007-08-18,40
2007-08-19 - 2007-08-25,40
2007-08-26 - 2007-09-01,37
2007-09-02 - 2007-09-08,38
2007-09-09 - 2007-09-15,40
2007-09-16 - 2007-09-22,41
2007-09-23 - 2007-09-29,42
2007-09-30 - 2007-10-06,39
2007-10-07 - 2007-10-13,39
2007-10-14 - 2007-10-20,41
2007-10-21 - 2007-10-27,42
2007-10-28 - 2007-11-03,38
2007-11-04 - 2007-11-10,42
2007-11-11 - 2007-11-17,41
2007-11-18 - 2007-11-24,40
2007-11-25 - 2007-12-01,45
2007-12-02 - 2007-12-08,41
2007-12-09 - 2007-12-15,39
2007-12-16 - 2007-12-22,31
2007-12-23 - 2007-12-29,23
2007-12-30 - 2008-01-05,38
2008-01-06 - 2008-01-12,41
2008-01-13 - 2008-01-19,39
2008-01-20 - 2008-01-26,40
2008-01-27 - 2008-02-02,40
2008-02-03 - 2008-02-09,40
2008-02-10 - 2008-02-16,39
2008-02-17 - 2008-02-23,39
2008-02-24 - 2008-03-01,41
2008-03-02 - 2008-03-08,39
2008-03-09 - 2008-03-15,39
2008-03-16 - 2008-03-22,36
2008-03-23 - 2008-03-29,37
2008-03-30 - 2008-04-05,38
2008-04-06 - 2008-04-12,38
2008-04-13 - 2008-04-19,40
2008-04-20 - 2008-04-26,40
2008-04-27 - 2008-05-03,38
2008-05-04 - 2008-05-10,41
2008-05-11 - 2008-05-17,37
2008-05-18 - 2008-05-24,35
2008-05-25 - 2008-05-31,35
2008-06-01 - 2008-06-07,37
2008-06-08 - 2008-06-14,39
2008-06-15 - 2008-06-21,35
2008-06-22 - 2008-06-28,34
2008-06-29 - 2008-07-05,34
2008-07-06 - 2008-07-12,34
2008-07-13 - 2008-07-19,37
2008-07-20 - 2008-07-26,36
2008-07-27 - 2008-08-02,36
2008-08-03 - 2008-08-09,36
2008-08-10 - 2008-08-16,36
2008-08-17 - 2008-08-23,34
2008-08-24 - 2008-08-30,35
