Web Search interest: investment
Worldwide 2004 - present

Interest over time
Week,investment
2004-01-04 - 2004-01-10,94
2004-01-11 - 2004-01-17,98
2004-01-18 - 2004-01-24,97
2004-01-25 - 2004-01-31,96
2004-02-01 - 2004-02-07,97
2004-02-08 - 2004-02-14,94
2004-02-15 - 2004-02-21,96
2004-02-22 - 2004-02-28,94
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,90
2004-03-14 - 2004-03-20,94
2004-03-21 - 2004-03-27,81
2004-03-28 - 2004-04-03,93
2004-04-04 - 2004-04-10,92
2004-04-11 - 2004-04-17,93
2004-04-18 - 2004-04-24,91
2004-04-25 - 2004-05-01,89
2004-05-02 - 2004-05-08,83
2004-05-09 - 2004-05-15,82
2004-05-16 - 2004-05-22,85
2004-05-23 - 2004-05-29,79
2004-05-30 - 2004-06-05,80
2004-06-06 - 2004-06-12,83
2004-06-13 - 2004-06-19,86
2004-06-20 - 2004-06-26,85
2004-06-27 - 2004-07-03,83
2004-07-04 - 2004-07-10,82
2004-07-11 - 2004-07-17,88
2004-07-18 - 2004-07-24,89
2004-07-25 - 2004-07-31,88
2004-08-01 - 2004-08-07,88
2004-08-08 - 2004-08-14,86
2004-08-15 - 2004-08-21,82
2004-08-22 - 2004-08-28,84
2004-08-29 - 2004-09-04,79
2004-09-05 - 2004-09-11,79
2004-09-12 - 2004-09-18,84
2004-09-19 - 2004-09-25,85
2004-09-26 - 2004-10-02,85
2004-10-03 - 2004-10-09,87
2004-10-10 - 2004-10-16,81
2004-10-17 - 2004-10-23,81
2004-10-24 - 2004-10-30,85
2004-10-31 - 2004-11-06,82
2004-11-07 - 2004-11-13,79
2004-11-14 - 2004-11-20,86
2004-11-21 - 2004-11-27,77
2004-11-28 - 2004-12-04,83
2004-12-05 - 2004-12-11,85
2004-12-12 - 2004-12-18,77
2004-12-19 - 2004-12-25,71
2004-12-26 - 2005-01-01,67
2005-01-02 - 2005-01-08,85
2005-01-09 - 2005-01-15,87
2005-01-16 - 2005-01-22,84
2005-01-23 - 2005-01-29,86
2005-01-30 - 2005-02-05,91
2005-02-06 - 2005-02-12,90
2005-02-13 - 2005-02-19,89
2005-02-20 - 2005-02-26,87
2005-02-27 - 2005-03-05,88
2005-03-06 - 2005-03-12,87
2005-03-13 - 2005-03-19,85
2005-03-20 - 2005-03-26,83
2005-03-27 - 2005-04-02,83
2005-04-03 - 2005-04-09,79
2005-04-10 - 2005-04-16,82
2005-04-17 - 2005-04-23,81
2005-04-24 - 2005-04-30,81
2005-05-01 - 2005-05-07,80
2005-05-08 - 2005-05-14,81
2005-05-15 - 2005-05-21,78
2005-05-22 - 2005-05-28,76
2005-05-29 - 2005-06-04,73
2005-06-05 - 2005-06-11,78
2005-06-12 - 2005-06-18,78
2005-06-19 - 2005-06-25,81
2005-06-26 - 2005-07-02,78
2005-07-03 - 2005-07-09,73
2005-07-10 - 2005-07-16,80
2005-07-17 - 2005-07-23,81
2005-07-24 - 2005-07-30,78
2005-07-31 - 2005-08-06,77
2005-08-07 - 2005-08-13,80
2005-08-14 - 2005-08-20,79
2005-08-21 - 2005-08-27,76
2005-08-28 - 2005-09-03,70
2005-09-04 - 2005-09-10,73
2005-09-11 - 2005-09-17,76
2005-09-18 - 2005-09-24,78
2005-09-25 - 2005-10-01,81
2005-10-02 - 2005-10-08,80
2005-10-09 - 2005-10-15,76
2005-10-16 - 2005-10-22,76
2005-10-23 - 2005-10-29,76
2005-10-30 - 2005-11-05,78
2005-11-06 - 2005-11-12,76
2005-11-13 - 2005-11-19,76
2005-11-20 - 2005-11-26,71
2005-11-27 - 2005-12-03,75
2005-12-04 - 2005-12-10,75
2005-12-11 - 2005-12-17,70
2005-12-18 - 2005-12-24,65
2005-12-25 - 2005-12-31,60
2006-01-01 - 2006-01-07,75
2006-01-08 - 2006-01-14,81
2006-01-15 - 2006-01-21,79
2006-01-22 - 2006-01-28,79
2006-01-29 - 2006-02-04,81
2006-02-05 - 2006-02-11,80
2006-02-12 - 2006-02-18,78
2006-02-19 - 2006-02-25,77
2006-02-26 - 2006-03-04,79
2006-03-05 - 2006-03-11,79
2006-03-12 - 2006-03-18,79
2006-03-19 - 2006-03-25,80
2006-03-26 - 2006-04-01,77
2006-04-02 - 2006-04-08,78
2006-04-09 - 2006-04-15,74
2006-04-16 - 2006-04-22,76
2006-04-23 - 2006-04-29,76
2006-04-30 - 2006-05-06,73
2006-05-07 - 2006-05-13,75
2006-05-14 - 2006-05-20,73
