Web Search interest: keynesian+economics
Worldwide 2004 - present

Interest over time
Week,keynesian+economics
2004-01-04 - 2004-01-10,86
2004-01-11 - 2004-01-17,100
2004-01-18 - 2004-01-24,95
2004-01-25 - 2004-01-31,94
2004-02-01 - 2004-02-07,95
2004-02-08 - 2004-02-14,95
2004-02-15 - 2004-02-21,92
2004-02-22 - 2004-02-28,99
2004-02-29 - 2004-03-06,98
2004-03-07 - 2004-03-13,90
2004-03-14 - 2004-03-20,92
2004-03-21 - 2004-03-27,76
2004-03-28 - 2004-04-03,94
2004-04-04 - 2004-04-10,93
2004-04-11 - 2004-04-17,91
2004-04-18 - 2004-04-24,92
2004-04-25 - 2004-05-01,93
2004-05-02 - 2004-05-08,90
2004-05-09 - 2004-05-15,89
2004-05-16 - 2004-05-22,84
2004-05-23 - 2004-05-29,77
2004-05-30 - 2004-06-05,76
2004-06-06 - 2004-06-12,80
2004-06-13 - 2004-06-19,72
2004-06-20 - 2004-06-26,76
2004-06-27 - 2004-07-03,69
2004-07-04 - 2004-07-10,70
2004-07-11 - 2004-07-17,69
2004-07-18 - 2004-07-24,68
2004-07-25 - 2004-07-31,72
2004-08-01 - 2004-08-07,71
2004-08-08 - 2004-08-14,72
2004-08-15 - 2004-08-21,70
2004-08-22 - 2004-08-28,76
2004-08-29 - 2004-09-04,76
2004-09-05 - 2004-09-11,81
2004-09-12 - 2004-09-18,89
2004-09-19 - 2004-09-25,91
2004-09-26 - 2004-10-02,91
2004-10-03 - 2004-10-09,94
2004-10-10 - 2004-10-16,94
2004-10-17 - 2004-10-23,86
2004-10-24 - 2004-10-30,88
2004-10-31 - 2004-11-06,88
2004-11-07 - 2004-11-13,80
2004-11-14 - 2004-11-20,93
2004-11-21 - 2004-11-27,81
2004-11-28 - 2004-12-04,86
2004-12-05 - 2004-12-11,93
2004-12-12 - 2004-12-18,83
2004-12-19 - 2004-12-25,56
2004-12-26 - 2005-01-01,48
2005-01-02 - 2005-01-08,72
2005-01-09 - 2005-01-15,82
2005-01-16 - 2005-01-22,76
2005-01-23 - 2005-01-29,78
2005-01-30 - 2005-02-05,84
2005-02-06 - 2005-02-12,81
2005-02-13 - 2005-02-19,75
2005-02-20 - 2005-02-26,81
2005-02-27 - 2005-03-05,80
2005-03-06 - 2005-03-12,80
2005-03-13 - 2005-03-19,79
2005-03-20 - 2005-03-26,74
2005-03-27 - 2005-04-02,73
2005-04-03 - 2005-04-09,74
2005-04-10 - 2005-04-16,75
2005-04-17 - 2005-04-23,75
2005-04-24 - 2005-04-30,80
2005-05-01 - 2005-05-07,78
2005-05-08 - 2005-05-14,77
2005-05-15 - 2005-05-21,69
2005-05-22 - 2005-05-28,65
2005-05-29 - 2005-06-04,63
2005-06-05 - 2005-06-11,64
2005-06-12 - 2005-06-18,62
2005-06-19 - 2005-06-25,61
2005-06-26 - 2005-07-02,58
2005-07-03 - 2005-07-09,56
