Web Search interest: light
Worldwide 2004 - present

Interest over time
Week,light
2004-01-04 - 2004-01-10,69
2004-01-11 - 2004-01-17,66
2004-01-18 - 2004-01-24,68
2004-01-25 - 2004-01-31,68
2004-02-01 - 2004-02-07,68
2004-02-08 - 2004-02-14,65
2004-02-15 - 2004-02-21,67
2004-02-22 - 2004-02-28,67
2004-02-29 - 2004-03-06,65
2004-03-07 - 2004-03-13,61
2004-03-14 - 2004-03-20,64
2004-03-21 - 2004-03-27,65
2004-03-28 - 2004-04-03,65
2004-04-04 - 2004-04-10,64
2004-04-11 - 2004-04-17,60
2004-04-18 - 2004-04-24,64
2004-04-25 - 2004-05-01,63
2004-05-02 - 2004-05-08,61
2004-05-09 - 2004-05-15,59
2004-05-16 - 2004-05-22,61
2004-05-23 - 2004-05-29,60
2004-05-30 - 2004-06-05,59
2004-06-06 - 2004-06-12,58
2004-06-13 - 2004-06-19,58
2004-06-20 - 2004-06-26,58
2004-06-27 - 2004-07-03,58
2004-07-04 - 2004-07-10,58
2004-07-11 - 2004-07-17,61
2004-07-18 - 2004-07-24,62
2004-07-25 - 2004-07-31,62
2004-08-01 - 2004-08-07,61
2004-08-08 - 2004-08-14,61
2004-08-15 - 2004-08-21,60
2004-08-22 - 2004-08-28,61
2004-08-29 - 2004-09-04,61
2004-09-05 - 2004-09-11,62
2004-09-12 - 2004-09-18,63
2004-09-19 - 2004-09-25,65
2004-09-26 - 2004-10-02,65
2004-10-03 - 2004-10-09,65
2004-10-10 - 2004-10-16,65
2004-10-17 - 2004-10-23,66
2004-10-24 - 2004-10-30,69
2004-10-31 - 2004-11-06,65
2004-11-07 - 2004-11-13,67
2004-11-14 - 2004-11-20,68
2004-11-21 - 2004-11-27,64
2004-11-28 - 2004-12-04,70
2004-12-05 - 2004-12-11,73
2004-12-12 - 2004-12-18,66
2004-12-19 - 2004-12-25,64
2004-12-26 - 2005-01-01,61
2005-01-02 - 2005-01-08,64
2005-01-09 - 2005-01-15,64
2005-01-16 - 2005-01-22,63
2005-01-23 - 2005-01-29,64
2005-01-30 - 2005-02-05,63
2005-02-06 - 2005-02-12,64
2005-02-13 - 2005-02-19,61
2005-02-20 - 2005-02-26,62
2005-02-27 - 2005-03-05,61
2005-03-06 - 2005-03-12,60
2005-03-13 - 2005-03-19,61
2005-03-20 - 2005-03-26,62
2005-03-27 - 2005-04-02,63
2005-04-03 - 2005-04-09,61
2005-04-10 - 2005-04-16,59
2005-04-17 - 2005-04-23,59
2005-04-24 - 2005-04-30,61
2005-05-01 - 2005-05-07,62
2005-05-08 - 2005-05-14,59
2005-05-15 - 2005-05-21,61
2005-05-22 - 2005-05-28,63
2005-05-29 - 2005-06-04,59
2005-06-05 - 2005-06-11,59
2005-06-12 - 2005-06-18,57
2005-06-19 - 2005-06-25,57
2005-06-26 - 2005-07-02,60
2005-07-03 - 2005-07-09,56
2005-07-10 - 2005-07-16,58
2005-07-17 - 2005-07-23,57
2005-07-24 - 2005-07-30,59
2005-07-31 - 2005-08-06,58
2005-08-07 - 2005-08-13,60
2005-08-14 - 2005-08-20,61
2005-08-21 - 2005-08-27,60
2005-08-28 - 2005-09-03,57
2005-09-04 - 2005-09-10,58
2005-09-11 - 2005-09-17,61
2005-09-18 - 2005-09-24,61
2005-09-25 - 2005-10-01,63
2005-10-02 - 2005-10-08,64
2005-10-09 - 2005-10-15,64
2005-10-16 - 2005-10-22,64
2005-10-23 - 2005-10-29,69
2005-10-30 - 2005-11-05,67
2005-11-06 - 2005-11-12,65
2005-11-13 - 2005-11-19,65
2005-11-20 - 2005-11-26,65
