Web Search interest: lymph node
Worldwide 2004 - present

Interest over time
Week,lymph node
2004-01-04 - 2004-01-10,80
2004-01-11 - 2004-01-17,74
2004-01-18 - 2004-01-24,72
2004-01-25 - 2004-01-31,72
2004-02-01 - 2004-02-07,80
2004-02-08 - 2004-02-14,94
2004-02-15 - 2004-02-21,84
2004-02-22 - 2004-02-28,95
2004-02-29 - 2004-03-06,86
2004-03-07 - 2004-03-13,89
2004-03-14 - 2004-03-20,88
2004-03-21 - 2004-03-27,83
2004-03-28 - 2004-04-03,82
2004-04-04 - 2004-04-10,84
2004-04-11 - 2004-04-17,93
2004-04-18 - 2004-04-24,71
2004-04-25 - 2004-05-01,82
2004-05-02 - 2004-05-08,78
2004-05-09 - 2004-05-15,87
2004-05-16 - 2004-05-22,94
2004-05-23 - 2004-05-29,83
2004-05-30 - 2004-06-05,81
2004-06-06 - 2004-06-12,86
2004-06-13 - 2004-06-19,93
2004-06-20 - 2004-06-26,81
2004-06-27 - 2004-07-03,87
2004-07-04 - 2004-07-10,82
2004-07-11 - 2004-07-17,82
2004-07-18 - 2004-07-24,93
2004-07-25 - 2004-07-31,89
2004-08-01 - 2004-08-07,84
2004-08-08 - 2004-08-14,81
2004-08-15 - 2004-08-21,81
2004-08-22 - 2004-08-28,87
2004-08-29 - 2004-09-04,81
2004-09-05 - 2004-09-11,84
2004-09-12 - 2004-09-18,85
2004-09-19 - 2004-09-25,79
2004-09-26 - 2004-10-02,87
2004-10-03 - 2004-10-09,91
2004-10-10 - 2004-10-16,68
2004-10-17 - 2004-10-23,100
2004-10-24 - 2004-10-30,66
2004-10-31 - 2004-11-06,94
2004-11-07 - 2004-11-13,86
2004-11-14 - 2004-11-20,82
2004-11-21 - 2004-11-27,77
2004-11-28 - 2004-12-04,94
2004-12-05 - 2004-12-11,99
2004-12-12 - 2004-12-18,90
2004-12-19 - 2004-12-25,73
2004-12-26 - 2005-01-01,71
2005-01-02 - 2005-01-08,87
2005-01-09 - 2005-01-15,74
2005-01-16 - 2005-01-22,90
2005-01-23 - 2005-01-29,86
2005-01-30 - 2005-02-05,78
2005-02-06 - 2005-02-12,88
2005-02-13 - 2005-02-19,88
2005-02-20 - 2005-02-26,96
2005-02-27 - 2005-03-05,97
2005-03-06 - 2005-03-12,97
2005-03-13 - 2005-03-19,99
2005-03-20 - 2005-03-26,88
2005-03-27 - 2005-04-02,85
2005-04-03 - 2005-04-09,78
2005-04-10 - 2005-04-16,82
2005-04-17 - 2005-04-23,79
2005-04-24 - 2005-04-30,94
2005-05-01 - 2005-05-07,81
2005-05-08 - 2005-05-14,96
2005-05-15 - 2005-05-21,91
2005-05-22 - 2005-05-28,82
2005-05-29 - 2005-06-04,76
2005-06-05 - 2005-06-11,84
2005-06-12 - 2005-06-18,89
2005-06-19 - 2005-06-25,84
2005-06-26 - 2005-07-02,88
2005-07-03 - 2005-07-09,84
2005-07-10 - 2005-07-16,84
2005-07-17 - 2005-07-23,74
2005-07-24 - 2005-07-30,92
2005-07-31 - 2005-08-06,84
2005-08-07 - 2005-08-13,87
2005-08-14 - 2005-08-20,82
2005-08-21 - 2005-08-27,93
2005-08-28 - 2005-09-03,76
2005-09-04 - 2005-09-10,81
2005-09-11 - 2005-09-17,86
2005-09-18 - 2005-09-24,88
2005-09-25 - 2005-10-01,71
2005-10-02 - 2005-10-08,80
2005-10-09 - 2005-10-15,85
2005-10-16 - 2005-10-22,79
2005-10-23 - 2005-10-29,89
2005-10-30 - 2005-11-05,76
2005-11-06 - 2005-11-12,87
2005-11-13 - 2005-11-19,76
2005-11-20 - 2005-11-26,75
2005-11-27 - 2005-12-03,74
2005-12-04 - 2005-12-10,77
2005-12-11 - 2005-12-17,73
2005-12-18 - 2005-12-24,69
2005-12-25 - 2005-12-31,73
2006-01-01 - 2006-01-07,75
2006-01-08 - 2006-01-14,73
2006-01-15 - 2006-01-21,83
2006-01-22 - 2006-01-28,89
2006-01-29 - 2006-02-04,89
2006-02-05 - 2006-02-11,71
2006-02-12 - 2006-02-18,71
2006-02-19 - 2006-02-25,80
2006-02-26 - 2006-03-04,84
2006-03-05 - 2006-03-11,85
2006-03-12 - 2006-03-18,72
2006-03-19 - 2006-03-25,93
2006-03-26 - 2006-04-01,69
2006-04-02 - 2006-04-08,87
2006-04-09 - 2006-04-15,77
2006-04-16 - 2006-04-22,81
2006-04-23 - 2006-04-29,91
2006-04-30 - 2006-05-06,94
2006-05-07 - 2006-05-13,92
2006-05-14 - 2006-05-20,86
2006-05-21 - 2006-05-27,85
2006-05-28 - 2006-06-03,78
2006-06-04 - 2006-06-10,89
2006-06-11 - 2006-06-17,83
2006-06-18 - 2006-06-24,84
2006-06-25 - 2006-07-01,80
2006-07-02 - 2006-07-08,83
2006-07-09 - 2006-07-15,92
2006-07-16 - 2006-07-22,89
2006-07-23 - 2006-07-29,68
2006-07-30 - 2006-08-05,88
2006-08-06 - 2006-08-12,80
2006-08-13 - 2006-08-19,79
2006-08-20 - 2006-08-26,79
2006-08-27 - 2006-09-02,87
2006-09-03 - 2006-09-09,77
2006-09-10 - 2006-09-16,76
2006-09-17 - 2006-09-23,80
2006-09-24 - 2006-09-30,77
2006-10-01 - 2006-10-07,71
2006-10-08 - 2006-10-14,73
2006-10-15 - 2006-10-21,82
2006-10-22 - 2006-10-28,84
2006-10-29 - 2006-11-04,74
2006-11-05 - 2006-11-11,80
2006-11-12 - 2006-11-18,77
2006-11-19 - 2006-11-25,63
2006-11-26 - 2006-12-02,80
2006-12-03 - 2006-12-09,80
2006-12-10 - 2006-12-16,81
2006-12-17 - 2006-12-23,73
2006-12-24 - 2006-12-30,64
2006-12-31 - 2007-01-06,67
2007-01-07 - 2007-01-13,81
2007-01-14 - 2007-01-20,76
2007-01-21 - 2007-01-27,69
2007-01-28 - 2007-02-03,73
2007-02-04 - 2007-02-10,72
2007-02-11 - 2007-02-17,68
2007-02-18 - 2007-02-24,80
2007-02-25 - 2007-03-03,71
2007-03-04 - 2007-03-10,71
2007-03-11 - 2007-03-17,79
2007-03-18 - 2007-03-24,77
2007-03-25 - 2007-03-31,73
2007-04-01 - 2007-04-07,84
2007-04-08 - 2007-04-14,64
2007-04-15 - 2007-04-21,77
2007-04-22 - 2007-04-28,71
2007-04-29 - 2007-05-05,78
2007-05-06 - 2007-05-12,71
2007-05-13 - 2007-05-19,82
2007-05-20 - 2007-05-26,78
2007-05-27 - 2007-06-02,73
2007-06-03 - 2007-06-09,79
2007-06-10 - 2007-06-16,67
2007-06-17 - 2007-06-23,75
2007-06-24 - 2007-06-30,73
2007-07-01 - 2007-07-07,73
