Web Search interest: mass spectrometry
Worldwide 2004 - present

Interest over time
Week,mass spectrometry
2004-01-04 - 2004-01-10,68
2004-01-11 - 2004-01-17,100
2004-01-18 - 2004-01-24,77
2004-01-25 - 2004-01-31,78
2004-02-01 - 2004-02-07,86
2004-02-08 - 2004-02-14,83
2004-02-15 - 2004-02-21,82
2004-02-22 - 2004-02-28,82
2004-02-29 - 2004-03-06,95
2004-03-07 - 2004-03-13,81
2004-03-14 - 2004-03-20,94
2004-03-21 - 2004-03-27,71
2004-03-28 - 2004-04-03,92
2004-04-04 - 2004-04-10,95
2004-04-11 - 2004-04-17,100
2004-04-18 - 2004-04-24,92
2004-04-25 - 2004-05-01,97
2004-05-02 - 2004-05-08,85
2004-05-09 - 2004-05-15,81
2004-05-16 - 2004-05-22,82
2004-05-23 - 2004-05-29,77
2004-05-30 - 2004-06-05,67
2004-06-06 - 2004-06-12,81
2004-06-13 - 2004-06-19,72
2004-06-20 - 2004-06-26,82
2004-06-27 - 2004-07-03,77
2004-07-04 - 2004-07-10,64
2004-07-11 - 2004-07-17,82
2004-07-18 - 2004-07-24,76
2004-07-25 - 2004-07-31,63
2004-08-01 - 2004-08-07,74
2004-08-08 - 2004-08-14,65
2004-08-15 - 2004-08-21,61
2004-08-22 - 2004-08-28,78
2004-08-29 - 2004-09-04,72
2004-09-05 - 2004-09-11,71
2004-09-12 - 2004-09-18,74
2004-09-19 - 2004-09-25,64
2004-09-26 - 2004-10-02,77
2004-10-03 - 2004-10-09,82
2004-10-10 - 2004-10-16,75
2004-10-17 - 2004-10-23,84
2004-10-24 - 2004-10-30,73
2004-10-31 - 2004-11-06,92
2004-11-07 - 2004-11-13,68
2004-11-14 - 2004-11-20,89
2004-11-21 - 2004-11-27,70
2004-11-28 - 2004-12-04,88
2004-12-05 - 2004-12-11,63
2004-12-12 - 2004-12-18,60
2004-12-19 - 2004-12-25,51
2004-12-26 - 2005-01-01,33
2005-01-02 - 2005-01-08,67
2005-01-09 - 2005-01-15,73
2005-01-16 - 2005-01-22,73
2005-01-23 - 2005-01-29,81
2005-01-30 - 2005-02-05,74
2005-02-06 - 2005-02-12,79
2005-02-13 - 2005-02-19,74
2005-02-20 - 2005-02-26,66
2005-02-27 - 2005-03-05,75
2005-03-06 - 2005-03-12,79
2005-03-13 - 2005-03-19,76
2005-03-20 - 2005-03-26,66
2005-03-27 - 2005-04-02,76
2005-04-03 - 2005-04-09,71
2005-04-10 - 2005-04-16,71
2005-04-17 - 2005-04-23,73
2005-04-24 - 2005-04-30,77
2005-05-01 - 2005-05-07,79
2005-05-08 - 2005-05-14,85
2005-05-15 - 2005-05-21,57
2005-05-22 - 2005-05-28,62
2005-05-29 - 2005-06-04,67
2005-06-05 - 2005-06-11,60
2005-06-12 - 2005-06-18,65
2005-06-19 - 2005-06-25,75
2005-06-26 - 2005-07-02,62
2005-07-03 - 2005-07-09,58
2005-07-10 - 2005-07-16,50
2005-07-17 - 2005-07-23,60
2005-07-24 - 2005-07-30,55
