Web Search interest: matter
Worldwide 2004 - present

Interest over time
Week,matter
2004-01-04 - 2004-01-10,52
2004-01-11 - 2004-01-17,48
2004-01-18 - 2004-01-24,51
2004-01-25 - 2004-01-31,54
2004-02-01 - 2004-02-07,52
2004-02-08 - 2004-02-14,50
2004-02-15 - 2004-02-21,50
2004-02-22 - 2004-02-28,56
2004-02-29 - 2004-03-06,46
2004-03-07 - 2004-03-13,53
2004-03-14 - 2004-03-20,52
2004-03-21 - 2004-03-27,50
2004-03-28 - 2004-04-03,50
2004-04-04 - 2004-04-10,48
2004-04-11 - 2004-04-17,46
2004-04-18 - 2004-04-24,51
2004-04-25 - 2004-05-01,48
2004-05-02 - 2004-05-08,50
2004-05-09 - 2004-05-15,44
2004-05-16 - 2004-05-22,45
2004-05-23 - 2004-05-29,44
2004-05-30 - 2004-06-05,40
2004-06-06 - 2004-06-12,41
2004-06-13 - 2004-06-19,40
2004-06-20 - 2004-06-26,43
2004-06-27 - 2004-07-03,40
2004-07-04 - 2004-07-10,36
2004-07-11 - 2004-07-17,42
2004-07-18 - 2004-07-24,40
2004-07-25 - 2004-07-31,41
2004-08-01 - 2004-08-07,42
2004-08-08 - 2004-08-14,41
2004-08-15 - 2004-08-21,39
2004-08-22 - 2004-08-28,44
2004-08-29 - 2004-09-04,46
2004-09-05 - 2004-09-11,52
2004-09-12 - 2004-09-18,52
2004-09-19 - 2004-09-25,55
2004-09-26 - 2004-10-02,57
2004-10-03 - 2004-10-09,57
2004-10-10 - 2004-10-16,53
2004-10-17 - 2004-10-23,53
2004-10-24 - 2004-10-30,54
2004-10-31 - 2004-11-06,50
2004-11-07 - 2004-11-13,48
2004-11-14 - 2004-11-20,57
2004-11-21 - 2004-11-27,49
2004-11-28 - 2004-12-04,53
2004-12-05 - 2004-12-11,53
2004-12-12 - 2004-12-18,50
2004-12-19 - 2004-12-25,41
2004-12-26 - 2005-01-01,41
2005-01-02 - 2005-01-08,45
2005-01-09 - 2005-01-15,49
2005-01-16 - 2005-01-22,49
2005-01-23 - 2005-01-29,51
2005-01-30 - 2005-02-05,51
2005-02-06 - 2005-02-12,49
2005-02-13 - 2005-02-19,48
2005-02-20 - 2005-02-26,52
2005-02-27 - 2005-03-05,49
2005-03-06 - 2005-03-12,48
2005-03-13 - 2005-03-19,46
2005-03-20 - 2005-03-26,45
2005-03-27 - 2005-04-02,46
2005-04-03 - 2005-04-09,47
2005-04-10 - 2005-04-16,47
2005-04-17 - 2005-04-23,45
2005-04-24 - 2005-04-30,48
2005-05-01 - 2005-05-07,51
2005-05-08 - 2005-05-14,48
