Web Search interest: meiosis
Worldwide 2004 - present

Interest over time
Week,meiosis
2004-01-04 - 2004-01-10,45
2004-01-11 - 2004-01-17,66
2004-01-18 - 2004-01-24,61
2004-01-25 - 2004-01-31,53
2004-02-01 - 2004-02-07,67
2004-02-08 - 2004-02-14,74
2004-02-15 - 2004-02-21,69
2004-02-22 - 2004-02-28,69
2004-02-29 - 2004-03-06,71
2004-03-07 - 2004-03-13,58
2004-03-14 - 2004-03-20,61
2004-03-21 - 2004-03-27,63
2004-03-28 - 2004-04-03,64
2004-04-04 - 2004-04-10,42
2004-04-11 - 2004-04-17,62
2004-04-18 - 2004-04-24,70
2004-04-25 - 2004-05-01,80
2004-05-02 - 2004-05-08,69
2004-05-09 - 2004-05-15,66
2004-05-16 - 2004-05-22,58
2004-05-23 - 2004-05-29,56
2004-05-30 - 2004-06-05,59
2004-06-06 - 2004-06-12,56
2004-06-13 - 2004-06-19,55
2004-06-20 - 2004-06-26,44
2004-06-27 - 2004-07-03,32
2004-07-04 - 2004-07-10,27
2004-07-11 - 2004-07-17,30
2004-07-18 - 2004-07-24,21
2004-07-25 - 2004-07-31,28
2004-08-01 - 2004-08-07,29
2004-08-08 - 2004-08-14,28
2004-08-15 - 2004-08-21,31
2004-08-22 - 2004-08-28,33
2004-08-29 - 2004-09-04,35
2004-09-05 - 2004-09-11,48
2004-09-12 - 2004-09-18,49
2004-09-19 - 2004-09-25,48
2004-09-26 - 2004-10-02,52
2004-10-03 - 2004-10-09,60
2004-10-10 - 2004-10-16,63
2004-10-17 - 2004-10-23,74
2004-10-24 - 2004-10-30,81
2004-10-31 - 2004-11-06,80
2004-11-07 - 2004-11-13,73
2004-11-14 - 2004-11-20,92
2004-11-21 - 2004-11-27,70
2004-11-28 - 2004-12-04,73
2004-12-05 - 2004-12-11,74
2004-12-12 - 2004-12-18,61
2004-12-19 - 2004-12-25,20
2004-12-26 - 2005-01-01,16
2005-01-02 - 2005-01-08,36
2005-01-09 - 2005-01-15,55
2005-01-16 - 2005-01-22,58
2005-01-23 - 2005-01-29,56
2005-01-30 - 2005-02-05,54
2005-02-06 - 2005-02-12,61
2005-02-13 - 2005-02-19,65
2005-02-20 - 2005-02-26,64
2005-02-27 - 2005-03-05,68
2005-03-06 - 2005-03-12,65
2005-03-13 - 2005-03-19,63
2005-03-20 - 2005-03-26,44
