Web Search interest: metal
Worldwide 2004 - present

Interest over time
Week,metal
2004-01-04 - 2004-01-10,87
2004-01-11 - 2004-01-17,86
2004-01-18 - 2004-01-24,89
2004-01-25 - 2004-01-31,88
2004-02-01 - 2004-02-07,87
2004-02-08 - 2004-02-14,87
2004-02-15 - 2004-02-21,86
2004-02-22 - 2004-02-28,89
2004-02-29 - 2004-03-06,85
2004-03-07 - 2004-03-13,90
2004-03-14 - 2004-03-20,90
2004-03-21 - 2004-03-27,94
2004-03-28 - 2004-04-03,89
2004-04-04 - 2004-04-10,91
2004-04-11 - 2004-04-17,86
2004-04-18 - 2004-04-24,88
2004-04-25 - 2004-05-01,87
2004-05-02 - 2004-05-08,90
2004-05-09 - 2004-05-15,87
2004-05-16 - 2004-05-22,87
2004-05-23 - 2004-05-29,86
2004-05-30 - 2004-06-05,91
2004-06-06 - 2004-06-12,92
2004-06-13 - 2004-06-19,86
2004-06-20 - 2004-06-26,85
2004-06-27 - 2004-07-03,85
2004-07-04 - 2004-07-10,87
2004-07-11 - 2004-07-17,86
2004-07-18 - 2004-07-24,88
2004-07-25 - 2004-07-31,87
2004-08-01 - 2004-08-07,87
2004-08-08 - 2004-08-14,86
2004-08-15 - 2004-08-21,88
2004-08-22 - 2004-08-28,90
2004-08-29 - 2004-09-04,86
2004-09-05 - 2004-09-11,84
2004-09-12 - 2004-09-18,84
2004-09-19 - 2004-09-25,85
2004-09-26 - 2004-10-02,85
2004-10-03 - 2004-10-09,85
2004-10-10 - 2004-10-16,85
2004-10-17 - 2004-10-23,84
2004-10-24 - 2004-10-30,80
2004-10-31 - 2004-11-06,80
2004-11-07 - 2004-11-13,87
2004-11-14 - 2004-11-20,90
2004-11-21 - 2004-11-27,91
2004-11-28 - 2004-12-04,91
2004-12-05 - 2004-12-11,96
2004-12-12 - 2004-12-18,92
2004-12-19 - 2004-12-25,96
2004-12-26 - 2005-01-01,95
2005-01-02 - 2005-01-08,93
2005-01-09 - 2005-01-15,90
2005-01-16 - 2005-01-22,88
2005-01-23 - 2005-01-29,89
2005-01-30 - 2005-02-05,88
2005-02-06 - 2005-02-12,88
2005-02-13 - 2005-02-19,88
2005-02-20 - 2005-02-26,88
2005-02-27 - 2005-03-05,94
2005-03-06 - 2005-03-12,100
2005-03-13 - 2005-03-19,97
2005-03-20 - 2005-03-26,97
2005-03-27 - 2005-04-02,95
2005-04-03 - 2005-04-09,91
2005-04-10 - 2005-04-16,90
2005-04-17 - 2005-04-23,88
2005-04-24 - 2005-04-30,89
2005-05-01 - 2005-05-07,87
2005-05-08 - 2005-05-14,83
2005-05-15 - 2005-05-21,84
2005-05-22 - 2005-05-28,85
2005-05-29 - 2005-06-04,83
2005-06-05 - 2005-06-11,84
2005-06-12 - 2005-06-18,83
2005-06-19 - 2005-06-25,82
2005-06-26 - 2005-07-02,82
2005-07-03 - 2005-07-09,82
2005-07-10 - 2005-07-16,83
2005-07-17 - 2005-07-23,83
2005-07-24 - 2005-07-30,84
2005-07-31 - 2005-08-06,85
