Web Search interest: myth
Worldwide 2004 - present

Interest over time
Week,myth
2004-01-04 - 2004-01-10,85
2004-01-11 - 2004-01-17,84
2004-01-18 - 2004-01-24,83
2004-01-25 - 2004-01-31,89
2004-02-01 - 2004-02-07,90
2004-02-08 - 2004-02-14,87
2004-02-15 - 2004-02-21,88
2004-02-22 - 2004-02-28,92
2004-02-29 - 2004-03-06,83
2004-03-07 - 2004-03-13,85
2004-03-14 - 2004-03-20,88
2004-03-21 - 2004-03-27,90
2004-03-28 - 2004-04-03,88
2004-04-04 - 2004-04-10,81
2004-04-11 - 2004-04-17,78
2004-04-18 - 2004-04-24,88
2004-04-25 - 2004-05-01,89
2004-05-02 - 2004-05-08,85
2004-05-09 - 2004-05-15,83
2004-05-16 - 2004-05-22,86
2004-05-23 - 2004-05-29,78
2004-05-30 - 2004-06-05,72
2004-06-06 - 2004-06-12,64
2004-06-13 - 2004-06-19,65
2004-06-20 - 2004-06-26,60
2004-06-27 - 2004-07-03,64
2004-07-04 - 2004-07-10,57
2004-07-11 - 2004-07-17,57
2004-07-18 - 2004-07-24,60
2004-07-25 - 2004-07-31,62
2004-08-01 - 2004-08-07,59
2004-08-08 - 2004-08-14,65
2004-08-15 - 2004-08-21,61
2004-08-22 - 2004-08-28,67
2004-08-29 - 2004-09-04,67
2004-09-05 - 2004-09-11,71
2004-09-12 - 2004-09-18,89
2004-09-19 - 2004-09-25,82
2004-09-26 - 2004-10-02,85
2004-10-03 - 2004-10-09,86
2004-10-10 - 2004-10-16,86
2004-10-17 - 2004-10-23,90
2004-10-24 - 2004-10-30,95
2004-10-31 - 2004-11-06,82
2004-11-07 - 2004-11-13,81
2004-11-14 - 2004-11-20,86
2004-11-21 - 2004-11-27,75
2004-11-28 - 2004-12-04,86
2004-12-05 - 2004-12-11,90
2004-12-12 - 2004-12-18,85
2004-12-19 - 2004-12-25,66
2004-12-26 - 2005-01-01,60
2005-01-02 - 2005-01-08,72
2005-01-09 - 2005-01-15,75
2005-01-16 - 2005-01-22,76
2005-01-23 - 2005-01-29,84
2005-01-30 - 2005-02-05,85
2005-02-06 - 2005-02-12,90
2005-02-13 - 2005-02-19,83
2005-02-20 - 2005-02-26,85
2005-02-27 - 2005-03-05,80
2005-03-06 - 2005-03-12,85
2005-03-13 - 2005-03-19,83
2005-03-20 - 2005-03-26,77
2005-03-27 - 2005-04-02,75
2005-04-03 - 2005-04-09,75
2005-04-10 - 2005-04-16,74
2005-04-17 - 2005-04-23,79
2005-04-24 - 2005-04-30,80
2005-05-01 - 2005-05-07,83
2005-05-08 - 2005-05-14,76
2005-05-15 - 2005-05-21,78
2005-05-22 - 2005-05-28,68
2005-05-29 - 2005-06-04,67
2005-06-05 - 2005-06-11,68
2005-06-12 - 2005-06-18,61
2005-06-19 - 2005-06-25,60
2005-06-26 - 2005-07-02,58
2005-07-03 - 2005-07-09,57
2005-07-10 - 2005-07-16,60
2005-07-17 - 2005-07-23,67
2005-07-24 - 2005-07-30,63
2005-07-31 - 2005-08-06,65
2005-08-07 - 2005-08-13,65
2005-08-14 - 2005-08-20,66
2005-08-21 - 2005-08-27,65
2005-08-28 - 2005-09-03,69
2005-09-04 - 2005-09-10,84
2005-09-11 - 2005-09-17,90
2005-09-18 - 2005-09-24,93
2005-09-25 - 2005-10-01,99
2005-10-02 - 2005-10-08,97
2005-10-09 - 2005-10-15,100
2005-10-16 - 2005-10-22,92
2005-10-23 - 2005-10-29,89
2005-10-30 - 2005-11-05,89
2005-11-06 - 2005-11-12,87
2005-11-13 - 2005-11-19,88
2005-11-20 - 2005-11-26,86
2005-11-27 - 2005-12-03,94
2005-12-04 - 2005-12-10,91
2005-12-11 - 2005-12-17,83
2005-12-18 - 2005-12-24,75
2005-12-25 - 2005-12-31,70
2006-01-01 - 2006-01-07,81
2006-01-08 - 2006-01-14,86
2006-01-15 - 2006-01-21,81
2006-01-22 - 2006-01-28,86
2006-01-29 - 2006-02-04,86
2006-02-05 - 2006-02-11,79
2006-02-12 - 2006-02-18,78
2006-02-19 - 2006-02-25,75
2006-02-26 - 2006-03-04,77
2006-03-05 - 2006-03-11,76
2006-03-12 - 2006-03-18,74
2006-03-19 - 2006-03-25,76
