Web Search interest: neurology
Worldwide 2004 - present

Interest over time
Week,neurology
2004-01-04 - 2004-01-10,87
2004-01-11 - 2004-01-17,100
2004-01-18 - 2004-01-24,96
2004-01-25 - 2004-01-31,100
2004-02-01 - 2004-02-07,94
2004-02-08 - 2004-02-14,88
2004-02-15 - 2004-02-21,93
2004-02-22 - 2004-02-28,95
2004-02-29 - 2004-03-06,99
2004-03-07 - 2004-03-13,85
2004-03-14 - 2004-03-20,79
2004-03-21 - 2004-03-27,86
2004-03-28 - 2004-04-03,79
2004-04-04 - 2004-04-10,86
2004-04-11 - 2004-04-17,83
2004-04-18 - 2004-04-24,95
2004-04-25 - 2004-05-01,90
2004-05-02 - 2004-05-08,88
2004-05-09 - 2004-05-15,79
2004-05-16 - 2004-05-22,80
2004-05-23 - 2004-05-29,86
2004-05-30 - 2004-06-05,83
2004-06-06 - 2004-06-12,81
2004-06-13 - 2004-06-19,78
2004-06-20 - 2004-06-26,78
2004-06-27 - 2004-07-03,78
2004-07-04 - 2004-07-10,87
2004-07-11 - 2004-07-17,85
2004-07-18 - 2004-07-24,88
2004-07-25 - 2004-07-31,93
2004-08-01 - 2004-08-07,88
2004-08-08 - 2004-08-14,88
2004-08-15 - 2004-08-21,96
2004-08-22 - 2004-08-28,91
2004-08-29 - 2004-09-04,84
2004-09-05 - 2004-09-11,81
2004-09-12 - 2004-09-18,96
2004-09-19 - 2004-09-25,93
2004-09-26 - 2004-10-02,99
2004-10-03 - 2004-10-09,83
2004-10-10 - 2004-10-16,89
2004-10-17 - 2004-10-23,84
2004-10-24 - 2004-10-30,80
2004-10-31 - 2004-11-06,96
2004-11-07 - 2004-11-13,79
2004-11-14 - 2004-11-20,88
2004-11-21 - 2004-11-27,67
2004-11-28 - 2004-12-04,82
2004-12-05 - 2004-12-11,79
2004-12-12 - 2004-12-18,81
2004-12-19 - 2004-12-25,67
2004-12-26 - 2005-01-01,66
2005-01-02 - 2005-01-08,87
2005-01-09 - 2005-01-15,91
2005-01-16 - 2005-01-22,86
2005-01-23 - 2005-01-29,84
2005-01-30 - 2005-02-05,85
2005-02-06 - 2005-02-12,93
2005-02-13 - 2005-02-19,87
2005-02-20 - 2005-02-26,89
2005-02-27 - 2005-03-05,86
2005-03-06 - 2005-03-12,78
2005-03-13 - 2005-03-19,81
2005-03-20 - 2005-03-26,84
2005-03-27 - 2005-04-02,81
2005-04-03 - 2005-04-09,74
2005-04-10 - 2005-04-16,84
2005-04-17 - 2005-04-23,80
2005-04-24 - 2005-04-30,77
2005-05-01 - 2005-05-07,78
2005-05-08 - 2005-05-14,80
2005-05-15 - 2005-05-21,72
2005-05-22 - 2005-05-28,77
2005-05-29 - 2005-06-04,64
2005-06-05 - 2005-06-11,78
2005-06-12 - 2005-06-18,72
2005-06-19 - 2005-06-25,79
2005-06-26 - 2005-07-02,74
2005-07-03 - 2005-07-09,72
2005-07-10 - 2005-07-16,94
2005-07-17 - 2005-07-23,74
2005-07-24 - 2005-07-30,76
2005-07-31 - 2005-08-06,81
2005-08-07 - 2005-08-13,80
2005-08-14 - 2005-08-20,78
2005-08-21 - 2005-08-27,77
2005-08-28 - 2005-09-03,71
2005-09-04 - 2005-09-10,67
2005-09-11 - 2005-09-17,76
2005-09-18 - 2005-09-24,78
2005-09-25 - 2005-10-01,77
2005-10-02 - 2005-10-08,83
2005-10-09 - 2005-10-15,81
2005-10-16 - 2005-10-22,79
2005-10-23 - 2005-10-29,77
2005-10-30 - 2005-11-05,79
2005-11-06 - 2005-11-12,83
2005-11-13 - 2005-11-19,80
2005-11-20 - 2005-11-26,64
2005-11-27 - 2005-12-03,71
2005-12-04 - 2005-12-10,73
2005-12-11 - 2005-12-17,68
2005-12-18 - 2005-12-24,65
2005-12-25 - 2005-12-31,52
2006-01-01 - 2006-01-07,75
2006-01-08 - 2006-01-14,79
2006-01-15 - 2006-01-21,71
2006-01-22 - 2006-01-28,81
2006-01-29 - 2006-02-04,76
2006-02-05 - 2006-02-11,74
2006-02-12 - 2006-02-18,68
2006-02-19 - 2006-02-25,71
2006-02-26 - 2006-03-04,74
2006-03-05 - 2006-03-11,67
2006-03-12 - 2006-03-18,75
2006-03-19 - 2006-03-25,73
2006-03-26 - 2006-04-01,67
2006-04-02 - 2006-04-08,71
2006-04-09 - 2006-04-15,66
2006-04-16 - 2006-04-22,72
2006-04-23 - 2006-04-29,67
2006-04-30 - 2006-05-06,72
2006-05-07 - 2006-05-13,72
2006-05-14 - 2006-05-20,64
2006-05-21 - 2006-05-27,68
2006-05-28 - 2006-06-03,62
2006-06-04 - 2006-06-10,68
2006-06-11 - 2006-06-17,63
2006-06-18 - 2006-06-24,67
2006-06-25 - 2006-07-01,65
2006-07-02 - 2006-07-08,59
2006-07-09 - 2006-07-15,66
2006-07-16 - 2006-07-22,69
2006-07-23 - 2006-07-29,67
2006-07-30 - 2006-08-05,68
2006-08-06 - 2006-08-12,70
2006-08-13 - 2006-08-19,68
2006-08-20 - 2006-08-26,65
2006-08-27 - 2006-09-02,65
2006-09-03 - 2006-09-09,57
2006-09-10 - 2006-09-16,68
2006-09-17 - 2006-09-23,66
2006-09-24 - 2006-09-30,70
2006-10-01 - 2006-10-07,68
2006-10-08 - 2006-10-14,65
2006-10-15 - 2006-10-21,67
2006-10-22 - 2006-10-28,66
2006-10-29 - 2006-11-04,67
2006-11-05 - 2006-11-11,60
2006-11-12 - 2006-11-18,66
2006-11-19 - 2006-11-25,54
2006-11-26 - 2006-12-02,66
2006-12-03 - 2006-12-09,64
2006-12-10 - 2006-12-16,64
2006-12-17 - 2006-12-23,54
2006-12-24 - 2006-12-30,44
2006-12-31 - 2007-01-06,60
2007-01-07 - 2007-01-13,64
2007-01-14 - 2007-01-20,59
2007-01-21 - 2007-01-27,64
2007-01-28 - 2007-02-03,67
2007-02-04 - 2007-02-10,62
2007-02-11 - 2007-02-17,64
2007-02-18 - 2007-02-24,70
2007-02-25 - 2007-03-03,61
2007-03-04 - 2007-03-10,63
2007-03-11 - 2007-03-17,61
2007-03-18 - 2007-03-24,60
2007-03-25 - 2007-03-31,63
2007-04-01 - 2007-04-07,61
2007-04-08 - 2007-04-14,62
2007-04-15 - 2007-04-21,62
2007-04-22 - 2007-04-28,66
2007-04-29 - 2007-05-05,61
2007-05-06 - 2007-05-12,59
2007-05-13 - 2007-05-19,62
2007-05-20 - 2007-05-26,58
2007-05-27 - 2007-06-02,56
2007-06-03 - 2007-06-09,58
2007-06-10 - 2007-06-16,59
2007-06-17 - 2007-06-23,57
2007-06-24 - 2007-06-30,58
2007-07-01 - 2007-07-07,52
2007-07-08 - 2007-07-14,62
2007-07-15 - 2007-07-21,63
2007-07-22 - 2007-07-28,63
2007-07-29 - 2007-08-04,60
2007-08-05 - 2007-08-11,60
2007-08-12 - 2007-08-18,60
2007-08-19 - 2007-08-25,60
2007-08-26 - 2007-09-01,61
2007-09-02 - 2007-09-08,58
2007-09-09 - 2007-09-15,62
2007-09-16 - 2007-09-22,60
2007-09-23 - 2007-09-29,59
2007-09-30 - 2007-10-06,62
2007-10-07 - 2007-10-13,61
2007-10-14 - 2007-10-20,60
2007-10-21 - 2007-10-27,58
2007-10-28 - 2007-11-03,61
2007-11-04 - 2007-11-10,60
2007-11-11 - 2007-11-17,58
2007-11-18 - 2007-11-24,52
2007-11-25 - 2007-12-01,63
2007-12-02 - 2007-12-08,63
2007-12-09 - 2007-12-15,58
2007-12-16 - 2007-12-22,50
2007-12-23 - 2007-12-29,39
2007-12-30 - 2008-01-05,54
2008-01-06 - 2008-01-12,57
2008-01-13 - 2008-01-19,59
2008-01-20 - 2008-01-26,58
2008-01-27 - 2008-02-02,62
2008-02-03 - 2008-02-09,57
2008-02-10 - 2008-02-16,57
2008-02-17 - 2008-02-23,54
2008-02-24 - 2008-03-01,55
2008-03-02 - 2008-03-08,58
2008-03-09 - 2008-03-15,57
2008-03-16 - 2008-03-22,55
2008-03-23 - 2008-03-29,57
2008-03-30 - 2008-04-05,59
2008-04-06 - 2008-04-12,58
2008-04-13 - 2008-04-19,59
2008-04-20 - 2008-04-26,59
2008-04-27 - 2008-05-03,55
2008-05-04 - 2008-05-10,56
2008-05-11 - 2008-05-17,56
2008-05-18 - 2008-05-24,56
2008-05-25 - 2008-05-31,49
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,50
2008-06-15 - 2008-06-21,51
2008-06-22 - 2008-06-28,53
2008-06-29 - 2008-07-05,50
2008-07-06 - 2008-07-12,55
2008-07-13 - 2008-07-19,55
2008-07-20 - 2008-07-26,55
2008-07-27 - 2008-08-02,56
2008-08-03 - 2008-08-09,54
2008-08-10 - 2008-08-16,55
2008-08-17 - 2008-08-23,53
2008-08-24 - 2008-08-30,54
2008-08-31 - 2008-09-06,50
