Web Search interest: operating+system
Worldwide 2004 - present

Interest over time
Week,operating+system
2004-01-04 - 2004-01-10,95
2004-01-11 - 2004-01-17,96
2004-01-18 - 2004-01-24,96
2004-01-25 - 2004-01-31,95
2004-02-01 - 2004-02-07,95
2004-02-08 - 2004-02-14,95
2004-02-15 - 2004-02-21,95
2004-02-22 - 2004-02-28,98
2004-02-29 - 2004-03-06,99
2004-03-07 - 2004-03-13,92
2004-03-14 - 2004-03-20,96
2004-03-21 - 2004-03-27,92
2004-03-28 - 2004-04-03,96
2004-04-04 - 2004-04-10,92
2004-04-11 - 2004-04-17,94
2004-04-18 - 2004-04-24,96
2004-04-25 - 2004-05-01,95
2004-05-02 - 2004-05-08,100
2004-05-09 - 2004-05-15,95
2004-05-16 - 2004-05-22,92
2004-05-23 - 2004-05-29,92
2004-05-30 - 2004-06-05,88
2004-06-06 - 2004-06-12,87
2004-06-13 - 2004-06-19,86
2004-06-20 - 2004-06-26,84
2004-06-27 - 2004-07-03,83
2004-07-04 - 2004-07-10,82
2004-07-11 - 2004-07-17,82
2004-07-18 - 2004-07-24,86
2004-07-25 - 2004-07-31,86
2004-08-01 - 2004-08-07,88
2004-08-08 - 2004-08-14,85
2004-08-15 - 2004-08-21,87
2004-08-22 - 2004-08-28,85
2004-08-29 - 2004-09-04,84
2004-09-05 - 2004-09-11,88
2004-09-12 - 2004-09-18,91
2004-09-19 - 2004-09-25,92
2004-09-26 - 2004-10-02,93
2004-10-03 - 2004-10-09,93
2004-10-10 - 2004-10-16,91
2004-10-17 - 2004-10-23,91
2004-10-24 - 2004-10-30,91
2004-10-31 - 2004-11-06,91
2004-11-07 - 2004-11-13,84
2004-11-14 - 2004-11-20,92
2004-11-21 - 2004-11-27,84
2004-11-28 - 2004-12-04,91
2004-12-05 - 2004-12-11,91
2004-12-12 - 2004-12-18,86
2004-12-19 - 2004-12-25,74
2004-12-26 - 2005-01-01,75
2005-01-02 - 2005-01-08,85
2005-01-09 - 2005-01-15,89
2005-01-16 - 2005-01-22,88
2005-01-23 - 2005-01-29,88
2005-01-30 - 2005-02-05,88
2005-02-06 - 2005-02-12,87
2005-02-13 - 2005-02-19,87
2005-02-20 - 2005-02-26,87
2005-02-27 - 2005-03-05,87
2005-03-06 - 2005-03-12,89
2005-03-13 - 2005-03-19,87
2005-03-20 - 2005-03-26,84
2005-03-27 - 2005-04-02,83
2005-04-03 - 2005-04-09,83
2005-04-10 - 2005-04-16,85
2005-04-17 - 2005-04-23,86
2005-04-24 - 2005-04-30,88
2005-05-01 - 2005-05-07,92
2005-05-08 - 2005-05-14,93
2005-05-15 - 2005-05-21,93
2005-05-22 - 2005-05-28,91
2005-05-29 - 2005-06-04,87
2005-06-05 - 2005-06-11,86
2005-06-12 - 2005-06-18,84
2005-06-19 - 2005-06-25,83
2005-06-26 - 2005-07-02,79
2005-07-03 - 2005-07-09,77
2005-07-10 - 2005-07-16,79
2005-07-17 - 2005-07-23,78
2005-07-24 - 2005-07-30,79
2005-07-31 - 2005-08-06,78
2005-08-07 - 2005-08-13,80
2005-08-14 - 2005-08-20,79
2005-08-21 - 2005-08-27,78
2005-08-28 - 2005-09-03,78
2005-09-04 - 2005-09-10,78
2005-09-11 - 2005-09-17,80
2005-09-18 - 2005-09-24,81
2005-09-25 - 2005-10-01,82
2005-10-02 - 2005-10-08,83
2005-10-09 - 2005-10-15,82
2005-10-16 - 2005-10-22,83
2005-10-23 - 2005-10-29,82
2005-10-30 - 2005-11-05,80
2005-11-06 - 2005-11-12,82
2005-11-13 - 2005-11-19,85
2005-11-20 - 2005-11-26,84
2005-11-27 - 2005-12-03,85
2005-12-04 - 2005-12-10,84
2005-12-11 - 2005-12-17,81
2005-12-18 - 2005-12-24,72
2005-12-25 - 2005-12-31,69
2006-01-01 - 2006-01-07,77
2006-01-08 - 2006-01-14,78
2006-01-15 - 2006-01-21,78
2006-01-22 - 2006-01-28,78
2006-01-29 - 2006-02-04,78
2006-02-05 - 2006-02-11,77
2006-02-12 - 2006-02-18,75
2006-02-19 - 2006-02-25,76
2006-02-26 - 2006-03-04,77
2006-03-05 - 2006-03-11,76
2006-03-12 - 2006-03-18,74
2006-03-19 - 2006-03-25,77
2006-03-26 - 2006-04-01,74
2006-04-02 - 2006-04-08,74
2006-04-09 - 2006-04-15,72
2006-04-16 - 2006-04-22,73
2006-04-23 - 2006-04-29,75
2006-04-30 - 2006-05-06,74
2006-05-07 - 2006-05-13,75
2006-05-14 - 2006-05-20,73
2006-05-21 - 2006-05-27,72
2006-05-28 - 2006-06-03,68
2006-06-04 - 2006-06-10,68
2006-06-11 - 2006-06-17,67
2006-06-18 - 2006-06-24,65
2006-06-25 - 2006-07-01,62
2006-07-02 - 2006-07-08,60
2006-07-09 - 2006-07-15,63
2006-07-16 - 2006-07-22,65
2006-07-23 - 2006-07-29,65
2006-07-30 - 2006-08-05,63
2006-08-06 - 2006-08-12,64
2006-08-13 - 2006-08-19,65
2006-08-20 - 2006-08-26,66
2006-08-27 - 2006-09-02,64
2006-09-03 - 2006-09-09,64
2006-09-10 - 2006-09-16,69
2006-09-17 - 2006-09-23,68
2006-09-24 - 2006-09-30,68
2006-10-01 - 2006-10-07,67
2006-10-08 - 2006-10-14,69
2006-10-15 - 2006-10-21,67
2006-10-22 - 2006-10-28,67
2006-10-29 - 2006-11-04,68
2006-11-05 - 2006-11-11,69
2006-11-12 - 2006-11-18,70
2006-11-19 - 2006-11-25,65
2006-11-26 - 2006-12-02,69
2006-12-03 - 2006-12-09,69
2006-12-10 - 2006-12-16,67
2006-12-17 - 2006-12-23,60
2006-12-24 - 2006-12-30,56
2006-12-31 - 2007-01-06,61
2007-01-07 - 2007-01-13,66
2007-01-14 - 2007-01-20,64
2007-01-21 - 2007-01-27,66
2007-01-28 - 2007-02-03,66
2007-02-04 - 2007-02-10,65
2007-02-11 - 2007-02-17,64
2007-02-18 - 2007-02-24,64
2007-02-25 - 2007-03-03,65
2007-03-04 - 2007-03-10,66
2007-03-11 - 2007-03-17,66
2007-03-18 - 2007-03-24,64
2007-03-25 - 2007-03-31,64
2007-04-01 - 2007-04-07,66
2007-04-08 - 2007-04-14,64
2007-04-15 - 2007-04-21,64
2007-04-22 - 2007-04-28,66
2007-04-29 - 2007-05-05,65
2007-05-06 - 2007-05-12,65
2007-05-13 - 2007-05-19,65
2007-05-20 - 2007-05-26,63
2007-05-27 - 2007-06-02,61
2007-06-03 - 2007-06-09,62
