Web Search interest: organic+chemistry
Worldwide 2004 - present

Interest over time
Week,organic+chemistry
2004-01-04 - 2004-01-10,90
2004-01-11 - 2004-01-17,100
2004-01-18 - 2004-01-24,99
2004-01-25 - 2004-01-31,98
2004-02-01 - 2004-02-07,98
2004-02-08 - 2004-02-14,96
2004-02-15 - 2004-02-21,96
2004-02-22 - 2004-02-28,96
2004-02-29 - 2004-03-06,99
2004-03-07 - 2004-03-13,90
2004-03-14 - 2004-03-20,89
2004-03-21 - 2004-03-27,91
2004-03-28 - 2004-04-03,92
2004-04-04 - 2004-04-10,91
2004-04-11 - 2004-04-17,89
2004-04-18 - 2004-04-24,95
2004-04-25 - 2004-05-01,98
2004-05-02 - 2004-05-08,95
2004-05-09 - 2004-05-15,92
2004-05-16 - 2004-05-22,95
2004-05-23 - 2004-05-29,87
2004-05-30 - 2004-06-05,85
2004-06-06 - 2004-06-12,87
2004-06-13 - 2004-06-19,83
2004-06-20 - 2004-06-26,82
2004-06-27 - 2004-07-03,73
2004-07-04 - 2004-07-10,72
2004-07-11 - 2004-07-17,71
2004-07-18 - 2004-07-24,74
2004-07-25 - 2004-07-31,75
2004-08-01 - 2004-08-07,74
2004-08-08 - 2004-08-14,72
2004-08-15 - 2004-08-21,75
2004-08-22 - 2004-08-28,78
2004-08-29 - 2004-09-04,84
2004-09-05 - 2004-09-11,92
2004-09-12 - 2004-09-18,95
2004-09-19 - 2004-09-25,98
2004-09-26 - 2004-10-02,96
2004-10-03 - 2004-10-09,99
2004-10-10 - 2004-10-16,94
2004-10-17 - 2004-10-23,93
2004-10-24 - 2004-10-30,92
2004-10-31 - 2004-11-06,90
2004-11-07 - 2004-11-13,88
2004-11-14 - 2004-11-20,94
2004-11-21 - 2004-11-27,82
2004-11-28 - 2004-12-04,94
2004-12-05 - 2004-12-11,92
2004-12-12 - 2004-12-18,85
2004-12-19 - 2004-12-25,65
2004-12-26 - 2005-01-01,55
2005-01-02 - 2005-01-08,77
2005-01-09 - 2005-01-15,86
2005-01-16 - 2005-01-22,86
2005-01-23 - 2005-01-29,89
2005-01-30 - 2005-02-05,89
2005-02-06 - 2005-02-12,89
2005-02-13 - 2005-02-19,86
2005-02-20 - 2005-02-26,88
2005-02-27 - 2005-03-05,88
2005-03-06 - 2005-03-12,88
2005-03-13 - 2005-03-19,87
2005-03-20 - 2005-03-26,81
2005-03-27 - 2005-04-02,79
2005-04-03 - 2005-04-09,80
2005-04-10 - 2005-04-16,85
2005-04-17 - 2005-04-23,86
2005-04-24 - 2005-04-30,89
2005-05-01 - 2005-05-07,89
2005-05-08 - 2005-05-14,87
2005-05-15 - 2005-05-21,83
2005-05-22 - 2005-05-28,82
2005-05-29 - 2005-06-04,78
2005-06-05 - 2005-06-11,81
2005-06-12 - 2005-06-18,80
2005-06-19 - 2005-06-25,78
2005-06-26 - 2005-07-02,69
