Web Search interest: patent
Worldwide 2004 - present

Interest over time
Week,patent
2004-01-04 - 2004-01-10,91
2004-01-11 - 2004-01-17,96
2004-01-18 - 2004-01-24,97
2004-01-25 - 2004-01-31,93
2004-02-01 - 2004-02-07,98
2004-02-08 - 2004-02-14,95
2004-02-15 - 2004-02-21,91
2004-02-22 - 2004-02-28,100
2004-02-29 - 2004-03-06,93
2004-03-07 - 2004-03-13,90
2004-03-14 - 2004-03-20,91
2004-03-21 - 2004-03-27,84
2004-03-28 - 2004-04-03,93
2004-04-04 - 2004-04-10,91
2004-04-11 - 2004-04-17,84
2004-04-18 - 2004-04-24,90
2004-04-25 - 2004-05-01,88
2004-05-02 - 2004-05-08,84
2004-05-09 - 2004-05-15,85
2004-05-16 - 2004-05-22,88
2004-05-23 - 2004-05-29,87
2004-05-30 - 2004-06-05,86
2004-06-06 - 2004-06-12,88
2004-06-13 - 2004-06-19,86
2004-06-20 - 2004-06-26,87
2004-06-27 - 2004-07-03,82
2004-07-04 - 2004-07-10,82
2004-07-11 - 2004-07-17,83
2004-07-18 - 2004-07-24,87
2004-07-25 - 2004-07-31,86
2004-08-01 - 2004-08-07,88
2004-08-08 - 2004-08-14,85
2004-08-15 - 2004-08-21,83
2004-08-22 - 2004-08-28,83
2004-08-29 - 2004-09-04,76
2004-09-05 - 2004-09-11,79
2004-09-12 - 2004-09-18,82
2004-09-19 - 2004-09-25,83
2004-09-26 - 2004-10-02,82
2004-10-03 - 2004-10-09,87
2004-10-10 - 2004-10-16,83
2004-10-17 - 2004-10-23,83
2004-10-24 - 2004-10-30,85
2004-10-31 - 2004-11-06,80
2004-11-07 - 2004-11-13,75
2004-11-14 - 2004-11-20,82
2004-11-21 - 2004-11-27,73
2004-11-28 - 2004-12-04,78
2004-12-05 - 2004-12-11,81
2004-12-12 - 2004-12-18,77
2004-12-19 - 2004-12-25,68
2004-12-26 - 2005-01-01,62
2005-01-02 - 2005-01-08,81
2005-01-09 - 2005-01-15,82
2005-01-16 - 2005-01-22,79
2005-01-23 - 2005-01-29,82
2005-01-30 - 2005-02-05,85
2005-02-06 - 2005-02-12,80
2005-02-13 - 2005-02-19,80
2005-02-20 - 2005-02-26,81
2005-02-27 - 2005-03-05,76
2005-03-06 - 2005-03-12,78
2005-03-13 - 2005-03-19,78
2005-03-20 - 2005-03-26,79
2005-03-27 - 2005-04-02,79
2005-04-03 - 2005-04-09,77
2005-04-10 - 2005-04-16,86
2005-04-17 - 2005-04-23,76
2005-04-24 - 2005-04-30,77
2005-05-01 - 2005-05-07,74
2005-05-08 - 2005-05-14,74
2005-05-15 - 2005-05-21,73
2005-05-22 - 2005-05-28,73
2005-05-29 - 2005-06-04,70
2005-06-05 - 2005-06-11,76
2005-06-12 - 2005-06-18,73
2005-06-19 - 2005-06-25,76
2005-06-26 - 2005-07-02,72
2005-07-03 - 2005-07-09,71
2005-07-10 - 2005-07-16,75
2005-07-17 - 2005-07-23,75
2005-07-24 - 2005-07-30,72
2005-07-31 - 2005-08-06,71
2005-08-07 - 2005-08-13,73
2005-08-14 - 2005-08-20,76
2005-08-21 - 2005-08-27,66
2005-08-28 - 2005-09-03,66
2005-09-04 - 2005-09-10,63
2005-09-11 - 2005-09-17,69
2005-09-18 - 2005-09-24,69
2005-09-25 - 2005-10-01,71
2005-10-02 - 2005-10-08,69
2005-10-09 - 2005-10-15,74
2005-10-16 - 2005-10-22,70
2005-10-23 - 2005-10-29,71
2005-10-30 - 2005-11-05,66
2005-11-06 - 2005-11-12,73
2005-11-13 - 2005-11-19,70
2005-11-20 - 2005-11-26,62
2005-11-27 - 2005-12-03,71
2005-12-04 - 2005-12-10,72
2005-12-11 - 2005-12-17,63
2005-12-18 - 2005-12-24,62
2005-12-25 - 2005-12-31,52
2006-01-01 - 2006-01-07,66
2006-01-08 - 2006-01-14,68
2006-01-15 - 2006-01-21,67
2006-01-22 - 2006-01-28,71
2006-01-29 - 2006-02-04,73
2006-02-05 - 2006-02-11,70
2006-02-12 - 2006-02-18,68
2006-02-19 - 2006-02-25,69
2006-02-26 - 2006-03-04,71
2006-03-05 - 2006-03-11,68
2006-03-12 - 2006-03-18,67
2006-03-19 - 2006-03-25,67
2006-03-26 - 2006-04-01,66
2006-04-02 - 2006-04-08,66
2006-04-09 - 2006-04-15,63
2006-04-16 - 2006-04-22,64
2006-04-23 - 2006-04-29,63
2006-04-30 - 2006-05-06,62
2006-05-07 - 2006-05-13,65
2006-05-14 - 2006-05-20,63
2006-05-21 - 2006-05-27,61
2006-05-28 - 2006-06-03,58
2006-06-04 - 2006-06-10,63
2006-06-11 - 2006-06-17,61
2006-06-18 - 2006-06-24,61
2006-06-25 - 2006-07-01,58
2006-07-02 - 2006-07-08,56
2006-07-09 - 2006-07-15,62
2006-07-16 - 2006-07-22,61
2006-07-23 - 2006-07-29,59
2006-07-30 - 2006-08-05,60
2006-08-06 - 2006-08-12,61
2006-08-13 - 2006-08-19,60
2006-08-20 - 2006-08-26,61
2006-08-27 - 2006-09-02,59
2006-09-03 - 2006-09-09,58
