Web Search interest: polymer science
Worldwide 2004 - present

Interest over time
Week,polymer science
2004-01-04 - 2004-01-10,75
2004-01-11 - 2004-01-17,85
2004-01-18 - 2004-01-24,54
2004-01-25 - 2004-01-31,79
2004-02-01 - 2004-02-07,89
2004-02-08 - 2004-02-14,72
2004-02-15 - 2004-02-21,89
2004-02-22 - 2004-02-28,78
2004-02-29 - 2004-03-06,63
2004-03-07 - 2004-03-13,70
2004-03-14 - 2004-03-20,92
2004-03-21 - 2004-03-27,64
2004-03-28 - 2004-04-03,56
2004-04-04 - 2004-04-10,79
2004-04-11 - 2004-04-17,86
2004-04-18 - 2004-04-24,58
2004-04-25 - 2004-05-01,67
2004-05-02 - 2004-05-08,76
2004-05-09 - 2004-05-15,82
2004-05-16 - 2004-05-22,55
2004-05-23 - 2004-05-29,93
2004-05-30 - 2004-06-05,87
2004-06-06 - 2004-06-12,59
2004-06-13 - 2004-06-19,100
2004-06-20 - 2004-06-26,65
2004-06-27 - 2004-07-03,75
2004-07-04 - 2004-07-10,87
2004-07-11 - 2004-07-17,79
2004-07-18 - 2004-07-24,80
2004-07-25 - 2004-07-31,100
2004-08-01 - 2004-08-07,58
2004-08-08 - 2004-08-14,55
2004-08-15 - 2004-08-21,76
2004-08-22 - 2004-08-28,68
2004-08-29 - 2004-09-04,71
2004-09-05 - 2004-09-11,83
2004-09-12 - 2004-09-18,79
2004-09-19 - 2004-09-25,73
2004-09-26 - 2004-10-02,69
2004-10-03 - 2004-10-09,77
2004-10-10 - 2004-10-16,65
2004-10-17 - 2004-10-23,64
2004-10-24 - 2004-10-30,63
2004-10-31 - 2004-11-06,83
2004-11-07 - 2004-11-13,50
2004-11-14 - 2004-11-20,57
2004-11-21 - 2004-11-27,47
2004-11-28 - 2004-12-04,63
2004-12-05 - 2004-12-11,71
2004-12-12 - 2004-12-18,65
2004-12-19 - 2004-12-25,53
2004-12-26 - 2005-01-01,61
2005-01-02 - 2005-01-08,57
2005-01-09 - 2005-01-15,86
2005-01-16 - 2005-01-22,63
2005-01-23 - 2005-01-29,81
2005-01-30 - 2005-02-05,63
2005-02-06 - 2005-02-12,57
2005-02-13 - 2005-02-19,44
2005-02-20 - 2005-02-26,84
2005-02-27 - 2005-03-05,70
2005-03-06 - 2005-03-12,60
2005-03-13 - 2005-03-19,76
2005-03-20 - 2005-03-26,64
2005-03-27 - 2005-04-02,62
2005-04-03 - 2005-04-09,57
2005-04-10 - 2005-04-16,71
2005-04-17 - 2005-04-23,59
2005-04-24 - 2005-04-30,63
2005-05-01 - 2005-05-07,56
2005-05-08 - 2005-05-14,58
2005-05-15 - 2005-05-21,75
2005-05-22 - 2005-05-28,69
2005-05-29 - 2005-06-04,66
2005-06-05 - 2005-06-11,61
2005-06-12 - 2005-06-18,56
2005-06-19 - 2005-06-25,72
2005-06-26 - 2005-07-02,60
2005-07-03 - 2005-07-09,59
2005-07-10 - 2005-07-16,53
2005-07-17 - 2005-07-23,81
2005-07-24 - 2005-07-30,61
2005-07-31 - 2005-08-06,69
2005-08-07 - 2005-08-13,77
2005-08-14 - 2005-08-20,57
2005-08-21 - 2005-08-27,41
2005-08-28 - 2005-09-03,71
2005-09-04 - 2005-09-10,64
2005-09-11 - 2005-09-17,60
2005-09-18 - 2005-09-24,61
2005-09-25 - 2005-10-01,61
2005-10-02 - 2005-10-08,63
2005-10-09 - 2005-10-15,64
2005-10-16 - 2005-10-22,75
2005-10-23 - 2005-10-29,54
2005-10-30 - 2005-11-05,38
2005-11-06 - 2005-11-12,44
2005-11-13 - 2005-11-19,57
2005-11-20 - 2005-11-26,58
2005-11-27 - 2005-12-03,56
2005-12-04 - 2005-12-10,52
2005-12-11 - 2005-12-17,69
2005-12-18 - 2005-12-24,46
2005-12-25 - 2005-12-31,48
2006-01-01 - 2006-01-07,52
2006-01-08 - 2006-01-14,52
2006-01-15 - 2006-01-21,76
