Web Search interest: regulation
Worldwide 2004 - present

Interest over time
Week,regulation
2004-01-04 - 2004-01-10,85
2004-01-11 - 2004-01-17,85
2004-01-18 - 2004-01-24,88
2004-01-25 - 2004-01-31,86
2004-02-01 - 2004-02-07,93
2004-02-08 - 2004-02-14,91
2004-02-15 - 2004-02-21,90
2004-02-22 - 2004-02-28,97
2004-02-29 - 2004-03-06,97
2004-03-07 - 2004-03-13,92
2004-03-14 - 2004-03-20,93
2004-03-21 - 2004-03-27,82
2004-03-28 - 2004-04-03,100
2004-04-04 - 2004-04-10,93
2004-04-11 - 2004-04-17,96
2004-04-18 - 2004-04-24,94
2004-04-25 - 2004-05-01,100
2004-05-02 - 2004-05-08,96
2004-05-09 - 2004-05-15,92
2004-05-16 - 2004-05-22,95
2004-05-23 - 2004-05-29,85
2004-05-30 - 2004-06-05,79
2004-06-06 - 2004-06-12,87
2004-06-13 - 2004-06-19,84
2004-06-20 - 2004-06-26,87
2004-06-27 - 2004-07-03,82
2004-07-04 - 2004-07-10,79
2004-07-11 - 2004-07-17,84
2004-07-18 - 2004-07-24,89
2004-07-25 - 2004-07-31,85
2004-08-01 - 2004-08-07,84
2004-08-08 - 2004-08-14,82
2004-08-15 - 2004-08-21,81
2004-08-22 - 2004-08-28,82
2004-08-29 - 2004-09-04,74
2004-09-05 - 2004-09-11,74
2004-09-12 - 2004-09-18,88
2004-09-19 - 2004-09-25,91
2004-09-26 - 2004-10-02,86
2004-10-03 - 2004-10-09,91
2004-10-10 - 2004-10-16,85
2004-10-17 - 2004-10-23,92
2004-10-24 - 2004-10-30,92
2004-10-31 - 2004-11-06,87
2004-11-07 - 2004-11-13,79
2004-11-14 - 2004-11-20,88
2004-11-21 - 2004-11-27,77
2004-11-28 - 2004-12-04,89
2004-12-05 - 2004-12-11,86
2004-12-12 - 2004-12-18,85
2004-12-19 - 2004-12-25,61
2004-12-26 - 2005-01-01,54
2005-01-02 - 2005-01-08,77
