Web Search interest: strontium
Worldwide 2004 - present

Interest over time
Week,strontium
2004-01-04 - 2004-01-10,74
2004-01-11 - 2004-01-17,66
2004-01-18 - 2004-01-24,76
2004-01-25 - 2004-01-31,100
2004-02-01 - 2004-02-07,88
2004-02-08 - 2004-02-14,77
2004-02-15 - 2004-02-21,74
2004-02-22 - 2004-02-28,84
2004-02-29 - 2004-03-06,77
2004-03-07 - 2004-03-13,73
2004-03-14 - 2004-03-20,83
2004-03-21 - 2004-03-27,76
2004-03-28 - 2004-04-03,61
2004-04-04 - 2004-04-10,74
2004-04-11 - 2004-04-17,47
2004-04-18 - 2004-04-24,58
2004-04-25 - 2004-05-01,51
2004-05-02 - 2004-05-08,61
2004-05-09 - 2004-05-15,71
2004-05-16 - 2004-05-22,64
2004-05-23 - 2004-05-29,64
2004-05-30 - 2004-06-05,51
2004-06-06 - 2004-06-12,43
2004-06-13 - 2004-06-19,60
2004-06-20 - 2004-06-26,37
2004-06-27 - 2004-07-03,43
2004-07-04 - 2004-07-10,59
2004-07-11 - 2004-07-17,50
2004-07-18 - 2004-07-24,50
2004-07-25 - 2004-07-31,44
2004-08-01 - 2004-08-07,56
2004-08-08 - 2004-08-14,53
2004-08-15 - 2004-08-21,61
2004-08-22 - 2004-08-28,59
2004-08-29 - 2004-09-04,56
2004-09-05 - 2004-09-11,81
2004-09-12 - 2004-09-18,73
2004-09-19 - 2004-09-25,97
2004-09-26 - 2004-10-02,88
2004-10-03 - 2004-10-09,82
2004-10-10 - 2004-10-16,79
2004-10-17 - 2004-10-23,98
2004-10-24 - 2004-10-30,94
2004-10-31 - 2004-11-06,84
2004-11-07 - 2004-11-13,67
2004-11-14 - 2004-11-20,100
2004-11-21 - 2004-11-27,73
2004-11-28 - 2004-12-04,100
2004-12-05 - 2004-12-11,88
2004-12-12 - 2004-12-18,67
2004-12-19 - 2004-12-25,45
2004-12-26 - 2005-01-01,41
2005-01-02 - 2005-01-08,51
2005-01-09 - 2005-01-15,79
2005-01-16 - 2005-01-22,75
2005-01-23 - 2005-01-29,62
2005-01-30 - 2005-02-05,76
