Web Search interest: tetrahedron
Worldwide 2004 - present

Interest over time
Week,tetrahedron
2004-01-04 - 2004-01-10,82
2004-01-11 - 2004-01-17,74
2004-01-18 - 2004-01-24,56
2004-01-25 - 2004-01-31,69
2004-02-01 - 2004-02-07,67
2004-02-08 - 2004-02-14,60
2004-02-15 - 2004-02-21,97
2004-02-22 - 2004-02-28,80
2004-02-29 - 2004-03-06,76
2004-03-07 - 2004-03-13,68
2004-03-14 - 2004-03-20,78
2004-03-21 - 2004-03-27,90
2004-03-28 - 2004-04-03,81
2004-04-04 - 2004-04-10,84
2004-04-11 - 2004-04-17,66
2004-04-18 - 2004-04-24,91
2004-04-25 - 2004-05-01,83
2004-05-02 - 2004-05-08,94
2004-05-09 - 2004-05-15,86
2004-05-16 - 2004-05-22,87
2004-05-23 - 2004-05-29,63
2004-05-30 - 2004-06-05,70
2004-06-06 - 2004-06-12,59
2004-06-13 - 2004-06-19,66
2004-06-20 - 2004-06-26,69
2004-06-27 - 2004-07-03,55
2004-07-04 - 2004-07-10,53
2004-07-11 - 2004-07-17,53
2004-07-18 - 2004-07-24,66
2004-07-25 - 2004-07-31,49
2004-08-01 - 2004-08-07,49
2004-08-08 - 2004-08-14,41
2004-08-15 - 2004-08-21,57
2004-08-22 - 2004-08-28,63
2004-08-29 - 2004-09-04,59
2004-09-05 - 2004-09-11,42
2004-09-12 - 2004-09-18,100
2004-09-19 - 2004-09-25,75
2004-09-26 - 2004-10-02,78
2004-10-03 - 2004-10-09,68
2004-10-10 - 2004-10-16,75
2004-10-17 - 2004-10-23,74
2004-10-24 - 2004-10-30,63
2004-10-31 - 2004-11-06,54
2004-11-07 - 2004-11-13,80
2004-11-14 - 2004-11-20,78
2004-11-21 - 2004-11-27,72
2004-11-28 - 2004-12-04,78
2004-12-05 - 2004-12-11,73
2004-12-12 - 2004-12-18,65
2004-12-19 - 2004-12-25,49
2004-12-26 - 2005-01-01,40
2005-01-02 - 2005-01-08,51
2005-01-09 - 2005-01-15,70
2005-01-16 - 2005-01-22,61
2005-01-23 - 2005-01-29,74
2005-01-30 - 2005-02-05,72
2005-02-06 - 2005-02-12,76
2005-02-13 - 2005-02-19,74
2005-02-20 - 2005-02-26,74
2005-02-27 - 2005-03-05,75
2005-03-06 - 2005-03-12,76
2005-03-13 - 2005-03-19,73
2005-03-20 - 2005-03-26,55
2005-03-27 - 2005-04-02,71
2005-04-03 - 2005-04-09,79
2005-04-10 - 2005-04-16,85
2005-04-17 - 2005-04-23,71
2005-04-24 - 2005-04-30,77
2005-05-01 - 2005-05-07,66
2005-05-08 - 2005-05-14,76
2005-05-15 - 2005-05-21,74
2005-05-22 - 2005-05-28,71
2005-05-29 - 2005-06-04,75
2005-06-05 - 2005-06-11,70
2005-06-12 - 2005-06-18,52
2005-06-19 - 2005-06-25,59
2005-06-26 - 2005-07-02,64
2005-07-03 - 2005-07-09,50
2005-07-10 - 2005-07-16,56
2005-07-17 - 2005-07-23,57
2005-07-24 - 2005-07-30,65
2005-07-31 - 2005-08-06,46
2005-08-07 - 2005-08-13,40
2005-08-14 - 2005-08-20,46
2005-08-21 - 2005-08-27,44
2005-08-28 - 2005-09-03,57
2005-09-04 - 2005-09-10,83
2005-09-11 - 2005-09-17,60
2005-09-18 - 2005-09-24,66
2005-09-25 - 2005-10-01,59
2005-10-02 - 2005-10-08,67
2005-10-09 - 2005-10-15,80
2005-10-16 - 2005-10-22,81
2005-10-23 - 2005-10-29,63
2005-10-30 - 2005-11-05,69
2005-11-06 - 2005-11-12,71
2005-11-13 - 2005-11-19,65
2005-11-20 - 2005-11-26,64
2005-11-27 - 2005-12-03,70
2005-12-04 - 2005-12-10,69
2005-12-11 - 2005-12-17,61
2005-12-18 - 2005-12-24,44
2005-12-25 - 2005-12-31,34
2006-01-01 - 2006-01-07,56
2006-01-08 - 2006-01-14,61
2006-01-15 - 2006-01-21,63
2006-01-22 - 2006-01-28,68
2006-01-29 - 2006-02-04,70
2006-02-05 - 2006-02-11,82
2006-02-12 - 2006-02-18,51
2006-02-19 - 2006-02-25,63
2006-02-26 - 2006-03-04,58
2006-03-05 - 2006-03-11,63
2006-03-12 - 2006-03-18,63
2006-03-19 - 2006-03-25,61
2006-03-26 - 2006-04-01,63
2006-04-02 - 2006-04-08,66
