Web Search interest: theoretical+chemistry
Worldwide 2004 - present

Interest over time
Week,theoretical+chemistry
2004-01-04 - 2004-01-10,87
2004-01-11 - 2004-01-17,93
2004-01-18 - 2004-01-24,95
2004-01-25 - 2004-01-31,97
2004-02-01 - 2004-02-07,99
2004-02-08 - 2004-02-14,98
2004-02-15 - 2004-02-21,92
2004-02-22 - 2004-02-28,96
2004-02-29 - 2004-03-06,93
2004-03-07 - 2004-03-13,84
2004-03-14 - 2004-03-20,86
2004-03-21 - 2004-03-27,90
2004-03-28 - 2004-04-03,86
2004-04-04 - 2004-04-10,85
2004-04-11 - 2004-04-17,81
2004-04-18 - 2004-04-24,89
2004-04-25 - 2004-05-01,91
2004-05-02 - 2004-05-08,91
2004-05-09 - 2004-05-15,87
2004-05-16 - 2004-05-22,86
2004-05-23 - 2004-05-29,80
2004-05-30 - 2004-06-05,78
2004-06-06 - 2004-06-12,84
2004-06-13 - 2004-06-19,77
2004-06-20 - 2004-06-26,74
2004-06-27 - 2004-07-03,64
2004-07-04 - 2004-07-10,64
2004-07-11 - 2004-07-17,62
2004-07-18 - 2004-07-24,62
2004-07-25 - 2004-07-31,62
2004-08-01 - 2004-08-07,64
2004-08-08 - 2004-08-14,63
2004-08-15 - 2004-08-21,67
2004-08-22 - 2004-08-28,72
2004-08-29 - 2004-09-04,81
2004-09-05 - 2004-09-11,89
2004-09-12 - 2004-09-18,95
2004-09-19 - 2004-09-25,95
2004-09-26 - 2004-10-02,93
2004-10-03 - 2004-10-09,100
2004-10-10 - 2004-10-16,90
2004-10-17 - 2004-10-23,93
2004-10-24 - 2004-10-30,91
2004-10-31 - 2004-11-06,87
2004-11-07 - 2004-11-13,80
2004-11-14 - 2004-11-20,88
2004-11-21 - 2004-11-27,77
2004-11-28 - 2004-12-04,89
2004-12-05 - 2004-12-11,88
2004-12-12 - 2004-12-18,84
2004-12-19 - 2004-12-25,57
2004-12-26 - 2005-01-01,46
2005-01-02 - 2005-01-08,71
2005-01-09 - 2005-01-15,80
2005-01-16 - 2005-01-22,79
2005-01-23 - 2005-01-29,83
2005-01-30 - 2005-02-05,84
2005-02-06 - 2005-02-12,86
2005-02-13 - 2005-02-19,78
2005-02-20 - 2005-02-26,80
2005-02-27 - 2005-03-05,83
2005-03-06 - 2005-03-12,81
2005-03-13 - 2005-03-19,78
2005-03-20 - 2005-03-26,70
2005-03-27 - 2005-04-02,70
2005-04-03 - 2005-04-09,71
2005-04-10 - 2005-04-16,74
2005-04-17 - 2005-04-23,75
2005-04-24 - 2005-04-30,80
2005-05-01 - 2005-05-07,80
2005-05-08 - 2005-05-14,78
2005-05-15 - 2005-05-21,73
2005-05-22 - 2005-05-28,71
2005-05-29 - 2005-06-04,69
2005-06-05 - 2005-06-11,72
2005-06-12 - 2005-06-18,70
2005-06-19 - 2005-06-25,68
2005-06-26 - 2005-07-02,57
2005-07-03 - 2005-07-09,51
2005-07-10 - 2005-07-16,55
2005-07-17 - 2005-07-23,54
2005-07-24 - 2005-07-30,53
2005-07-31 - 2005-08-06,51
2005-08-07 - 2005-08-13,52
2005-08-14 - 2005-08-20,57
2005-08-21 - 2005-08-27,61
2005-08-28 - 2005-09-03,65
2005-09-04 - 2005-09-10,74
2005-09-11 - 2005-09-17,80
2005-09-18 - 2005-09-24,80
2005-09-25 - 2005-10-01,80
2005-10-02 - 2005-10-08,86
2005-10-09 - 2005-10-15,78
2005-10-16 - 2005-10-22,79
2005-10-23 - 2005-10-29,76
2005-10-30 - 2005-11-05,75
2005-11-06 - 2005-11-12,75
2005-11-13 - 2005-11-19,73
2005-11-20 - 2005-11-26,66
2005-11-27 - 2005-12-03,75
2005-12-04 - 2005-12-10,75
2005-12-11 - 2005-12-17,71
2005-12-18 - 2005-12-24,52
2005-12-25 - 2005-12-31,41
2006-01-01 - 2006-01-07,57
2006-01-08 - 2006-01-14,66
2006-01-15 - 2006-01-21,67
2006-01-22 - 2006-01-28,68
2006-01-29 - 2006-02-04,69
2006-02-05 - 2006-02-11,68
2006-02-12 - 2006-02-18,66
2006-02-19 - 2006-02-25,66
2006-02-26 - 2006-03-04,69
2006-03-05 - 2006-03-11,66
2006-03-12 - 2006-03-18,64
2006-03-19 - 2006-03-25,64
2006-03-26 - 2006-04-01,62
2006-04-02 - 2006-04-08,62
2006-04-09 - 2006-04-15,60
2006-04-16 - 2006-04-22,59
2006-04-23 - 2006-04-29,63
2006-04-30 - 2006-05-06,66
2006-05-07 - 2006-05-13,67
2006-05-14 - 2006-05-20,64
2006-05-21 - 2006-05-27,60
2006-05-28 - 2006-06-03,58
2006-06-04 - 2006-06-10,61
2006-06-11 - 2006-06-17,58
2006-06-18 - 2006-06-24,55
2006-06-25 - 2006-07-01,45
2006-07-02 - 2006-07-08,41
2006-07-09 - 2006-07-15,43
2006-07-16 - 2006-07-22,43
2006-07-23 - 2006-07-29,42
2006-07-30 - 2006-08-05,43
2006-08-06 - 2006-08-12,42
2006-08-13 - 2006-08-19,45
2006-08-20 - 2006-08-26,49
2006-08-27 - 2006-09-02,52
2006-09-03 - 2006-09-09,60
2006-09-10 - 2006-09-16,67
2006-09-17 - 2006-09-23,64
2006-09-24 - 2006-09-30,64
2006-10-01 - 2006-10-07,66
2006-10-08 - 2006-10-14,63
2006-10-15 - 2006-10-21,62
2006-10-22 - 2006-10-28,59
2006-10-29 - 2006-11-04,60
2006-11-05 - 2006-11-11,59
2006-11-12 - 2006-11-18,59
2006-11-19 - 2006-11-25,51
2006-11-26 - 2006-12-02,59
2006-12-03 - 2006-12-09,58
2006-12-10 - 2006-12-16,58
2006-12-17 - 2006-12-23,44
2006-12-24 - 2006-12-30,30
2006-12-31 - 2007-01-06,43
2007-01-07 - 2007-01-13,54
2007-01-14 - 2007-01-20,52
2007-01-21 - 2007-01-27,57
2007-01-28 - 2007-02-03,54
2007-02-04 - 2007-02-10,54
2007-02-11 - 2007-02-17,50
2007-02-18 - 2007-02-24,52
2007-02-25 - 2007-03-03,53
2007-03-04 - 2007-03-10,52
2007-03-11 - 2007-03-17,49
2007-03-18 - 2007-03-24,51
2007-03-25 - 2007-03-31,49
2007-04-01 - 2007-04-07,46
2007-04-08 - 2007-04-14,48
2007-04-15 - 2007-04-21,50
2007-04-22 - 2007-04-28,52
2007-04-29 - 2007-05-05,52
2007-05-06 - 2007-05-12,53
2007-05-13 - 2007-05-19,53
2007-05-20 - 2007-05-26,51
2007-05-27 - 2007-06-02,49
2007-06-03 - 2007-06-09,53
2007-06-10 - 2007-06-16,51
2007-06-17 - 2007-06-23,51
2007-06-24 - 2007-06-30,39
2007-07-01 - 2007-07-07,35
2007-07-08 - 2007-07-14,37
2007-07-15 - 2007-07-21,38
2007-07-22 - 2007-07-28,37
2007-07-29 - 2007-08-04,36
2007-08-05 - 2007-08-11,37
2007-08-12 - 2007-08-18,38
2007-08-19 - 2007-08-25,42
2007-08-26 - 2007-09-01,47
2007-09-02 - 2007-09-08,52
2007-09-09 - 2007-09-15,59
2007-09-16 - 2007-09-22,57
2007-09-23 - 2007-09-29,55
2007-09-30 - 2007-10-06,56
2007-10-07 - 2007-10-13,58
2007-10-14 - 2007-10-20,53
2007-10-21 - 2007-10-27,52
2007-10-28 - 2007-11-03,53
2007-11-04 - 2007-11-10,51
2007-11-11 - 2007-11-17,52
2007-11-18 - 2007-11-24,49
2007-11-25 - 2007-12-01,55
2007-12-02 - 2007-12-08,57
2007-12-09 - 2007-12-15,51
2007-12-16 - 2007-12-22,42
2007-12-23 - 2007-12-29,27
2007-12-30 - 2008-01-05,36
2008-01-06 - 2008-01-12,50
2008-01-13 - 2008-01-19,52
2008-01-20 - 2008-01-26,50
2008-01-27 - 2008-02-02,52
2008-02-03 - 2008-02-09,50
2008-02-10 - 2008-02-16,47
2008-02-17 - 2008-02-23,47
2008-02-24 - 2008-03-01,50
2008-03-02 - 2008-03-08,50
2008-03-09 - 2008-03-15,48
2008-03-16 - 2008-03-22,43
2008-03-23 - 2008-03-29,42
2008-03-30 - 2008-04-05,47
2008-04-06 - 2008-04-12,46
2008-04-13 - 2008-04-19,47
2008-04-20 - 2008-04-26,49
2008-04-27 - 2008-05-03,51
2008-05-04 - 2008-05-10,50
2008-05-11 - 2008-05-17,49
2008-05-18 - 2008-05-24,44
2008-05-25 - 2008-05-31,44
2008-06-01 - 2008-06-07,47
2008-06-08 - 2008-06-14,48
2008-06-15 - 2008-06-21,50
2008-06-22 - 2008-06-28,38
2008-06-29 - 2008-07-05,34
2008-07-06 - 2008-07-12,34
2008-07-13 - 2008-07-19,35
2008-07-20 - 2008-07-26,34
2008-07-27 - 2008-08-02,33
2008-08-03 - 2008-08-09,34
2008-08-10 - 2008-08-16,35
2008-08-17 - 2008-08-23,38
2008-08-24 - 2008-08-30,45
2008-08-31 - 2008-09-06,48
2008-09-07 - 2008-09-13,54
2008-09-14 - 2008-09-20,53
2008-09-21 - 2008-09-27,51
2008-09-28 - 2008-10-04,51
2008-10-05 - 2008-10-11,53
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,51
2008-10-26 - 2008-11-01,48
2008-11-02 - 2008-11-08,49
2008-11-09 - 2008-11-15,52
2008-11-16 - 2008-11-22,50
2008-11-23 - 2008-11-29,41
2008-11-30 - 2008-12-06,48
2008-12-07 - 2008-12-13,49
2008-12-14 - 2008-12-20,43
2008-12-21 - 2008-12-27,27
2008-12-28 - 2009-01-03,28
2009-01-04 - 2009-01-10,45
2009-01-11 - 2009-01-17,47
2009-01-18 - 2009-01-24,46
2009-01-25 - 2009-01-31,47
2009-02-01 - 2009-02-07,47
2009-02-08 - 2009-02-14,46
2009-02-15 - 2009-02-21,44
2009-02-22 - 2009-02-28,47
2009-03-01 - 2009-03-07,46
2009-03-08 - 2009-03-14,46
2009-03-15 - 2009-03-21,44
2009-03-22 - 2009-03-28,44
2009-03-29 - 2009-04-04,45
2009-04-05 - 2009-04-11,42
2009-04-12 - 2009-04-18,43
2009-04-19 - 2009-04-25,47
2009-04-26 - 2009-05-02,46
2009-05-03 - 2009-05-09,46
2009-05-10 - 2009-05-16,46
2009-05-17 - 2009-05-23,44
2009-05-24 - 2009-05-30,42
2009-05-31 - 2009-06-06,50
2009-06-07 - 2009-06-13,46
2009-06-14 - 2009-06-20,48
2009-06-21 - 2009-06-27,35
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,33
2009-07-19 - 2009-07-25,33
2009-07-26 - 2009-08-01,33
2009-08-02 - 2009-08-08,34
2009-08-09 - 2009-08-15,34
2009-08-16 - 2009-08-22,37
2009-08-23 - 2009-08-29,44
2009-08-30 - 2009-09-05,47
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,53
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,49
2009-10-04 - 2009-10-10,55
2009-10-11 - 2009-10-17,50
2009-10-18 - 2009-10-24,50
2009-10-25 - 2009-10-31,47
2009-11-01 - 2009-11-07,49
2009-11-08 - 2009-11-14,49
2009-11-15 - 2009-11-21,49
2009-11-22 - 2009-11-28,40
2009-11-29 - 2009-12-05,47
2009-12-06 - 2009-12-12,48
2009-12-13 - 2009-12-19,43
2009-12-20 - 2009-12-26,27
2009-12-27 - 2010-01-02,27
2010-01-03 - 2010-01-09,41
2010-01-10 - 2010-01-16,46
2010-01-17 - 2010-01-23,47
2010-01-24 - 2010-01-30,49
2010-01-31 - 2010-02-06,48
2010-02-07 - 2010-02-13,46
2010-02-14 - 2010-02-20,44
2010-02-21 - 2010-02-27,46
2010-02-28 - 2010-03-06,47
2010-03-07 - 2010-03-13,46
2010-03-14 - 2010-03-20,43
2010-03-21 - 2010-03-27,44
2010-03-28 - 2010-04-03,41
2010-04-04 - 2010-04-10,41
2010-04-11 - 2010-04-17,44
2010-04-18 - 2010-04-24,45
2010-04-25 - 2010-05-01,47
2010-05-02 - 2010-05-08,46
2010-05-09 - 2010-05-15,46
2010-05-16 - 2010-05-22,44
2010-05-23 - 2010-05-29,43
2010-05-30 - 2010-06-05,42
2010-06-06 - 2010-06-12,43
2010-06-13 - 2010-06-19,49
2010-06-20 - 2010-06-26,44
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,32
2010-07-11 - 2010-07-17,33
2010-07-18 - 2010-07-24,33
2010-07-25 - 2010-07-31,32
2010-08-01 - 2010-08-07,32
2010-08-08 - 2010-08-14,33
2010-08-15 - 2010-08-21,35
2010-08-22 - 2010-08-28,41
2010-08-29 - 2010-09-04,44
2010-09-05 - 2010-09-11,47
2010-09-12 - 2010-09-18,50
2010-09-19 - 2010-09-25,50
2010-09-26 - 2010-10-02,50
2010-10-03 - 2010-10-09,54
2010-10-10 - 2010-10-16,48
2010-10-17 - 2010-10-23,49
2010-10-24 - 2010-10-30,47
2010-10-31 - 2010-11-06,46
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,47
2010-11-21 - 2010-11-27,39
2010-11-28 - 2010-12-04,46
2010-12-05 - 2010-12-11,48
2010-12-12 - 2010-12-18,43
2010-12-19 - 2010-12-25,29
2010-12-26 - 2011-01-01,26
2011-01-02 - 2011-01-08,40
2011-01-09 - 2011-01-15,46
2011-01-16 - 2011-01-22,48
2011-01-23 - 2011-01-29,47
2011-01-30 - 2011-02-05,45
2011-02-06 - 2011-02-12,46
2011-02-13 - 2011-02-19,46
2011-02-20 - 2011-02-26,43
2011-02-27 - 2011-03-05,47
2011-03-06 - 2011-03-12,44
2011-03-13 - 2011-03-19,41
2011-03-20 - 2011-03-26,44
2011-03-27 - 2011-04-02,44
2011-04-03 - 2011-04-09,44
2011-04-10 - 2011-04-16,45
2011-04-17 - 2011-04-23,42
2011-04-24 - 2011-04-30,44
2011-05-01 - 2011-05-07,46
2011-05-08 - 2011-05-14,45
2011-05-15 - 2011-05-21,44
2011-05-22 - 2011-05-28,47
2011-05-29 - 2011-06-04,39
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,49
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,35
2011-07-03 - 2011-07-09,34
2011-07-10 - 2011-07-16,35
2011-07-17 - 2011-07-23,34
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,35
2011-08-07 - 2011-08-13,34
2011-08-14 - 2011-08-20,38
2011-08-21 - 2011-08-27,44
2011-08-28 - 2011-09-03,47
2011-09-04 - 2011-09-10,51
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,55
2011-09-25 - 2011-10-01,53
2011-10-02 - 2011-10-08,55
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,51
