Web Search interest: tropical+medicine
Worldwide 2004 - present

Interest over time
Week,tropical+medicine
2004-01-04 - 2004-01-10,88
2004-01-11 - 2004-01-17,89
2004-01-18 - 2004-01-24,85
2004-01-25 - 2004-01-31,88
2004-02-01 - 2004-02-07,91
2004-02-08 - 2004-02-14,88
2004-02-15 - 2004-02-21,85
2004-02-22 - 2004-02-28,87
2004-02-29 - 2004-03-06,92
2004-03-07 - 2004-03-13,87
2004-03-14 - 2004-03-20,87
2004-03-21 - 2004-03-27,85
2004-03-28 - 2004-04-03,86
2004-04-04 - 2004-04-10,82
2004-04-11 - 2004-04-17,83
2004-04-18 - 2004-04-24,86
2004-04-25 - 2004-05-01,86
2004-05-02 - 2004-05-08,85
2004-05-09 - 2004-05-15,82
2004-05-16 - 2004-05-22,83
2004-05-23 - 2004-05-29,83
2004-05-30 - 2004-06-05,76
2004-06-06 - 2004-06-12,77
2004-06-13 - 2004-06-19,76
2004-06-20 - 2004-06-26,78
2004-06-27 - 2004-07-03,76
2004-07-04 - 2004-07-10,75
2004-07-11 - 2004-07-17,79
2004-07-18 - 2004-07-24,81
2004-07-25 - 2004-07-31,81
2004-08-01 - 2004-08-07,84
2004-08-08 - 2004-08-14,94
2004-08-15 - 2004-08-21,84
2004-08-22 - 2004-08-28,81
2004-08-29 - 2004-09-04,89
2004-09-05 - 2004-09-11,89
2004-09-12 - 2004-09-18,100
2004-09-19 - 2004-09-25,94
2004-09-26 - 2004-10-02,90
2004-10-03 - 2004-10-09,88
2004-10-10 - 2004-10-16,84
2004-10-17 - 2004-10-23,83
2004-10-24 - 2004-10-30,82
2004-10-31 - 2004-11-06,82
2004-11-07 - 2004-11-13,78
2004-11-14 - 2004-11-20,83
2004-11-21 - 2004-11-27,74
2004-11-28 - 2004-12-04,81
2004-12-05 - 2004-12-11,82
2004-12-12 - 2004-12-18,79
2004-12-19 - 2004-12-25,77
2004-12-26 - 2005-01-01,75
2005-01-02 - 2005-01-08,86
2005-01-09 - 2005-01-15,85
2005-01-16 - 2005-01-22,81
2005-01-23 - 2005-01-29,86
2005-01-30 - 2005-02-05,86
2005-02-06 - 2005-02-12,85
2005-02-13 - 2005-02-19,85
2005-02-20 - 2005-02-26,82
2005-02-27 - 2005-03-05,83
2005-03-06 - 2005-03-12,83
2005-03-13 - 2005-03-19,82
2005-03-20 - 2005-03-26,78
2005-03-27 - 2005-04-02,79
2005-04-03 - 2005-04-09,76
2005-04-10 - 2005-04-16,77
2005-04-17 - 2005-04-23,80
2005-04-24 - 2005-04-30,79
2005-05-01 - 2005-05-07,81
2005-05-08 - 2005-05-14,77
2005-05-15 - 2005-05-21,84
2005-05-22 - 2005-05-28,77
2005-05-29 - 2005-06-04,73
2005-06-05 - 2005-06-11,82
2005-06-12 - 2005-06-18,73
2005-06-19 - 2005-06-25,73
2005-06-26 - 2005-07-02,72
2005-07-03 - 2005-07-09,84
2005-07-10 - 2005-07-16,93
2005-07-17 - 2005-07-23,79
2005-07-24 - 2005-07-30,76
2005-07-31 - 2005-08-06,75
2005-08-07 - 2005-08-13,78
2005-08-14 - 2005-08-20,74
2005-08-21 - 2005-08-27,79
2005-08-28 - 2005-09-03,78
2005-09-04 - 2005-09-10,77
2005-09-11 - 2005-09-17,77
2005-09-18 - 2005-09-24,90
2005-09-25 - 2005-10-01,78
2005-10-02 - 2005-10-08,81
2005-10-09 - 2005-10-15,78
2005-10-16 - 2005-10-22,83
