Web Search interest: vinyl
Worldwide 2004 - present

Interest over time
Week,vinyl
2004-01-04 - 2004-01-10,77
2004-01-11 - 2004-01-17,74
2004-01-18 - 2004-01-24,74
2004-01-25 - 2004-01-31,73
2004-02-01 - 2004-02-07,71
2004-02-08 - 2004-02-14,71
2004-02-15 - 2004-02-21,71
2004-02-22 - 2004-02-28,78
2004-02-29 - 2004-03-06,77
2004-03-07 - 2004-03-13,71
2004-03-14 - 2004-03-20,76
2004-03-21 - 2004-03-27,81
2004-03-28 - 2004-04-03,81
2004-04-04 - 2004-04-10,84
2004-04-11 - 2004-04-17,77
2004-04-18 - 2004-04-24,81
2004-04-25 - 2004-05-01,77
2004-05-02 - 2004-05-08,78
2004-05-09 - 2004-05-15,80
2004-05-16 - 2004-05-22,77
2004-05-23 - 2004-05-29,77
2004-05-30 - 2004-06-05,78
2004-06-06 - 2004-06-12,78
2004-06-13 - 2004-06-19,78
2004-06-20 - 2004-06-26,78
2004-06-27 - 2004-07-03,80
2004-07-04 - 2004-07-10,82
2004-07-11 - 2004-07-17,84
2004-07-18 - 2004-07-24,80
2004-07-25 - 2004-07-31,82
2004-08-01 - 2004-08-07,82
2004-08-08 - 2004-08-14,81
2004-08-15 - 2004-08-21,76
2004-08-22 - 2004-08-28,82
2004-08-29 - 2004-09-04,74
2004-09-05 - 2004-09-11,72
2004-09-12 - 2004-09-18,73
2004-09-19 - 2004-09-25,71
2004-09-26 - 2004-10-02,72
2004-10-03 - 2004-10-09,68
2004-10-10 - 2004-10-16,68
2004-10-17 - 2004-10-23,67
2004-10-24 - 2004-10-30,68
2004-10-31 - 2004-11-06,65
2004-11-07 - 2004-11-13,68
2004-11-14 - 2004-11-20,64
2004-11-21 - 2004-11-27,62
2004-11-28 - 2004-12-04,65
2004-12-05 - 2004-12-11,62
2004-12-12 - 2004-12-18,62
2004-12-19 - 2004-12-25,59
2004-12-26 - 2005-01-01,67
2005-01-02 - 2005-01-08,66
2005-01-09 - 2005-01-15,65
2005-01-16 - 2005-01-22,66
2005-01-23 - 2005-01-29,64
2005-01-30 - 2005-02-05,67
2005-02-06 - 2005-02-12,67
2005-02-13 - 2005-02-19,67
2005-02-20 - 2005-02-26,65
2005-02-27 - 2005-03-05,66
2005-03-06 - 2005-03-12,66
2005-03-13 - 2005-03-19,70
2005-03-20 - 2005-03-26,71
2005-03-27 - 2005-04-02,70
2005-04-03 - 2005-04-09,72
2005-04-10 - 2005-04-16,70
2005-04-17 - 2005-04-23,72
2005-04-24 - 2005-04-30,72
2005-05-01 - 2005-05-07,70
2005-05-08 - 2005-05-14,69
2005-05-15 - 2005-05-21,69
2005-05-22 - 2005-05-28,71
2005-05-29 - 2005-06-04,71
2005-06-05 - 2005-06-11,71
2005-06-12 - 2005-06-18,70
2005-06-19 - 2005-06-25,69
2005-06-26 - 2005-07-02,67
2005-07-03 - 2005-07-09,68
2005-07-10 - 2005-07-16,71
2005-07-17 - 2005-07-23,71
2005-07-24 - 2005-07-30,70
2005-07-31 - 2005-08-06,69
2005-08-07 - 2005-08-13,70
2005-08-14 - 2005-08-20,69
2005-08-21 - 2005-08-27,70
2005-08-28 - 2005-09-03,63
2005-09-04 - 2005-09-10,63
2005-09-11 - 2005-09-17,64
2005-09-18 - 2005-09-24,63
2005-09-25 - 2005-10-01,62
2005-10-02 - 2005-10-08,64
