Web Search interest: Pairing
Worldwide 2004 - present

Interest over time
Week,Pairing
2004-01-04 - 2004-01-10,20
2004-01-11 - 2004-01-17,40
2004-01-18 - 2004-01-24,25
2004-01-25 - 2004-01-31,32
2004-02-01 - 2004-02-07,31
2004-02-08 - 2004-02-14,31
2004-02-15 - 2004-02-21,31
2004-02-22 - 2004-02-28,26
2004-02-29 - 2004-03-06,26
2004-03-07 - 2004-03-13,15
2004-03-14 - 2004-03-20,15
2004-03-21 - 2004-03-27,38
2004-03-28 - 2004-04-03,21
2004-04-04 - 2004-04-10,21
2004-04-11 - 2004-04-17,26
2004-04-18 - 2004-04-24,14
2004-04-25 - 2004-05-01,43
2004-05-02 - 2004-05-08,43
2004-05-09 - 2004-05-15,28
2004-05-16 - 2004-05-22,28
2004-05-23 - 2004-05-29,49
2004-05-30 - 2004-06-05,22
2004-06-06 - 2004-06-12,28
2004-06-13 - 2004-06-19,14
2004-06-20 - 2004-06-26,14
2004-06-27 - 2004-07-03,29
2004-07-04 - 2004-07-10,19
2004-07-11 - 2004-07-17,26
2004-07-18 - 2004-07-24,15
2004-07-25 - 2004-07-31,24
2004-08-01 - 2004-08-07,22
2004-08-08 - 2004-08-14,14
2004-08-15 - 2004-08-21,14
2004-08-22 - 2004-08-28,23
2004-08-29 - 2004-09-04,13
2004-09-05 - 2004-09-11,17
2004-09-12 - 2004-09-18,19
2004-09-19 - 2004-09-25,20
2004-09-26 - 2004-10-02,16
2004-10-03 - 2004-10-09,12
2004-10-10 - 2004-10-16,22
2004-10-17 - 2004-10-23,12
2004-10-24 - 2004-10-30,42
2004-10-31 - 2004-11-06,20
2004-11-07 - 2004-11-13,17
2004-11-14 - 2004-11-20,31
2004-11-21 - 2004-11-27,18
2004-11-28 - 2004-12-04,22
2004-12-05 - 2004-12-11,30
2004-12-12 - 2004-12-18,34
2004-12-19 - 2004-12-25,36
2004-12-26 - 2005-01-01,37
2005-01-02 - 2005-01-08,26
2005-01-09 - 2005-01-15,14
2005-01-16 - 2005-01-22,17
2005-01-23 - 2005-01-29,25
2005-01-30 - 2005-02-05,14
2005-02-06 - 2005-02-12,15
2005-02-13 - 2005-02-19,15
2005-02-20 - 2005-02-26,32
2005-02-27 - 2005-03-05,17
2005-03-06 - 2005-03-12,16
2005-03-13 - 2005-03-19,26
2005-03-20 - 2005-03-26,26
2005-03-27 - 2005-04-02,27
2005-04-03 - 2005-04-09,28
2005-04-10 - 2005-04-16,19
2005-04-17 - 2005-04-23,9
2005-04-24 - 2005-04-30,19
2005-05-01 - 2005-05-07,22
2005-05-08 - 2005-05-14,21
2005-05-15 - 2005-05-21,12
2005-05-22 - 2005-05-28,22
2005-05-29 - 2005-06-04,22
2005-06-05 - 2005-06-11,18
2005-06-12 - 2005-06-18,18
2005-06-19 - 2005-06-25,33
2005-06-26 - 2005-07-02,25
2005-07-03 - 2005-07-09,24
2005-07-10 - 2005-07-16,13
2005-07-17 - 2005-07-23,28
2005-07-24 - 2005-07-30,9
2005-07-31 - 2005-08-06,15
2005-08-07 - 2005-08-13,14
2005-08-14 - 2005-08-20,28
2005-08-21 - 2005-08-27,45
2005-08-28 - 2005-09-03,14
2005-09-04 - 2005-09-10,25
2005-09-11 - 2005-09-17,20
2005-09-18 - 2005-09-24,24
2005-09-25 - 2005-10-01,18
2005-10-02 - 2005-10-08,20
2005-10-09 - 2005-10-15,19
2005-10-16 - 2005-10-22,28
2005-10-23 - 2005-10-29,8
2005-10-30 - 2005-11-05,28
2005-11-06 - 2005-11-12,23
2005-11-13 - 2005-11-19,12
2005-11-20 - 2005-11-26,11
2005-11-27 - 2005-12-03,26
2005-12-04 - 2005-12-10,17
2005-12-11 - 2005-12-17,57
