Web Search interest: x-ray
Worldwide 2004 - present

Interest over time
Week,x-ray
2004-01-04 - 2004-01-10,69
2004-01-11 - 2004-01-17,86
2004-01-18 - 2004-01-24,85
2004-01-25 - 2004-01-31,84
2004-02-01 - 2004-02-07,76
2004-02-08 - 2004-02-14,100
2004-02-15 - 2004-02-21,81
2004-02-22 - 2004-02-28,78
2004-02-29 - 2004-03-06,77
2004-03-07 - 2004-03-13,82
2004-03-14 - 2004-03-20,75
2004-03-21 - 2004-03-27,67
2004-03-28 - 2004-04-03,79
2004-04-04 - 2004-04-10,75
2004-04-11 - 2004-04-17,73
2004-04-18 - 2004-04-24,80
2004-04-25 - 2004-05-01,83
2004-05-02 - 2004-05-08,74
2004-05-09 - 2004-05-15,75
2004-05-16 - 2004-05-22,74
2004-05-23 - 2004-05-29,67
2004-05-30 - 2004-06-05,64
2004-06-06 - 2004-06-12,66
2004-06-13 - 2004-06-19,68
2004-06-20 - 2004-06-26,69
2004-06-27 - 2004-07-03,62
2004-07-04 - 2004-07-10,60
2004-07-11 - 2004-07-17,71
2004-07-18 - 2004-07-24,65
2004-07-25 - 2004-07-31,65
2004-08-01 - 2004-08-07,63
2004-08-08 - 2004-08-14,69
2004-08-15 - 2004-08-21,68
2004-08-22 - 2004-08-28,64
2004-08-29 - 2004-09-04,65
2004-09-05 - 2004-09-11,69
2004-09-12 - 2004-09-18,63
2004-09-19 - 2004-09-25,72
2004-09-26 - 2004-10-02,71
2004-10-03 - 2004-10-09,71
2004-10-10 - 2004-10-16,65
2004-10-17 - 2004-10-23,70
2004-10-24 - 2004-10-30,76
2004-10-31 - 2004-11-06,70
2004-11-07 - 2004-11-13,79
2004-11-14 - 2004-11-20,75
2004-11-21 - 2004-11-27,64
2004-11-28 - 2004-12-04,72
2004-12-05 - 2004-12-11,76
2004-12-12 - 2004-12-18,68
2004-12-19 - 2004-12-25,57
2004-12-26 - 2005-01-01,47
2005-01-02 - 2005-01-08,67
2005-01-09 - 2005-01-15,66
2005-01-16 - 2005-01-22,67
2005-01-23 - 2005-01-29,69
2005-01-30 - 2005-02-05,71
2005-02-06 - 2005-02-12,71
2005-02-13 - 2005-02-19,65
2005-02-20 - 2005-02-26,67
2005-02-27 - 2005-03-05,65
2005-03-06 - 2005-03-12,67
2005-03-13 - 2005-03-19,65
2005-03-20 - 2005-03-26,70
2005-03-27 - 2005-04-02,63
2005-04-03 - 2005-04-09,61
2005-04-10 - 2005-04-16,68
2005-04-17 - 2005-04-23,64
2005-04-24 - 2005-04-30,70
2005-05-01 - 2005-05-07,66
2005-05-08 - 2005-05-14,65
2005-05-15 - 2005-05-21,65
2005-05-22 - 2005-05-28,62
2005-05-29 - 2005-06-04,57
2005-06-05 - 2005-06-11,57
2005-06-12 - 2005-06-18,60
2005-06-19 - 2005-06-25,58
2005-06-26 - 2005-07-02,56
2005-07-03 - 2005-07-09,56
2005-07-10 - 2005-07-16,56
2005-07-17 - 2005-07-23,59
2005-07-24 - 2005-07-30,54
2005-07-31 - 2005-08-06,52
2005-08-07 - 2005-08-13,57
2005-08-14 - 2005-08-20,77
2005-08-21 - 2005-08-27,54
2005-08-28 - 2005-09-03,54
2005-09-04 - 2005-09-10,52
2005-09-11 - 2005-09-17,60
2005-09-18 - 2005-09-24,56
2005-09-25 - 2005-10-01,61
2005-10-02 - 2005-10-08,65
2005-10-09 - 2005-10-15,63
2005-10-16 - 2005-10-22,59
2005-10-23 - 2005-10-29,62
2005-10-30 - 2005-11-05,58
2005-11-06 - 2005-11-12,58
2005-11-13 - 2005-11-19,56
2005-11-20 - 2005-11-26,53
2005-11-27 - 2005-12-03,59
2005-12-04 - 2005-12-10,58
2005-12-11 - 2005-12-17,53
2005-12-18 - 2005-12-24,47
2005-12-25 - 2005-12-31,41
2006-01-01 - 2006-01-07,47
2006-01-08 - 2006-01-14,51
2006-01-15 - 2006-01-21,54
2006-01-22 - 2006-01-28,55
2006-01-29 - 2006-02-04,56
2006-02-05 - 2006-02-11,53
2006-02-12 - 2006-02-18,51
2006-02-19 - 2006-02-25,54
2006-02-26 - 2006-03-04,56
2006-03-05 - 2006-03-11,53
2006-03-12 - 2006-03-18,52
2006-03-19 - 2006-03-25,53
2006-03-26 - 2006-04-01,52
2006-04-02 - 2006-04-08,55
2006-04-09 - 2006-04-15,51
2006-04-16 - 2006-04-22,54
2006-04-23 - 2006-04-29,57
2006-04-30 - 2006-05-06,55
2006-05-07 - 2006-05-13,53
2006-05-14 - 2006-05-20,54
2006-05-21 - 2006-05-27,56
2006-05-28 - 2006-06-03,49
2006-06-04 - 2006-06-10,50
2006-06-11 - 2006-06-17,49
2006-06-18 - 2006-06-24,46
2006-06-25 - 2006-07-01,44
2006-07-02 - 2006-07-08,43
2006-07-09 - 2006-07-15,46
2006-07-16 - 2006-07-22,46
2006-07-23 - 2006-07-29,45
2006-07-30 - 2006-08-05,44
2006-08-06 - 2006-08-12,46
2006-08-13 - 2006-08-19,45
2006-08-20 - 2006-08-26,47
2006-08-27 - 2006-09-02,45
2006-09-03 - 2006-09-09,44
2006-09-10 - 2006-09-16,49
2006-09-17 - 2006-09-23,49
2006-09-24 - 2006-09-30,51
2006-10-01 - 2006-10-07,48
2006-10-08 - 2006-10-14,49
2006-10-15 - 2006-10-21,49
2006-10-22 - 2006-10-28,49
2006-10-29 - 2006-11-04,48
2006-11-05 - 2006-11-11,47
2006-11-12 - 2006-11-18,47
2006-11-19 - 2006-11-25,42
2006-11-26 - 2006-12-02,48
2006-12-03 - 2006-12-09,52
2006-12-10 - 2006-12-16,44
2006-12-17 - 2006-12-23,40
2006-12-24 - 2006-12-30,34
2006-12-31 - 2007-01-06,37
2007-01-07 - 2007-01-13,44
2007-01-14 - 2007-01-20,42
2007-01-21 - 2007-01-27,48
2007-01-28 - 2007-02-03,48
2007-02-04 - 2007-02-10,46
2007-02-11 - 2007-02-17,45
2007-02-18 - 2007-02-24,50
2007-02-25 - 2007-03-03,46
2007-03-04 - 2007-03-10,48
2007-03-11 - 2007-03-17,43
2007-03-18 - 2007-03-24,48
2007-03-25 - 2007-03-31,45
2007-04-01 - 2007-04-07,44
2007-04-08 - 2007-04-14,43
2007-04-15 - 2007-04-21,45
2007-04-22 - 2007-04-28,45
2007-04-29 - 2007-05-05,46
2007-05-06 - 2007-05-12,45
2007-05-13 - 2007-05-19,46
2007-05-20 - 2007-05-26,44
2007-05-27 - 2007-06-02,40
2007-06-03 - 2007-06-09,44
2007-06-10 - 2007-06-16,40
2007-06-17 - 2007-06-23,41
2007-06-24 - 2007-06-30,39
2007-07-01 - 2007-07-07,37
2007-07-08 - 2007-07-14,42
2007-07-15 - 2007-07-21,40
2007-07-22 - 2007-07-28,41
2007-07-29 - 2007-08-04,40
2007-08-05 - 2007-08-11,40
2007-08-12 - 2007-08-18,40
2007-08-19 - 2007-08-25,41
2007-08-26 - 2007-09-01,39
2007-09-02 - 2007-09-08,40
2007-09-09 - 2007-09-15,42
2007-09-16 - 2007-09-22,45
2007-09-23 - 2007-09-29,42
2007-09-30 - 2007-10-06,43
2007-10-07 - 2007-10-13,44
2007-10-14 - 2007-10-20,41
2007-10-21 - 2007-10-27,43
2007-10-28 - 2007-11-03,45
2007-11-04 - 2007-11-10,43
2007-11-11 - 2007-11-17,41
2007-11-18 - 2007-11-24,42
2007-11-25 - 2007-12-01,46
2007-12-02 - 2007-12-08,46
2007-12-09 - 2007-12-15,41
2007-12-16 - 2007-12-22,35
2007-12-23 - 2007-12-29,30
2007-12-30 - 2008-01-05,32
2008-01-06 - 2008-01-12,40
2008-01-13 - 2008-01-19,40
2008-01-20 - 2008-01-26,40
2008-01-27 - 2008-02-02,40
2008-02-03 - 2008-02-09,42
2008-02-10 - 2008-02-16,40
2008-02-17 - 2008-02-23,41
2008-02-24 - 2008-03-01,43
2008-03-02 - 2008-03-08,42
2008-03-09 - 2008-03-15,42
2008-03-16 - 2008-03-22,39
2008-03-23 - 2008-03-29,41
2008-03-30 - 2008-04-05,40
2008-04-06 - 2008-04-12,42
2008-04-13 - 2008-04-19,43
2008-04-20 - 2008-04-26,41
2008-04-27 - 2008-05-03,41
2008-05-04 - 2008-05-10,41
2008-05-11 - 2008-05-17,41
2008-05-18 - 2008-05-24,39
2008-05-25 - 2008-05-31,35
2008-06-01 - 2008-06-07,39
2008-06-08 - 2008-06-14,37
2008-06-15 - 2008-06-21,37
2008-06-22 - 2008-06-28,37
2008-06-29 - 2008-07-05,35
2008-07-06 - 2008-07-12,37
2008-07-13 - 2008-07-19,37
2008-07-20 - 2008-07-26,37
2008-07-27 - 2008-08-02,35
2008-08-03 - 2008-08-09,37
2008-08-10 - 2008-08-16,35
2008-08-17 - 2008-08-23,36
2008-08-24 - 2008-08-30,38
2008-08-31 - 2008-09-06,36
2008-09-07 - 2008-09-13,39
2008-09-14 - 2008-09-20,39
2008-09-21 - 2008-09-27,37
2008-09-28 - 2008-10-04,38
2008-10-05 - 2008-10-11,36
2008-10-12 - 2008-10-18,39
2008-10-19 - 2008-10-25,43
2008-10-26 - 2008-11-01,41
2008-11-02 - 2008-11-08,37
2008-11-09 - 2008-11-15,41
2008-11-16 - 2008-11-22,38
2008-11-23 - 2008-11-29,36
2008-11-30 - 2008-12-06,39
2008-12-07 - 2008-12-13,40
2008-12-14 - 2008-12-20,33
2008-12-21 - 2008-12-27,27
2008-12-28 - 2009-01-03,30
2009-01-04 - 2009-01-10,39
2009-01-11 - 2009-01-17,40
2009-01-18 - 2009-01-24,38
2009-01-25 - 2009-01-31,37
2009-02-01 - 2009-02-07,38
2009-02-08 - 2009-02-14,37
2009-02-15 - 2009-02-21,44
2009-02-22 - 2009-02-28,40
2009-03-01 - 2009-03-07,39
2009-03-08 - 2009-03-14,38
2009-03-15 - 2009-03-21,39
2009-03-22 - 2009-03-28,38
2009-03-29 - 2009-04-04,38
2009-04-05 - 2009-04-11,40
2009-04-12 - 2009-04-18,39
2009-04-19 - 2009-04-25,41
2009-04-26 - 2009-05-02,40
2009-05-03 - 2009-05-09,40
2009-05-10 - 2009-05-16,38
2009-05-17 - 2009-05-23,37
2009-05-24 - 2009-05-30,34
2009-05-31 - 2009-06-06,36
2009-06-07 - 2009-06-13,37
2009-06-14 - 2009-06-20,34
2009-06-21 - 2009-06-27,32
2009-06-28 - 2009-07-04,31
2009-07-05 - 2009-07-11,31
2009-07-12 - 2009-07-18,33
2009-07-19 - 2009-07-25,32
2009-07-26 - 2009-08-01,34
2009-08-02 - 2009-08-08,33
2009-08-09 - 2009-08-15,33
2009-08-16 - 2009-08-22,32
2009-08-23 - 2009-08-29,34
2009-08-30 - 2009-09-05,33
2009-09-06 - 2009-09-12,33
2009-09-13 - 2009-09-19,35
2009-09-20 - 2009-09-26,34
2009-09-27 - 2009-10-03,38
2009-10-04 - 2009-10-10,35
2009-10-11 - 2009-10-17,38
2009-10-18 - 2009-10-24,37
2009-10-25 - 2009-10-31,37
2009-11-01 - 2009-11-07,36
2009-11-08 - 2009-11-14,37
2009-11-15 - 2009-11-21,36
2009-11-22 - 2009-11-28,30
2009-11-29 - 2009-12-05,33
2009-12-06 - 2009-12-12,33
2009-12-13 - 2009-12-19,33
2009-12-20 - 2009-12-26,27
2009-12-27 - 2010-01-02,30
2010-01-03 - 2010-01-09,36
2010-01-10 - 2010-01-16,35
2010-01-17 - 2010-01-23,36
2010-01-24 - 2010-01-30,34
2010-01-31 - 2010-02-06,35
2010-02-07 - 2010-02-13,35
2010-02-14 - 2010-02-20,34
2010-02-21 - 2010-02-27,35
2010-02-28 - 2010-03-06,37
2010-03-07 - 2010-03-13,37
2010-03-14 - 2010-03-20,36
2010-03-21 - 2010-03-27,36
2010-03-28 - 2010-04-03,34
2010-04-04 - 2010-04-10,34
2010-04-11 - 2010-04-17,36
2010-04-18 - 2010-04-24,35
2010-04-25 - 2010-05-01,38
2010-05-02 - 2010-05-08,36
2010-05-09 - 2010-05-15,35
2010-05-16 - 2010-05-22,35
2010-05-23 - 2010-05-29,33
2010-05-30 - 2010-06-05,33
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,32
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,30
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,29
2010-07-18 - 2010-07-24,28
2010-07-25 - 2010-07-31,27
2010-08-01 - 2010-08-07,28
2010-08-08 - 2010-08-14,29
2010-08-15 - 2010-08-21,28
2010-08-22 - 2010-08-28,28
2010-08-29 - 2010-09-04,27
2010-09-05 - 2010-09-11,28
2010-09-12 - 2010-09-18,29
2010-09-19 - 2010-09-25,30
2010-09-26 - 2010-10-02,31
2010-10-03 - 2010-10-09,30
2010-10-10 - 2010-10-16,30
2010-10-17 - 2010-10-23,33
2010-10-24 - 2010-10-30,29
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,41
2010-11-14 - 2010-11-20,42
2010-11-21 - 2010-11-27,33
2010-11-28 - 2010-12-04,31
2010-12-05 - 2010-12-11,30
2010-12-12 - 2010-12-18,28
2010-12-19 - 2010-12-25,24
2010-12-26 - 2011-01-01,22
2011-01-02 - 2011-01-08,28
2011-01-09 - 2011-01-15,29
2011-01-16 - 2011-01-22,29
2011-01-23 - 2011-01-29,29
2011-01-30 - 2011-02-05,27
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,29
2011-02-20 - 2011-02-26,29
2011-02-27 - 2011-03-05,29
2011-03-06 - 2011-03-12,30
2011-03-13 - 2011-03-19,31
2011-03-20 - 2011-03-26,30
2011-03-27 - 2011-04-02,30
2011-04-03 - 2011-04-09,31
2011-04-10 - 2011-04-16,29
2011-04-17 - 2011-04-23,30
2011-04-24 - 2011-04-30,33
2011-05-01 - 2011-05-07,30
2011-05-08 - 2011-05-14,29
2011-05-15 - 2011-05-21,29
2011-05-22 - 2011-05-28,28
2011-05-29 - 2011-06-04,28
2011-06-05 - 2011-06-11,27
2011-06-12 - 2011-06-18,26
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,27
2011-07-03 - 2011-07-09,26
2011-07-10 - 2011-07-16,26
2011-07-17 - 2011-07-23,26
2011-07-24 - 2011-07-30,26
2011-07-31 - 2011-08-06,25
2011-08-07 - 2011-08-13,25
2011-08-14 - 2011-08-20,25
2011-08-21 - 2011-08-27,25
2011-08-28 - 2011-09-03,24
2011-09-04 - 2011-09-10,25
2011-09-11 - 2011-09-17,28
2011-09-18 - 2011-09-24,29
2011-09-25 - 2011-10-01,28
2011-10-02 - 2011-10-08,27
2011-10-09 - 2011-10-15,28
2011-10-16 - 2011-10-22,27
2011-10-23 - 2011-10-29,27
2011-10-30 - 2011-11-05,27
2011-11-06 - 2011-11-12,27
2011-11-13 - 2011-11-19,29
2011-11-20 - 2011-11-26,27
2011-11-27 - 2011-12-03,28
2011-12-04 - 2011-12-10,27
2011-12-11 - 2011-12-17,27
2011-12-18 - 2011-12-24,25
2011-12-25 - 2011-12-31,21
2012-01-01 - 2012-01-07,24
2012-01-08 - 2012-01-14,27
2012-01-15 - 2012-01-21,27
2012-01-22 - 2012-01-28,28
2012-01-29 - 2012-02-04,26
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,28
2012-02-19 - 2012-02-25,27
2012-02-26 - 2012-03-03,28
2012-03-04 - 2012-03-10,29
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,29
2012-03-25 - 2012-03-31,28
2012-04-01 - 2012-04-07,28
2012-04-08 - 2012-04-14,27
2012-04-15 - 2012-04-21,28
2012-04-22 - 2012-04-28,28
2012-04-29 - 2012-05-05,28
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,28
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,27
2012-06-03 - 2012-06-09,27
2012-06-10 - 2012-06-16,28
2012-06-17 - 2012-06-23,27
2012-06-24 - 2012-06-30,27
2012-07-01 - 2012-07-07,24
2012-07-08 - 2012-07-14,27
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,25
2012-07-29 - 2012-08-04,28
2012-08-05 - 2012-08-11,27
2012-08-12 - 2012-08-18,28
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,33
2012-09-02 - 2012-09-08,29
2012-09-09 - 2012-09-15,29
2012-09-16 - 2012-09-22,28
2012-09-23 - 2012-09-29,27
2012-09-30 - 2012-10-06,27
2012-10-07 - 2012-10-13,27
2012-10-14 - 2012-10-20,27
2012-10-21 - 2012-10-27,28
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,27
2012-11-11 - 2012-11-17,28
2012-11-18 - 2012-11-24,26
2012-11-25 - 2012-12-01,26
2012-12-02 - 2012-12-08,28
2012-12-09 - 2012-12-15,26
2012-12-16 - 2012-12-22,24
2012-12-23 - 2012-12-29,22
2012-12-30 - 2013-01-05,23
2013-01-06 - 2013-01-12,25
2013-01-13 - 2013-01-19,27
2013-01-20 - 2013-01-26,25
2013-01-27 - 2013-02-02,26
2013-02-03 - 2013-02-09,26
2013-02-10 - 2013-02-16,25
2013-02-17 - 2013-02-23,24
2013-02-24 - 2013-03-02,25
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,26
2013-03-17 - 2013-03-23,27
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,26
2013-04-21 - 2013-04-27,26
2013-04-28 - 2013-05-04,27
2013-05-05 - 2013-05-11,25
2013-05-12 - 2013-05-18,25
