,Interest,Week
0,2.5258280028,2004-01-04 - 2004-01-10
1,2.5258280028,2004-01-11 - 2004-01-17
2,2.5258280028,2004-01-18 - 2004-01-24
3,2.21673643789,2004-01-25 - 2004-01-31
4,2.62885852444,2004-02-01 - 2004-02-07
5,2.42279748116,2004-02-08 - 2004-02-14
6,2.5258280028,2004-02-15 - 2004-02-21
7,3.55613321916,2004-02-22 - 2004-02-28
8,2.93795008934,2004-02-29 - 2004-03-06
9,2.42279748116,2004-03-07 - 2004-03-13
10,2.21673643789,2004-03-14 - 2004-03-20
11,2.42279748116,2004-03-21 - 2004-03-27
12,2.5258280028,2004-03-28 - 2004-04-03
13,2.31976695953,2004-04-04 - 2004-04-10
14,2.5258280028,2004-04-11 - 2004-04-17
15,2.21673643789,2004-04-18 - 2004-04-24
16,2.5258280028,2004-04-25 - 2004-05-01
17,2.73188904607,2004-05-02 - 2004-05-08
18,2.01067539462,2004-05-09 - 2004-05-15
19,2.11370591626,2004-05-16 - 2004-05-22
20,1.90764487299,2004-05-23 - 2004-05-29
21,2.11370591626,2004-05-30 - 2004-06-05
22,1.49552278644,2004-06-06 - 2004-06-12
23,1.70158382971,2004-06-13 - 2004-06-19
24,1.49552278644,2004-06-20 - 2004-06-26
25,1.18643122154,2004-06-27 - 2004-07-03
26,1.28946174317,2004-07-04 - 2004-07-10
27,1.59855330808,2004-07-11 - 2004-07-17
28,1.39249226481,2004-07-18 - 2004-07-24
29,1.28946174317,2004-07-25 - 2004-07-31
30,1.59855330808,2004-08-01 - 2004-08-07
31,1.80461435135,2004-08-08 - 2004-08-14
32,1.39249226481,2004-08-15 - 2004-08-21
33,1.28946174317,2004-08-22 - 2004-08-28
34,1.18643122154,2004-08-29 - 2004-09-04
35,1.18643122154,2004-09-05 - 2004-09-11
36,1.28946174317,2004-09-12 - 2004-09-18
37,1.59855330808,2004-09-19 - 2004-09-25
38,2.01067539462,2004-09-26 - 2004-10-02
39,1.90764487299,2004-10-03 - 2004-10-09
40,2.21673643789,2004-10-10 - 2004-10-16
41,1.90764487299,2004-10-17 - 2004-10-23
42,1.80461435135,2004-10-24 - 2004-10-30
43,1.90764487299,2004-10-31 - 2004-11-06
44,1.49552278644,2004-11-07 - 2004-11-13
45,1.90764487299,2004-11-14 - 2004-11-20
46,1.49552278644,2004-11-21 - 2004-11-27
47,1.90764487299,2004-11-28 - 2004-12-04
48,1.59855330808,2004-12-05 - 2004-12-11
49,1.70158382971,2004-12-12 - 2004-12-18
50,0.980370178264,2004-12-19 - 2004-12-25
51,0.671278613357,2004-12-26 - 2005-01-01
52,1.80461435135,2005-01-02 - 2005-01-08
53,2.11370591626,2005-01-09 - 2005-01-15
54,1.70158382971,2005-01-16 - 2005-01-22
55,1.80461435135,2005-01-23 - 2005-01-29
56,1.90764487299,2005-01-30 - 2005-02-05
57,2.01067539462,2005-02-06 - 2005-02-12
58,2.01067539462,2005-02-13 - 2005-02-19
59,1.90764487299,2005-02-20 - 2005-02-26
60,1.80461435135,2005-02-27 - 2005-03-05
61,2.01067539462,2005-03-06 - 2005-03-12
62,1.90764487299,2005-03-13 - 2005-03-19
63,2.5258280028,2005-03-20 - 2005-03-26
64,1.90764487299,2005-03-27 - 2005-04-02
65,1.70158382971,2005-04-03 - 2005-04-09
66,1.90764487299,2005-04-10 - 2005-04-16
67,1.80461435135,2005-04-17 - 2005-04-23
68,2.01067539462,2005-04-24 - 2005-04-30
69,1.90764487299,2005-05-01 - 2005-05-07
70,1.90764487299,2005-05-08 - 2005-05-14
71,1.49552278644,2005-05-15 - 2005-05-21
72,1.28946174317,2005-05-22 - 2005-05-28
73,1.39249226481,2005-05-29 - 2005-06-04
74,1.0834006999,2005-06-05 - 2005-06-11
75,0.980370178264,2005-06-12 - 2005-06-18
76,1.18643122154,2005-06-19 - 2005-06-25
77,1.18643122154,2005-06-26 - 2005-07-02
78,0.877339656628,2005-07-03 - 2005-07-09
79,1.28946174317,2005-07-10 - 2005-07-16
80,1.18643122154,2005-07-17 - 2005-07-23
81,1.18643122154,2005-07-24 - 2005-07-30
82,1.18643122154,2005-07-31 - 2005-08-06
83,1.49552278644,2005-08-07 - 2005-08-13
84,1.18643122154,2005-08-14 - 2005-08-20
85,0.980370178264,2005-08-21 - 2005-08-27
86,0.774309134992,2005-08-28 - 2005-09-03
87,0.671278613357,2005-09-04 - 2005-09-10
88,0.877339656628,2005-09-11 - 2005-09-17
89,1.18643122154,2005-09-18 - 2005-09-24
90,1.80461435135,2005-09-25 - 2005-10-01
91,1.90764487299,2005-10-02 - 2005-10-08
92,2.01067539462,2005-10-09 - 2005-10-15
93,1.90764487299,2005-10-16 - 2005-10-22
94,2.21673643789,2005-10-23 - 2005-10-29
95,2.31976695953,2005-10-30 - 2005-11-05
96,2.01067539462,2005-11-06 - 2005-11-12
97,1.90764487299,2005-11-13 - 2005-11-19
98,1.18643122154,2005-11-20 - 2005-11-26
99,1.70158382971,2005-11-27 - 2005-12-03
100,1.80461435135,2005-12-04 - 2005-12-10
101,1.39249226481,2005-12-11 - 2005-12-17
102,1.90764487299,2005-12-18 - 2005-12-24
103,1.0834006999,2005-12-25 - 2005-12-31
104,1.49552278644,2006-01-01 - 2006-01-07
105,1.80461435135,2006-01-08 - 2006-01-14
106,1.49552278644,2006-01-15 - 2006-01-21
107,1.70158382971,2006-01-22 - 2006-01-28
108,1.59855330808,2006-01-29 - 2006-02-04
109,1.39249226481,2006-02-05 - 2006-02-11
110,1.0834006999,2006-02-12 - 2006-02-18
111,1.18643122154,2006-02-19 - 2006-02-25
112,1.59855330808,2006-02-26 - 2006-03-04
113,1.18643122154,2006-03-05 - 2006-03-11
114,1.18643122154,2006-03-12 - 2006-03-18
115,1.39249226481,2006-03-19 - 2006-03-25
116,1.0834006999,2006-03-26 - 2006-04-01
117,1.28946174317,2006-04-02 - 2006-04-08
118,1.39249226481,2006-04-09 - 2006-04-15
119,1.0834006999,2006-04-16 - 2006-04-22
120,1.39249226481,2006-04-23 - 2006-04-29
121,1.59855330808,2006-04-30 - 2006-05-06
122,1.28946174317,2006-05-07 - 2006-05-13
123,1.18643122154,2006-05-14 - 2006-05-20
124,1.0834006999,2006-05-21 - 2006-05-27
125,0.877339656628,2006-05-28 - 2006-06-03
126,1.0834006999,2006-06-04 - 2006-06-10
127,1.18643122154,2006-06-11 - 2006-06-17
128,0.774309134992,2006-06-18 - 2006-06-24
129,0.774309134992,2006-06-25 - 2006-07-01
130,0.774309134992,2006-07-02 - 2006-07-08
131,0.980370178264,2006-07-09 - 2006-07-15
132,0.259156526814,2006-07-16 - 2006-07-22
133,0.465217570085,2006-07-23 - 2006-07-29
134,0.671278613357,2006-07-30 - 2006-08-05
135,0.671278613357,2006-08-06 - 2006-08-12
136,0.568248091721,2006-08-13 - 2006-08-19
137,0.465217570085,2006-08-20 - 2006-08-26
138,0.156126005178,2006-08-27 - 2006-09-02
139,0.568248091721,2006-09-03 - 2006-09-09
140,0.980370178264,2006-09-10 - 2006-09-16
141,1.49552278644,2006-09-17 - 2006-09-23
142,0.877339656628,2006-09-24 - 2006-09-30
143,0.877339656628,2006-10-01 - 2006-10-07
144,1.28946174317,2006-10-08 - 2006-10-14
145,0.980370178264,2006-10-15 - 2006-10-21
146,0.774309134992,2006-10-22 - 2006-10-28
147,0.980370178264,2006-10-29 - 2006-11-04
148,0.671278613357,2006-11-05 - 2006-11-11
149,0.774309134992,2006-11-12 - 2006-11-18
150,-0.0499350380934,2006-11-19 - 2006-11-25
151,0.465217570085,2006-11-26 - 2006-12-02
152,0.671278613357,2006-12-03 - 2006-12-09
153,0.774309134992,2006-12-10 - 2006-12-16
154,0.259156526814,2006-12-17 - 2006-12-23
155,-0.462057124636,2006-12-24 - 2006-12-30
