,Interest,Week
0,1.45139122525,2004-01-04 - 2004-01-10
1,1.04874162996,2004-01-11 - 2004-01-17
2,0.404502277482,2004-01-18 - 2004-01-24
3,1.61245106337,2004-01-25 - 2004-01-31
4,1.20980146807,2004-02-01 - 2004-02-07
5,2.57881009208,2004-02-08 - 2004-02-14
6,1.53192114431,2004-02-15 - 2004-02-21
7,0.887681791837,2004-02-22 - 2004-02-28
8,3.78675887797,2004-02-29 - 2004-03-06
9,1.12927154901,2004-03-07 - 2004-03-13
10,2.57881009208,2004-03-14 - 2004-03-20
11,3.30357936361,2004-03-21 - 2004-03-27
12,1.85404082055,2004-03-28 - 2004-04-03
13,0.968211710896,2004-04-04 - 2004-04-10
14,5.39735725915,2004-04-11 - 2004-04-17
15,3.14251952549,2004-04-18 - 2004-04-24
16,3.54516912079,2004-04-25 - 2004-05-01
17,2.3372203349,2004-05-02 - 2004-05-08
18,2.17616049678,2004-05-09 - 2004-05-15
19,1.69298098243,2004-05-16 - 2004-05-22
20,2.49828017302,2004-05-23 - 2004-05-29
21,0.323972358423,2004-05-30 - 2004-06-05
22,0.243442439364,2004-06-06 - 2004-06-12
23,0.243442439364,2004-06-13 - 2004-06-19
24,0.243442439364,2004-06-20 - 2004-06-26
25,1.85404082055,2004-06-27 - 2004-07-03
26,1.85404082055,2004-07-04 - 2004-07-10
27,0.565562115601,2004-07-11 - 2004-07-17
28,0.64609203466,2004-07-18 - 2004-07-24
29,0.0823826012461,2004-07-25 - 2004-07-31
30,0.0823826012461,2004-08-01 - 2004-08-07
31,0.00185268218694,2004-08-08 - 2004-08-14
32,-0.642386670286,2004-08-15 - 2004-08-21
33,-0.400796913109,2004-08-22 - 2004-08-28
34,-1.04503626558,2004-08-29 - 2004-09-04
35,0.565562115601,2004-09-05 - 2004-09-11
36,0.887681791837,2004-09-12 - 2004-09-18
37,0.64609203466,2004-09-19 - 2004-09-25
38,3.70622895891,2004-09-26 - 2004-10-02
39,3.14251952549,2004-10-03 - 2004-10-09
40,1.29033138713,2004-10-10 - 2004-10-16
41,2.49828017302,2004-10-17 - 2004-10-23
42,0.726621953719,2004-10-24 - 2004-10-30
43,0.485032196542,2004-10-31 - 2004-11-06
44,0.565562115601,2004-11-07 - 2004-11-13
