,Interest,Week
0,2.89475068876,2004-01-04 - 2004-01-10
1,3.45309132057,2004-01-11 - 2004-01-17
2,4.01143195238,2004-01-18 - 2004-01-24
3,2.33641005695,2004-01-25 - 2004-01-31
4,3.20493992865,2004-02-01 - 2004-02-07
5,1.71603157715,2004-02-08 - 2004-02-14
6,3.45309132057,2004-02-15 - 2004-02-21
7,2.58456144886,2004-02-22 - 2004-02-28
8,2.89475068876,2004-02-29 - 2004-03-06
9,3.76328056047,2004-03-07 - 2004-03-13
10,4.63181043218,2004-03-14 - 2004-03-20
11,1.71603157715,2004-03-21 - 2004-03-27
12,3.57716701653,2004-03-28 - 2004-04-03
13,2.58456144886,2004-04-04 - 2004-04-10
14,4.19754549632,2004-04-11 - 2004-04-17
15,3.14290208068,2004-04-18 - 2004-04-24
16,2.70863714482,2004-04-25 - 2004-05-01
17,1.90214512109,2004-05-02 - 2004-05-08
18,1.90214512109,2004-05-09 - 2004-05-15
19,1.65399372918,2004-05-16 - 2004-05-22
20,2.02622081705,2004-05-23 - 2004-05-29
21,1.84010727311,2004-05-30 - 2004-06-05
22,2.02622081705,2004-06-06 - 2004-06-12
23,2.58456144886,2004-06-13 - 2004-06-19
24,1.65399372918,2004-06-20 - 2004-06-26
25,2.33641005695,2004-06-27 - 2004-07-03
26,1.90214512109,2004-07-04 - 2004-07-10
27,2.95678853674,2004-07-11 - 2004-07-17
28,1.90214512109,2004-07-18 - 2004-07-24
29,1.65399372918,2004-07-25 - 2004-07-31
30,2.02622081705,2004-08-01 - 2004-08-07
31,1.84010727311,2004-08-08 - 2004-08-14
32,1.77806942513,2004-08-15 - 2004-08-21
33,1.65399372918,2004-08-22 - 2004-08-28
34,0.785463857467,2004-08-29 - 2004-09-04
35,1.90214512109,2004-09-05 - 2004-09-11
36,3.45309132057,2004-09-12 - 2004-09-18
37,1.90214512109,2004-09-19 - 2004-09-25
38,2.08825866503,2004-09-26 - 2004-10-02
39,2.95678853674,2004-10-03 - 2004-10-09
40,2.21233436099,2004-10-10 - 2004-10-16
41,1.46788018524,2004-10-17 - 2004-10-23
42,2.64659929684,2004-10-24 - 2004-10-30
43,2.64659929684,2004-10-31 - 2004-11-06
44,2.70863714482,2004-11-07 - 2004-11-13
45,1.65399372918,2004-11-14 - 2004-11-20
46,2.83271284078,2004-11-21 - 2004-11-27
47,2.4604857529,2004-11-28 - 2004-12-04
48,2.52252360088,2004-12-05 - 2004-12-11
49,2.27437220897,2004-12-12 - 2004-12-18
50,1.90214512109,2004-12-19 - 2004-12-25
51,2.95678853674,2004-12-26 - 2005-01-01
52,3.26697777663,2005-01-02 - 2005-01-08
53,1.46788018524,2005-01-09 - 2005-01-15
54,1.77806942513,2005-01-16 - 2005-01-22
55,1.84010727311,2005-01-23 - 2005-01-29
56,2.02622081705,2005-01-30 - 2005-02-05
57,2.08825866503,2005-02-06 - 2005-02-12
58,2.33641005695,2005-02-13 - 2005-02-19
59,1.90214512109,2005-02-20 - 2005-02-26
60,1.09565309736,2005-02-27 - 2005-03-05
61,1.90214512109,2005-03-06 - 2005-03-12
62,2.02622081705,2005-03-13 - 2005-03-19
63,1.15769094534,2005-03-20 - 2005-03-26
64,1.84010727311,2005-03-27 - 2005-04-02
65,1.90214512109,2005-04-03 - 2005-04-09
66,1.71603157715,2005-04-10 - 2005-04-16
67,1.96418296907,2005-04-17 - 2005-04-23
68,2.15029651301,2005-04-24 - 2005-04-30
69,1.77806942513,2005-05-01 - 2005-05-07
70,1.15769094534,2005-05-08 - 2005-05-14
71,1.90214512109,2005-05-15 - 2005-05-21
72,1.21972879332,2005-05-22 - 2005-05-28
73,2.02622081705,2005-05-29 - 2005-06-04
74,1.5919558812,2005-06-05 - 2005-06-11
75,0.53731246555,2005-06-12 - 2005-06-18
76,1.03361524938,2005-06-19 - 2005-06-25
77,1.09565309736,2005-06-26 - 2005-07-02
78,1.46788018524,2005-07-03 - 2005-07-09
79,0.599350313529,2005-07-10 - 2005-07-16
80,0.723426009487,2005-07-17 - 2005-07-23
81,0.661388161508,2005-07-24 - 2005-07-30
82,1.15769094534,2005-07-31 - 2005-08-06
83,0.785463857467,2005-08-07 - 2005-08-13
84,0.53731246555,2005-08-14 - 2005-08-20
85,2.08825866503,2005-08-21 - 2005-08-27
86,0.661388161508,2005-08-28 - 2005-09-03
87,1.21972879332,2005-09-04 - 2005-09-10
88,0.971577401404,2005-09-11 - 2005-09-17
89,1.2817666413,2005-09-18 - 2005-09-24
90,1.71603157715,2005-09-25 - 2005-10-01
91,1.5919558812,2005-10-02 - 2005-10-08
92,1.5919558812,2005-10-09 - 2005-10-15
93,1.34380448928,2005-10-16 - 2005-10-22
94,1.2817666413,2005-10-23 - 2005-10-29
95,1.2817666413,2005-10-30 - 2005-11-05
96,0.909539553425,2005-11-06 - 2005-11-12
97,0.785463857467,2005-11-13 - 2005-11-19
98,1.09565309736,2005-11-20 - 2005-11-26
99,1.15769094534,2005-11-27 - 2005-12-03
100,0.723426009487,2005-12-04 - 2005-12-10
101,0.599350313529,2005-12-11 - 2005-12-17
102,0.971577401404,2005-12-18 - 2005-12-24
103,0.289161073633,2005-12-25 - 2005-12-31
104,1.2817666413,2006-01-01 - 2006-01-07
105,1.2817666413,2006-01-08 - 2006-01-14
106,1.09565309736,2006-01-15 - 2006-01-21
107,0.723426009487,2006-01-22 - 2006-01-28
108,0.847501705446,2006-01-29 - 2006-02-04
109,1.09565309736,2006-02-05 - 2006-02-11
110,0.351198921612,2006-02-12 - 2006-02-18
111,1.52991803322,2006-02-19 - 2006-02-25
112,0.165085377675,2006-02-26 - 2006-03-04
113,0.847501705446,2006-03-05 - 2006-03-11
114,0.661388161508,2006-03-12 - 2006-03-18
115,0.53731246555,2006-03-19 - 2006-03-25
116,0.785463857467,2006-03-26 - 2006-04-01
117,0.909539553425,2006-04-02 - 2006-04-08
118,1.2817666413,2006-04-09 - 2006-04-15
119,0.971577401404,2006-04-16 - 2006-04-22
120,0.909539553425,2006-04-23 - 2006-04-29
121,0.723426009487,2006-04-30 - 2006-05-06
122,0.351198921612,2006-05-07 - 2006-05-13
123,0.661388161508,2006-05-14 - 2006-05-20
124,1.15769094534,2006-05-21 - 2006-05-27
125,0.227123225654,2006-05-28 - 2006-06-03
126,0.661388161508,2006-06-04 - 2006-06-10
127,0.351198921612,2006-06-11 - 2006-06-17
128,0.0410096817163,2006-06-18 - 2006-06-24
129,0.165085377675,2006-06-25 - 2006-07-01
130,0.53731246555,2006-07-02 - 2006-07-08
131,0.227123225654,2006-07-09 - 2006-07-15
132,0.289161073633,2006-07-16 - 2006-07-22
133,0.413236769591,2006-07-23 - 2006-07-29
134,0.599350313529,2006-07-30 - 2006-08-05
135,0.227123225654,2006-08-06 - 2006-08-12
136,0.103047529695,2006-08-13 - 2006-08-19
137,0.165085377675,2006-08-20 - 2006-08-26
138,0.351198921612,2006-08-27 - 2006-09-02
139,0.723426009487,2006-09-03 - 2006-09-09
140,0.599350313529,2006-09-10 - 2006-09-16
141,0.165085377675,2006-09-17 - 2006-09-23
142,0.289161073633,2006-09-24 - 2006-09-30
143,0.53731246555,2006-10-01 - 2006-10-07
144,1.34380448928,2006-10-08 - 2006-10-14
145,0.351198921612,2006-10-15 - 2006-10-21
146,0.53731246555,2006-10-22 - 2006-10-28
147,0.475274617571,2006-10-29 - 2006-11-04
148,0.847501705446,2006-11-05 - 2006-11-11
149,0.53731246555,2006-11-12 - 2006-11-18
150,0.289161073633,2006-11-19 - 2006-11-25
151,0.723426009487,2006-11-26 - 2006-12-02
152,0.413236769591,2006-12-03 - 2006-12-09
153,-0.145103862221,2006-12-10 - 2006-12-16
154,-0.331217406159,2006-12-17 - 2006-12-23
155,-0.331217406159,2006-12-24 - 2006-12-30
156,-0.0210281662629,2006-12-31 - 2007-01-06
157,0.475274617571,2007-01-07 - 2007-01-13
158,0.351198921612,2007-01-14 - 2007-01-20
159,0.413236769591,2007-01-21 - 2007-01-27
160,0.413236769591,2007-01-28 - 2007-02-03
161,0.289161073633,2007-02-04 - 2007-02-10
162,-0.0830660142421,2007-02-11 - 2007-02-17
163,0.53731246555,2007-02-18 - 2007-02-24
164,0.413236769591,2007-02-25 - 2007-03-03
165,0.413236769591,2007-03-04 - 2007-03-10
166,0.165085377675,2007-03-11 - 2007-03-17
167,0.413236769591,2007-03-18 - 2007-03-24
168,0.53731246555,2007-03-25 - 2007-03-31
169,0.165085377675,2007-04-01 - 2007-04-07
170,0.351198921612,2007-04-08 - 2007-04-14
171,0.0410096817163,2007-04-15 - 2007-04-21
172,0.599350313529,2007-04-22 - 2007-04-28
173,0.103047529695,2007-04-29 - 2007-05-05
174,0.599350313529,2007-05-06 - 2007-05-12
175,0.165085377675,2007-05-13 - 2007-05-19
176,0.53731246555,2007-05-20 - 2007-05-26
177,-0.0830660142421,2007-05-27 - 2007-06-02
178,0.0410096817163,2007-06-03 - 2007-06-09
179,0.351198921612,2007-06-10 - 2007-06-16
180,0.0410096817163,2007-06-17 - 2007-06-23
181,0.165085377675,2007-06-24 - 2007-06-30
182,-0.2071417102,2007-07-01 - 2007-07-07
183,-0.0830660142421,2007-07-08 - 2007-07-14
184,-0.0210281662629,2007-07-15 - 2007-07-21
185,-0.145103862221,2007-07-22 - 2007-07-28
186,-0.0830660142421,2007-07-29 - 2007-08-04
187,-0.0210281662629,2007-08-05 - 2007-08-11
188,0.289161073633,2007-08-12 - 2007-08-18
189,0.227123225654,2007-08-19 - 2007-08-25
190,-0.0210281662629,2007-08-26 - 2007-09-01
191,-0.145103862221,2007-09-02 - 2007-09-08
192,0.165085377675,2007-09-09 - 2007-09-15
193,-0.145103862221,2007-09-16 - 2007-09-22
194,0.413236769591,2007-09-23 - 2007-09-29
195,-0.26917955818,2007-09-30 - 2007-10-06
196,0.165085377675,2007-10-07 - 2007-10-13
197,0.165085377675,2007-10-14 - 2007-10-20
198,0.103047529695,2007-10-21 - 2007-10-27
199,0.165085377675,2007-10-28 - 2007-11-03
200,0.165085377675,2007-11-04 - 2007-11-10
201,0.289161073633,2007-11-11 - 2007-11-17
202,0.0410096817163,2007-11-18 - 2007-11-24
203,0.351198921612,2007-11-25 - 2007-12-01
204,0.413236769591,2007-12-02 - 2007-12-08
205,-0.0830660142421,2007-12-09 - 2007-12-15
206,-0.393255254138,2007-12-16 - 2007-12-22
207,-0.2071417102,2007-12-23 - 2007-12-29
208,0.103047529695,2007-12-30 - 2008-01-05
209,0.0410096817163,2008-01-06 - 2008-01-12
210,-0.0210281662629,2008-01-13 - 2008-01-19
211,-0.0210281662629,2008-01-20 - 2008-01-26
212,0.0410096817163,2008-01-27 - 2008-02-02
213,0.351198921612,2008-02-03 - 2008-02-09
214,0.165085377675,2008-02-10 - 2008-02-16
215,0.351198921612,2008-02-17 - 2008-02-23
216,-0.0830660142421,2008-02-24 - 2008-03-01
217,0.103047529695,2008-03-02 - 2008-03-08
218,0.0410096817163,2008-03-09 - 2008-03-15
219,-0.0210281662629,2008-03-16 - 2008-03-22
220,-0.0210281662629,2008-03-23 - 2008-03-29
221,-0.2071417102,2008-03-30 - 2008-04-05
222,-0.0210281662629,2008-04-06 - 2008-04-12
223,0.0410096817163,2008-04-13 - 2008-04-19
224,-0.2071417102,2008-04-20 - 2008-04-26
225,0.103047529695,2008-04-27 - 2008-05-03
226,-0.145103862221,2008-05-04 - 2008-05-10
227,-0.145103862221,2008-05-11 - 2008-05-17
228,-0.26917955818,2008-05-18 - 2008-05-24
229,-0.393255254138,2008-05-25 - 2008-05-31
230,-0.145103862221,2008-06-01 - 2008-06-07
231,-0.0830660142421,2008-06-08 - 2008-06-14
232,-0.2071417102,2008-06-15 - 2008-06-21
233,-0.393255254138,2008-06-22 - 2008-06-28
234,-0.145103862221,2008-06-29 - 2008-07-05
235,-0.145103862221,2008-07-06 - 2008-07-12
236,-0.331217406159,2008-07-13 - 2008-07-19
237,-0.26917955818,2008-07-20 - 2008-07-26
238,-0.331217406159,2008-07-27 - 2008-08-02
239,-0.393255254138,2008-08-03 - 2008-08-09
240,-0.2071417102,2008-08-10 - 2008-08-16
241,-0.145103862221,2008-08-17 - 2008-08-23
242,-0.26917955818,2008-08-24 - 2008-08-30
243,-0.145103862221,2008-08-31 - 2008-09-06
244,0.227123225654,2008-09-07 - 2008-09-13
245,-0.145103862221,2008-09-14 - 2008-09-20
246,-0.2071417102,2008-09-21 - 2008-09-27
247,-0.331217406159,2008-09-28 - 2008-10-04
248,-0.26917955818,2008-10-05 - 2008-10-11
249,-0.0210281662629,2008-10-12 - 2008-10-18
250,-0.0210281662629,2008-10-19 - 2008-10-25
251,0.0410096817163,2008-10-26 - 2008-11-01
252,-0.0210281662629,2008-11-02 - 2008-11-08
253,-0.145103862221,2008-11-09 - 2008-11-15
254,0.227123225654,2008-11-16 - 2008-11-22
255,-0.331217406159,2008-11-23 - 2008-11-29
256,-0.26917955818,2008-11-30 - 2008-12-06
257,-0.331217406159,2008-12-07 - 2008-12-13
258,-0.393255254138,2008-12-14 - 2008-12-20
259,-0.2071417102,2008-12-21 - 2008-12-27
260,-0.641406646055,2008-12-28 - 2009-01-03
261,-0.2071417102,2009-01-04 - 2009-01-10
262,-0.2071417102,2009-01-11 - 2009-01-17
263,-0.0830660142421,2009-01-18 - 2009-01-24
264,-0.0830660142421,2009-01-25 - 2009-01-31
265,-0.0210281662629,2009-02-01 - 2009-02-07
266,0.165085377675,2009-02-08 - 2009-02-14
267,-0.331217406159,2009-02-15 - 2009-02-21
268,0.103047529695,2009-02-22 - 2009-02-28
269,-0.0210281662629,2009-03-01 - 2009-03-07
270,-0.2071417102,2009-03-08 - 2009-03-14
271,-0.0210281662629,2009-03-15 - 2009-03-21
272,-0.145103862221,2009-03-22 - 2009-03-28
273,-0.0830660142421,2009-03-29 - 2009-04-04
274,-0.331217406159,2009-04-05 - 2009-04-11
275,-0.0210281662629,2009-04-12 - 2009-04-18
276,-0.145103862221,2009-04-19 - 2009-04-25
277,-0.2071417102,2009-04-26 - 2009-05-02
278,-0.331217406159,2009-05-03 - 2009-05-09
279,-0.331217406159,2009-05-10 - 2009-05-16
280,-0.26917955818,2009-05-17 - 2009-05-23
281,-0.455293102117,2009-05-24 - 2009-05-30
282,-0.331217406159,2009-05-31 - 2009-06-06
283,-0.393255254138,2009-06-07 - 2009-06-13
284,-0.331217406159,2009-06-14 - 2009-06-20
285,-0.2071417102,2009-06-21 - 2009-06-27
286,-0.331217406159,2009-06-28 - 2009-07-04
287,-0.393255254138,2009-07-05 - 2009-07-11
288,-0.393255254138,2009-07-12 - 2009-07-18
289,-0.641406646055,2009-07-19 - 2009-07-25
290,-0.455293102117,2009-07-26 - 2009-08-01
291,-0.393255254138,2009-08-02 - 2009-08-08
292,-0.455293102117,2009-08-09 - 2009-08-15
293,-0.641406646055,2009-08-16 - 2009-08-22
294,-0.393255254138,2009-08-23 - 2009-08-29
295,-0.331217406159,2009-08-30 - 2009-09-05
296,-0.331217406159,2009-09-06 - 2009-09-12
297,-0.331217406159,2009-09-13 - 2009-09-19
298,-0.331217406159,2009-09-20 - 2009-09-26
299,-0.517330950096,2009-09-27 - 2009-10-03
300,-0.393255254138,2009-10-04 - 2009-10-10
301,-0.0210281662629,2009-10-11 - 2009-10-17
302,0.0410096817163,2009-10-18 - 2009-10-24
303,-0.331217406159,2009-10-25 - 2009-10-31
304,-0.393255254138,2009-11-01 - 2009-11-07
305,-0.26917955818,2009-11-08 - 2009-11-14
306,-0.145103862221,2009-11-15 - 2009-11-21
307,-0.393255254138,2009-11-22 - 2009-11-28
308,-0.145103862221,2009-11-29 - 2009-12-05
309,-0.393255254138,2009-12-06 - 2009-12-12
310,-0.455293102117,2009-12-13 - 2009-12-19
311,-0.641406646055,2009-12-20 - 2009-12-26
312,-0.455293102117,2009-12-27 - 2010-01-02
313,-0.517330950096,2010-01-03 - 2010-01-09
314,-0.26917955818,2010-01-10 - 2010-01-16
315,-0.26917955818,2010-01-17 - 2010-01-23
316,-0.393255254138,2010-01-24 - 2010-01-30
317,-0.26917955818,2010-01-31 - 2010-02-06
318,-0.455293102117,2010-02-07 - 2010-02-13
319,-0.331217406159,2010-02-14 - 2010-02-20
320,-0.455293102117,2010-02-21 - 2010-02-27
321,-0.331217406159,2010-02-28 - 2010-03-06
322,-0.331217406159,2010-03-07 - 2010-03-13
323,-0.2071417102,2010-03-14 - 2010-03-20
324,-0.26917955818,2010-03-21 - 2010-03-27
325,-0.331217406159,2010-03-28 - 2010-04-03
326,-0.517330950096,2010-04-04 - 2010-04-10
327,-0.393255254138,2010-04-11 - 2010-04-17
328,-0.2071417102,2010-04-18 - 2010-04-24
329,-0.455293102117,2010-04-25 - 2010-05-01
330,-0.331217406159,2010-05-02 - 2010-05-08
331,-0.455293102117,2010-05-09 - 2010-05-15
332,-0.331217406159,2010-05-16 - 2010-05-22
333,-0.455293102117,2010-05-23 - 2010-05-29
334,-0.393255254138,2010-05-30 - 2010-06-05
335,-0.393255254138,2010-06-06 - 2010-06-12
336,-0.517330950096,2010-06-13 - 2010-06-19
337,-0.517330950096,2010-06-20 - 2010-06-26
338,-0.517330950096,2010-06-27 - 2010-07-03
339,-0.641406646055,2010-07-04 - 2010-07-10
340,-0.455293102117,2010-07-11 - 2010-07-17
341,-0.517330950096,2010-07-18 - 2010-07-24
342,-0.579368798076,2010-07-25 - 2010-07-31
343,-0.455293102117,2010-08-01 - 2010-08-07
344,-0.455293102117,2010-08-08 - 2010-08-14
345,-0.579368798076,2010-08-15 - 2010-08-21
346,-0.455293102117,2010-08-22 - 2010-08-28
347,-0.455293102117,2010-08-29 - 2010-09-04
348,-0.517330950096,2010-09-05 - 2010-09-11
349,-0.517330950096,2010-09-12 - 2010-09-18
350,-0.455293102117,2010-09-19 - 2010-09-25
351,-0.393255254138,2010-09-26 - 2010-10-02
352,-0.517330950096,2010-10-03 - 2010-10-09
353,-0.393255254138,2010-10-10 - 2010-10-16
354,-0.26917955818,2010-10-17 - 2010-10-23
355,-0.26917955818,2010-10-24 - 2010-10-30
356,-0.331217406159,2010-10-31 - 2010-11-06
357,-0.331217406159,2010-11-07 - 2010-11-13
358,-0.393255254138,2010-11-14 - 2010-11-20
359,-0.641406646055,2010-11-21 - 2010-11-27
360,-0.517330950096,2010-11-28 - 2010-12-04
361,-0.331217406159,2010-12-05 - 2010-12-11
362,-0.455293102117,2010-12-12 - 2010-12-18
363,-0.393255254138,2010-12-19 - 2010-12-25
364,-0.765482342013,2010-12-26 - 2011-01-01
365,-0.579368798076,2011-01-02 - 2011-01-08
366,-0.579368798076,2011-01-09 - 2011-01-15
367,-0.455293102117,2011-01-16 - 2011-01-22
368,-0.455293102117,2011-01-23 - 2011-01-29
369,-0.517330950096,2011-01-30 - 2011-02-05
370,-0.641406646055,2011-02-06 - 2011-02-12
371,-0.579368798076,2011-02-13 - 2011-02-19
372,-0.393255254138,2011-02-20 - 2011-02-26
373,-0.517330950096,2011-02-27 - 2011-03-05
374,-0.703444494034,2011-03-06 - 2011-03-12
375,-0.393255254138,2011-03-13 - 2011-03-19
376,-0.579368798076,2011-03-20 - 2011-03-26
377,-0.517330950096,2011-03-27 - 2011-04-02
378,-0.455293102117,2011-04-03 - 2011-04-09
379,-0.517330950096,2011-04-10 - 2011-04-16
380,-0.455293102117,2011-04-17 - 2011-04-23
381,-0.579368798076,2011-04-24 - 2011-04-30
382,-0.331217406159,2011-05-01 - 2011-05-07
383,-0.579368798076,2011-05-08 - 2011-05-14
384,-0.641406646055,2011-05-15 - 2011-05-21
385,-0.641406646055,2011-05-22 - 2011-05-28
386,-0.703444494034,2011-05-29 - 2011-06-04
387,-0.703444494034,2011-06-05 - 2011-06-11
388,-0.641406646055,2011-06-12 - 2011-06-18
389,-0.579368798076,2011-06-19 - 2011-06-25
390,-0.579368798076,2011-06-26 - 2011-07-02
391,-0.765482342013,2011-07-03 - 2011-07-09
392,-0.703444494034,2011-07-10 - 2011-07-16
393,-0.641406646055,2011-07-17 - 2011-07-23
394,-0.765482342013,2011-07-24 - 2011-07-30
395,-0.703444494034,2011-07-31 - 2011-08-06
396,-0.765482342013,2011-08-07 - 2011-08-13
397,-0.827520189992,2011-08-14 - 2011-08-20
398,-0.703444494034,2011-08-21 - 2011-08-27
399,-0.703444494034,2011-08-28 - 2011-09-03
400,-0.765482342013,2011-09-04 - 2011-09-10
401,-0.703444494034,2011-09-11 - 2011-09-17
402,-0.517330950096,2011-09-18 - 2011-09-24
403,-0.517330950096,2011-09-25 - 2011-10-01
404,-0.517330950096,2011-10-02 - 2011-10-08
405,-0.517330950096,2011-10-09 - 2011-10-15
406,-0.641406646055,2011-10-16 - 2011-10-22
407,-0.641406646055,2011-10-23 - 2011-10-29
408,-0.455293102117,2011-10-30 - 2011-11-05
409,-0.579368798076,2011-11-06 - 2011-11-12
410,-0.517330950096,2011-11-13 - 2011-11-19
411,-0.641406646055,2011-11-20 - 2011-11-26
412,-0.579368798076,2011-11-27 - 2011-12-03
413,-0.703444494034,2011-12-04 - 2011-12-10
414,-0.641406646055,2011-12-11 - 2011-12-17
415,-0.889558037971,2011-12-18 - 2011-12-24
416,-0.827520189992,2011-12-25 - 2011-12-31
417,-0.703444494034,2012-01-01 - 2012-01-07
418,-0.703444494034,2012-01-08 - 2012-01-14
419,-0.827520189992,2012-01-15 - 2012-01-21
420,-0.641406646055,2012-01-22 - 2012-01-28
421,-0.641406646055,2012-01-29 - 2012-02-04
422,-0.517330950096,2012-02-05 - 2012-02-11
423,-0.455293102117,2012-02-12 - 2012-02-18
424,-0.703444494034,2012-02-19 - 2012-02-25
425,-0.579368798076,2012-02-26 - 2012-03-03
426,-0.641406646055,2012-03-04 - 2012-03-10
427,-0.579368798076,2012-03-11 - 2012-03-17
428,-0.579368798076,2012-03-18 - 2012-03-24
429,-0.579368798076,2012-03-25 - 2012-03-31
