,Interest,Week
0,2.135677768,2004-01-04 - 2004-01-10
1,2.47815661319,2004-01-11 - 2004-01-17
2,3.0489546885,2004-01-18 - 2004-01-24
3,2.82063545838,2004-01-25 - 2004-01-31
4,2.82063545838,2004-02-01 - 2004-02-07
5,2.99187488097,2004-02-08 - 2004-02-14
6,2.99187488097,2004-02-15 - 2004-02-21
7,3.10603449603,2004-02-22 - 2004-02-28
8,2.93479507344,2004-02-29 - 2004-03-06
9,2.42107680566,2004-03-07 - 2004-03-13
10,2.42107680566,2004-03-14 - 2004-03-20
11,2.07859796047,2004-03-21 - 2004-03-27
12,2.64939603578,2004-03-28 - 2004-04-03
13,2.59231622825,2004-04-04 - 2004-04-10
14,2.64939603578,2004-04-11 - 2004-04-17
15,2.76355565085,2004-04-18 - 2004-04-24
16,2.47815661319,2004-04-25 - 2004-05-01
17,2.64939603578,2004-05-02 - 2004-05-08
18,2.135677768,2004-05-09 - 2004-05-15
19,2.59231622825,2004-05-16 - 2004-05-22
20,2.07859796047,2004-05-23 - 2004-05-29
21,1.90735853787,2004-05-30 - 2004-06-05
22,1.85027873034,2004-06-06 - 2004-06-12
23,2.30691719059,2004-06-13 - 2004-06-19
24,2.24983738306,2004-06-20 - 2004-06-26
25,2.24983738306,2004-06-27 - 2004-07-03
26,2.24983738306,2004-07-04 - 2004-07-10
27,2.07859796047,2004-07-11 - 2004-07-17
28,2.24983738306,2004-07-18 - 2004-07-24
29,2.42107680566,2004-07-25 - 2004-07-31
30,2.135677768,2004-08-01 - 2004-08-07
31,1.85027873034,2004-08-08 - 2004-08-14
32,2.07859796047,2004-08-15 - 2004-08-21
33,1.9644383454,2004-08-22 - 2004-08-28
34,2.30691719059,2004-08-29 - 2004-09-04
35,2.53523642072,2004-09-05 - 2004-09-11
36,2.64939603578,2004-09-12 - 2004-09-18
37,2.64939603578,2004-09-19 - 2004-09-25
38,2.53523642072,2004-09-26 - 2004-10-02
39,2.99187488097,2004-10-03 - 2004-10-09
40,2.42107680566,2004-10-10 - 2004-10-16
41,2.47815661319,2004-10-17 - 2004-10-23
42,2.30691719059,2004-10-24 - 2004-10-30
43,2.87771526591,2004-10-31 - 2004-11-06
44,1.9644383454,2004-11-07 - 2004-11-13
45,1.9644383454,2004-11-14 - 2004-11-20
46,2.36399699812,2004-11-21 - 2004-11-27
47,2.24983738306,2004-11-28 - 2004-12-04
48,2.24983738306,2004-12-05 - 2004-12-11
49,1.90735853787,2004-12-12 - 2004-12-18
50,0.994081617365,2004-12-19 - 2004-12-25
51,0.366203734517,2004-12-26 - 2005-01-01
52,1.79319892281,2005-01-02 - 2005-01-08
53,2.30691719059,2005-01-09 - 2005-01-15
54,1.9644383454,2005-01-16 - 2005-01-22
55,2.19275757553,2005-01-23 - 2005-01-29
56,2.19275757553,2005-01-30 - 2005-02-05
57,2.07859796047,2005-02-06 - 2005-02-12
58,2.19275757553,2005-02-13 - 2005-02-19
59,2.42107680566,2005-02-20 - 2005-02-26
60,2.07859796047,2005-02-27 - 2005-03-05
61,2.47815661319,2005-03-06 - 2005-03-12
62,2.24983738306,2005-03-13 - 2005-03-19
63,1.62195950021,2005-03-20 - 2005-03-26
64,1.62195950021,2005-03-27 - 2005-04-02
