,Interest,Week
0,2.94764335048,2004-01-04 - 2004-01-10
1,2.64862302055,2004-01-11 - 2004-01-17
2,2.94764335048,2004-01-18 - 2004-01-24
3,2.64862302055,2004-01-25 - 2004-01-31
4,3.18685961442,2004-02-01 - 2004-02-07
5,2.8878392845,2004-02-08 - 2004-02-14
6,2.70842708654,2004-02-15 - 2004-02-21
7,2.94764335048,2004-02-22 - 2004-02-28
8,2.70842708654,2004-02-29 - 2004-03-06
9,2.40940675661,2004-03-07 - 2004-03-13
10,2.64862302055,2004-03-14 - 2004-03-20
11,2.4692108226,2004-03-21 - 2004-03-27
12,2.64862302055,2004-03-28 - 2004-04-03
13,2.64862302055,2004-04-04 - 2004-04-10
14,2.4692108226,2004-04-11 - 2004-04-17
15,2.58881895457,2004-04-18 - 2004-04-24
16,2.52901488858,2004-04-25 - 2004-05-01
17,2.17019049267,2004-05-02 - 2004-05-08
18,2.52901488858,2004-05-09 - 2004-05-15
19,2.52901488858,2004-05-16 - 2004-05-22
20,2.17019049267,2004-05-23 - 2004-05-29
21,1.99077829471,2004-05-30 - 2004-06-05
22,2.0505823607,2004-06-06 - 2004-06-12
23,2.0505823607,2004-06-13 - 2004-06-19
24,1.87117016274,2004-06-20 - 2004-06-26
25,2.0505823607,2004-06-27 - 2004-07-03
26,1.75156203077,2004-07-04 - 2004-07-10
27,2.11038642668,2004-07-11 - 2004-07-17
28,2.11038642668,2004-07-18 - 2004-07-24
29,2.34960269063,2004-07-25 - 2004-07-31
30,1.75156203077,2004-08-01 - 2004-08-07
31,2.28979862464,2004-08-08 - 2004-08-14
32,2.0505823607,2004-08-15 - 2004-08-21
33,2.17019049267,2004-08-22 - 2004-08-28
34,2.11038642668,2004-08-29 - 2004-09-04
35,1.75156203077,2004-09-05 - 2004-09-11
36,1.93097422873,2004-09-12 - 2004-09-18
37,2.22999455865,2004-09-19 - 2004-09-25
38,2.11038642668,2004-09-26 - 2004-10-02
39,2.0505823607,2004-10-03 - 2004-10-09
40,2.17019049267,2004-10-10 - 2004-10-16
41,2.11038642668,2004-10-17 - 2004-10-23
42,2.11038642668,2004-10-24 - 2004-10-30
43,2.11038642668,2004-10-31 - 2004-11-06
44,1.69175796478,2004-11-07 - 2004-11-13
45,2.22999455865,2004-11-14 - 2004-11-20
46,1.69175796478,2004-11-21 - 2004-11-27
47,1.99077829471,2004-11-28 - 2004-12-04
48,2.22999455865,2004-12-05 - 2004-12-11
49,2.0505823607,2004-12-12 - 2004-12-18
50,1.15352137091,2004-12-19 - 2004-12-25
51,0.974109172956,2004-12-26 - 2005-01-01
52,1.57214983281,2005-01-02 - 2005-01-08
53,1.87117016274,2005-01-09 - 2005-01-15
