,Interest,Week
0,2.69073815789,2004-01-04 - 2004-01-10
1,2.85678175308,2004-01-11 - 2004-01-17
2,2.24795523738,2004-01-18 - 2004-01-24
3,2.30330310244,2004-01-25 - 2004-01-31
4,2.63539029283,2004-02-01 - 2004-02-07
5,2.46934669763,2004-02-08 - 2004-02-14
6,2.63539029283,2004-02-15 - 2004-02-21
7,2.69073815789,2004-02-22 - 2004-02-28
8,2.58004242776,2004-02-29 - 2004-03-06
9,2.19260737231,2004-03-07 - 2004-03-13
10,2.5246945627,2004-03-14 - 2004-03-20
11,2.5246945627,2004-03-21 - 2004-03-27
12,2.91212961815,2004-03-28 - 2004-04-03
13,2.58004242776,2004-04-04 - 2004-04-10
14,2.08191164218,2004-04-11 - 2004-04-17
15,2.19260737231,2004-04-18 - 2004-04-24
16,2.08191164218,2004-04-25 - 2004-05-01
17,2.08191164218,2004-05-02 - 2004-05-08
18,1.97121591205,2004-05-09 - 2004-05-15
19,2.30330310244,2004-05-16 - 2004-05-22
20,2.02656377712,2004-05-23 - 2004-05-29
21,1.63912872167,2004-05-30 - 2004-06-05
22,1.91586804699,2004-06-06 - 2004-06-12
23,1.80517231686,2004-06-13 - 2004-06-19
24,1.52843299154,2004-06-20 - 2004-06-26
25,2.02656377712,2004-06-27 - 2004-07-03
26,1.7498244518,2004-07-04 - 2004-07-10
27,2.24795523738,2004-07-11 - 2004-07-17
28,2.3586509675,2004-07-18 - 2004-07-24
29,2.13725950725,2004-07-25 - 2004-07-31
30,2.30330310244,2004-08-01 - 2004-08-07
31,1.97121591205,2004-08-08 - 2004-08-14
32,1.86052018192,2004-08-15 - 2004-08-21
33,1.80517231686,2004-08-22 - 2004-08-28
34,1.91586804699,2004-08-29 - 2004-09-04
35,1.97121591205,2004-09-05 - 2004-09-11
36,2.08191164218,2004-09-12 - 2004-09-18
37,1.80517231686,2004-09-19 - 2004-09-25
38,2.3586509675,2004-09-26 - 2004-10-02
39,1.97121591205,2004-10-03 - 2004-10-09
40,1.63912872167,2004-10-10 - 2004-10-16
41,1.86052018192,2004-10-17 - 2004-10-23
42,1.7498244518,2004-10-24 - 2004-10-30
43,1.86052018192,2004-10-31 - 2004-11-06
44,2.13725950725,2004-11-07 - 2004-11-13
45,2.19260737231,2004-11-14 - 2004-11-20
46,1.7498244518,2004-11-21 - 2004-11-27
47,1.91586804699,2004-11-28 - 2004-12-04
48,1.86052018192,2004-12-05 - 2004-12-11
49,1.5837808566,2004-12-12 - 2004-12-18
50,1.36238939635,2004-12-19 - 2004-12-25
51,0.808910745703,2004-12-26 - 2005-01-01
52,1.86052018192,2005-01-02 - 2005-01-08
53,2.13725950725,2005-01-09 - 2005-01-15
54,1.7498244518,2005-01-16 - 2005-01-22
55,1.7498244518,2005-01-23 - 2005-01-29
56,2.13725950725,2005-01-30 - 2005-02-05
57,2.5246945627,2005-02-06 - 2005-02-12
58,2.08191164218,2005-02-13 - 2005-02-19
59,1.91586804699,2005-02-20 - 2005-02-26
60,2.24795523738,2005-02-27 - 2005-03-05
61,1.86052018192,2005-03-06 - 2005-03-12
62,2.08191164218,2005-03-13 - 2005-03-19
63,1.7498244518,2005-03-20 - 2005-03-26
64,1.47308512647,2005-03-27 - 2005-04-02
65,1.86052018192,2005-04-03 - 2005-04-09
66,1.63912872167,2005-04-10 - 2005-04-16
