,Interest,Week
0,2.72730526643,2004-01-04 - 2004-01-10
1,2.4636920378,2004-01-11 - 2004-01-17
2,2.99091849505,2004-01-18 - 2004-01-24
3,2.26598211633,2004-01-25 - 2004-01-31
4,2.0023688877,2004-02-01 - 2004-02-07
5,2.4636920378,2004-02-08 - 2004-02-14
6,2.85911188074,2004-02-15 - 2004-02-21
7,2.06827219486,2004-02-22 - 2004-02-28
8,2.66140195927,2004-02-29 - 2004-03-06
9,1.0797225875,2004-03-07 - 2004-03-13
10,3.05682180221,2004-03-14 - 2004-03-20
11,2.85911188074,2004-03-21 - 2004-03-27
12,1.5410457376,2004-03-28 - 2004-04-03
13,2.39778873064,2004-04-04 - 2004-04-10
14,2.33188542348,2004-04-11 - 2004-04-17
15,4.04537140956,2004-04-18 - 2004-04-24
16,3.12272510937,2004-04-25 - 2004-05-01
17,2.79320857358,2004-05-02 - 2004-05-08
18,3.58404825947,2004-05-09 - 2004-05-15
19,1.93646558054,2004-05-16 - 2004-05-22
20,1.47514243044,2004-05-23 - 2004-05-29
21,2.39778873064,2004-05-30 - 2004-06-05
22,2.99091849505,2004-06-06 - 2004-06-12
23,1.93646558054,2004-06-13 - 2004-06-19
24,1.80465896623,2004-06-20 - 2004-06-26
25,2.20007880917,2004-06-27 - 2004-07-03
26,1.40923912329,2004-07-04 - 2004-07-10
27,1.93646558054,2004-07-11 - 2004-07-17
28,2.39778873064,2004-07-18 - 2004-07-24
29,2.52959534495,2004-07-25 - 2004-07-31
30,2.66140195927,2004-08-01 - 2004-08-07
31,1.47514243044,2004-08-08 - 2004-08-14
32,2.20007880917,2004-08-15 - 2004-08-21
33,2.0023688877,2004-08-22 - 2004-08-28
34,2.0023688877,2004-08-29 - 2004-09-04
35,2.26598211633,2004-09-05 - 2004-09-11
36,2.72730526643,2004-09-12 - 2004-09-18
37,1.73875565907,2004-09-19 - 2004-09-25
38,2.4636920378,2004-09-26 - 2004-10-02
39,2.52959534495,2004-10-03 - 2004-10-09
40,2.0023688877,2004-10-10 - 2004-10-16
41,2.20007880917,2004-10-17 - 2004-10-23
42,2.59549865211,2004-10-24 - 2004-10-30
43,2.72730526643,2004-10-31 - 2004-11-06
44,1.93646558054,2004-11-07 - 2004-11-13
45,2.39778873064,2004-11-14 - 2004-11-20
46,2.4636920378,2004-11-21 - 2004-11-27
47,2.9250151879,2004-11-28 - 2004-12-04
48,2.20007880917,2004-12-05 - 2004-12-11
49,1.47514243044,2004-12-12 - 2004-12-18
50,0.552496130245,2004-12-19 - 2004-12-25
51,0.288882901618,2004-12-26 - 2005-01-01
52,1.14562589466,2005-01-02 - 2005-01-08
53,1.5410457376,2005-01-09 - 2005-01-15
54,1.0797225875,2005-01-16 - 2005-01-22
55,1.5410457376,2005-01-23 - 2005-01-29
56,2.26598211633,2005-01-30 - 2005-02-05
57,2.52959534495,2005-02-06 - 2005-02-12
58,2.99091849505,2005-02-13 - 2005-02-19
59,1.67285235191,2005-02-20 - 2005-02-26
60,1.34333581613,2005-02-27 - 2005-03-05
61,1.27743250897,2005-03-06 - 2005-03-12
62,1.40923912329,2005-03-13 - 2005-03-19
63,2.26598211633,2005-03-20 - 2005-03-26
64,2.06827219486,2005-03-27 - 2005-04-02
65,2.33188542348,2005-04-03 - 2005-04-09
66,2.4636920378,2005-04-10 - 2005-04-16
67,2.9250151879,2005-04-17 - 2005-04-23
68,2.39778873064,2005-04-24 - 2005-04-30
69,2.33188542348,2005-05-01 - 2005-05-07
70,1.87056227338,2005-05-08 - 2005-05-14
71,1.80465896623,2005-05-15 - 2005-05-21
72,1.87056227338,2005-05-22 - 2005-05-28
73,1.47514243044,2005-05-29 - 2005-06-04
74,1.80465896623,2005-06-05 - 2005-06-11
75,1.47514243044,2005-06-12 - 2005-06-18
76,1.0797225875,2005-06-19 - 2005-06-25
77,1.40923912329,2005-06-26 - 2005-07-02
78,1.0797225875,2005-07-03 - 2005-07-09
79,0.88201266603,2005-07-10 - 2005-07-16
80,1.01381928034,2005-07-17 - 2005-07-23
81,1.27743250897,2005-07-24 - 2005-07-30
82,0.750206051716,2005-07-31 - 2005-08-06
83,1.0797225875,2005-08-07 - 2005-08-13
84,0.947915973187,2005-08-14 - 2005-08-20
85,0.750206051716,2005-08-21 - 2005-08-27
86,0.947915973187,2005-08-28 - 2005-09-03
87,0.750206051716,2005-09-04 - 2005-09-10
88,1.14562589466,2005-09-11 - 2005-09-17
