,Interest,Week
0,3.5338847577,2004-01-04 - 2004-01-10
1,2.7176368752,2004-01-11 - 2004-01-17
2,2.7176368752,2004-01-18 - 2004-01-24
3,2.7176368752,2004-01-25 - 2004-01-31
4,2.7176368752,2004-02-01 - 2004-02-07
5,2.54272661467,2004-02-08 - 2004-02-14
6,2.48442319449,2004-02-15 - 2004-02-21
7,2.48442319449,2004-02-22 - 2004-02-28
8,4.81656000162,2004-02-29 - 2004-03-06
9,2.36781635414,2004-03-07 - 2004-03-13
10,2.36781635414,2004-03-14 - 2004-03-20
11,2.48442319449,2004-03-21 - 2004-03-27
12,2.54272661467,2004-03-28 - 2004-04-03
13,2.65933345503,2004-04-04 - 2004-04-10
14,2.25120951378,2004-04-11 - 2004-04-17
15,2.25120951378,2004-04-18 - 2004-04-24
16,2.1929060936,2004-04-25 - 2004-05-01
17,2.13460267342,2004-05-02 - 2004-05-08
18,2.13460267342,2004-05-09 - 2004-05-15
19,2.13460267342,2004-05-16 - 2004-05-22
20,2.13460267342,2004-05-23 - 2004-05-29
21,2.25120951378,2004-05-30 - 2004-06-05
22,2.1929060936,2004-06-06 - 2004-06-12
23,2.1929060936,2004-06-13 - 2004-06-19
24,2.1929060936,2004-06-20 - 2004-06-26
25,2.42611977431,2004-06-27 - 2004-07-03
26,2.60103003485,2004-07-04 - 2004-07-10
27,2.83424371556,2004-07-11 - 2004-07-17
28,2.30951293396,2004-07-18 - 2004-07-24
29,2.30951293396,2004-07-25 - 2004-07-31
30,2.30951293396,2004-08-01 - 2004-08-07
31,2.1929060936,2004-08-08 - 2004-08-14
32,2.1929060936,2004-08-15 - 2004-08-21
33,1.78478215235,2004-08-22 - 2004-08-28
34,1.78478215235,2004-08-29 - 2004-09-04
35,1.78478215235,2004-09-05 - 2004-09-11
36,1.78478215235,2004-09-12 - 2004-09-18
37,1.78478215235,2004-09-19 - 2004-09-25
38,1.72647873218,2004-09-26 - 2004-10-02
39,1.72647873218,2004-10-03 - 2004-10-09
40,2.25120951378,2004-10-10 - 2004-10-16
41,2.95085055592,2004-10-17 - 2004-10-23
42,3.65049159805,2004-10-24 - 2004-10-30
43,1.95969241289,2004-10-31 - 2004-11-06
44,1.95969241289,2004-11-07 - 2004-11-13
45,1.95969241289,2004-11-14 - 2004-11-20
46,1.49326505146,2004-11-21 - 2004-11-27
47,1.49326505146,2004-11-28 - 2004-12-04
48,-1.0137820162,2004-12-05 - 2004-12-11
49,-1.0137820162,2004-12-12 - 2004-12-18
50,-1.0137820162,2004-12-19 - 2004-12-25
51,-1.0137820162,2004-12-26 - 2005-01-01
52,-1.0137820162,2005-01-02 - 2005-01-08
53,1.37665821111,2005-01-09 - 2005-01-15
54,1.31835479093,2005-01-16 - 2005-01-22
55,1.31835479093,2005-01-23 - 2005-01-29
56,1.31835479093,2005-01-30 - 2005-02-05
