,Interest,Week
0,-1.0516119906,2004-01-04 - 2004-01-10
1,-1.0516119906,2004-01-11 - 2004-01-17
2,-1.0516119906,2004-01-18 - 2004-01-24
3,-1.0516119906,2004-01-25 - 2004-01-31
4,-1.0516119906,2004-02-01 - 2004-02-07
5,-1.0516119906,2004-02-08 - 2004-02-14
6,-1.0516119906,2004-02-15 - 2004-02-21
7,-1.0516119906,2004-02-22 - 2004-02-28
8,-1.0516119906,2004-02-29 - 2004-03-06
9,-1.0516119906,2004-03-07 - 2004-03-13
10,-1.0516119906,2004-03-14 - 2004-03-20
11,-1.0516119906,2004-03-21 - 2004-03-27
12,-1.0516119906,2004-03-28 - 2004-04-03
13,-1.0516119906,2004-04-04 - 2004-04-10
14,-1.0516119906,2004-04-11 - 2004-04-17
15,-1.0516119906,2004-04-18 - 2004-04-24
16,-1.0516119906,2004-04-25 - 2004-05-01
17,-1.0516119906,2004-05-02 - 2004-05-08
18,-1.0516119906,2004-05-09 - 2004-05-15
19,-1.0516119906,2004-05-16 - 2004-05-22
20,-1.0516119906,2004-05-23 - 2004-05-29
21,-1.0516119906,2004-05-30 - 2004-06-05
22,-1.0516119906,2004-06-06 - 2004-06-12
23,-1.0516119906,2004-06-13 - 2004-06-19
24,-1.0516119906,2004-06-20 - 2004-06-26
25,-1.0516119906,2004-06-27 - 2004-07-03
26,-1.0516119906,2004-07-04 - 2004-07-10
27,-1.0516119906,2004-07-11 - 2004-07-17
28,-1.0516119906,2004-07-18 - 2004-07-24
29,-1.0516119906,2004-07-25 - 2004-07-31
30,-1.0516119906,2004-08-01 - 2004-08-07
31,-1.0516119906,2004-08-08 - 2004-08-14
32,-1.0516119906,2004-08-15 - 2004-08-21
33,-1.0516119906,2004-08-22 - 2004-08-28
34,-1.0516119906,2004-08-29 - 2004-09-04
35,-1.0516119906,2004-09-05 - 2004-09-11
36,-1.0516119906,2004-09-12 - 2004-09-18
37,-1.0516119906,2004-09-19 - 2004-09-25
38,-1.0516119906,2004-09-26 - 2004-10-02
39,-1.0516119906,2004-10-03 - 2004-10-09
40,-1.0516119906,2004-10-10 - 2004-10-16
41,-1.0516119906,2004-10-17 - 2004-10-23
42,-1.0516119906,2004-10-24 - 2004-10-30
43,-1.0516119906,2004-10-31 - 2004-11-06
44,-1.0516119906,2004-11-07 - 2004-11-13
45,-1.0516119906,2004-11-14 - 2004-11-20
46,-1.0516119906,2004-11-21 - 2004-11-27
47,-1.0516119906,2004-11-28 - 2004-12-04
