,Interest,Week
0,1.08570352931,2004-01-04 - 2004-01-10
1,1.40120436178,2004-01-11 - 2004-01-17
2,1.29603741762,2004-01-18 - 2004-01-24
3,1.40120436178,2004-01-25 - 2004-01-31
4,1.61153825009,2004-02-01 - 2004-02-07
5,1.50637130593,2004-02-08 - 2004-02-14
6,1.19087047346,2004-02-15 - 2004-02-21
7,1.92703908255,2004-02-22 - 2004-02-28
8,1.92703908255,2004-02-29 - 2004-03-06
9,1.19087047346,2004-03-07 - 2004-03-13
10,2.24253991502,2004-03-14 - 2004-03-20
11,1.92703908255,2004-03-21 - 2004-03-27
12,2.24253991502,2004-03-28 - 2004-04-03
13,1.40120436178,2004-04-04 - 2004-04-10
14,2.45287380333,2004-04-11 - 2004-04-17
15,2.7683746358,2004-04-18 - 2004-04-24
16,2.45287380333,2004-04-25 - 2004-05-01
17,2.45287380333,2004-05-02 - 2004-05-08
18,3.29420935657,2004-05-09 - 2004-05-15
19,2.55804074748,2004-05-16 - 2004-05-22
20,1.92703908255,2004-05-23 - 2004-05-29
21,2.13737297086,2004-05-30 - 2004-06-05
22,1.71670519424,2004-06-06 - 2004-06-12
23,1.29603741762,2004-06-13 - 2004-06-19
24,0.665035752688,2004-06-20 - 2004-06-26
25,0.454701864377,2004-06-27 - 2004-07-03
26,-0.28146674471,2004-07-04 - 2004-07-10
27,0.349534920222,2004-07-11 - 2004-07-17
28,0.349534920222,2004-07-18 - 2004-07-24
29,0.244367976067,2004-07-25 - 2004-07-31
30,-0.0711328563996,2004-08-01 - 2004-08-07
31,0.0340340877558,2004-08-08 - 2004-08-14
32,0.0340340877558,2004-08-15 - 2004-08-21
33,0.349534920222,2004-08-22 - 2004-08-28
34,0.454701864377,2004-08-29 - 2004-09-04
35,1.19087047346,2004-09-05 - 2004-09-11
36,1.50637130593,2004-09-12 - 2004-09-18
37,3.71487713319,2004-09-19 - 2004-09-25
38,2.66320769164,2004-09-26 - 2004-10-02
39,2.7683746358,2004-10-03 - 2004-10-09
40,2.7683746358,2004-10-10 - 2004-10-16
41,3.08387546826,2004-10-17 - 2004-10-23
42,2.97870852411,2004-10-24 - 2004-10-30
43,1.92703908255,2004-10-31 - 2004-11-06
44,2.03220602671,2004-11-07 - 2004-11-13
45,2.45287380333,2004-11-14 - 2004-11-20
46,1.8218721384,2004-11-21 - 2004-11-27
47,2.13737297086,2004-11-28 - 2004-12-04
48,1.71670519424,2004-12-05 - 2004-12-11
49,0.559868808533,2004-12-12 - 2004-12-18
50,-1.0176353538,2004-12-19 - 2004-12-25
51,0.665035752688,2004-12-26 - 2005-01-01
