,Interest,Week
0,3.5,2004-01-04 - 2004-01-10
1,3.8,2004-01-11 - 2004-01-17
2,2.52173913043,2004-01-18 - 2004-01-24
3,3.125,2004-01-25 - 2004-01-31
4,1.69565217391,2004-02-01 - 2004-02-07
5,3.21739130435,2004-02-08 - 2004-02-14
6,2.5,2004-02-15 - 2004-02-21
7,3.5,2004-02-22 - 2004-02-28
8,2.06896551724,2004-02-29 - 2004-03-06
9,3.30769230769,2004-03-07 - 2004-03-13
10,3.72727272727,2004-03-14 - 2004-03-20
11,2.57692307692,2004-03-21 - 2004-03-27
12,2.7619047619,2004-03-28 - 2004-04-03
13,1.68181818182,2004-04-04 - 2004-04-10
14,2.17857142857,2004-04-11 - 2004-04-17
15,3.5,2004-04-18 - 2004-04-24
16,1.4347826087,2004-04-25 - 2004-05-01
17,2.27272727273,2004-05-02 - 2004-05-08
18,4.61904761905,2004-05-09 - 2004-05-15
19,1.5,2004-05-16 - 2004-05-22
20,2.33333333333,2004-05-23 - 2004-05-29
21,1.61904761905,2004-05-30 - 2004-06-05
22,1.5,2004-06-06 - 2004-06-12
23,2.0,2004-06-13 - 2004-06-19
24,3.3,2004-06-20 - 2004-06-26
25,3.52631578947,2004-06-27 - 2004-07-03
26,1.7,2004-07-04 - 2004-07-10
27,4.34782608696,2004-07-11 - 2004-07-17
28,3.2380952381,2004-07-18 - 2004-07-24
29,3.2380952381,2004-07-25 - 2004-07-31
30,1.61904761905,2004-08-01 - 2004-08-07
31,1.61904761905,2004-08-08 - 2004-08-14
32,3.14285714286,2004-08-15 - 2004-08-21
33,2.2380952381,2004-08-22 - 2004-08-28
34,4.38095238095,2004-08-29 - 2004-09-04
35,2.19047619048,2004-09-05 - 2004-09-11
36,2.18181818182,2004-09-12 - 2004-09-18
37,1.45,2004-09-19 - 2004-09-25
38,3.3,2004-09-26 - 2004-10-02
39,2.71428571429,2004-10-03 - 2004-10-09
40,2.59090909091,2004-10-10 - 2004-10-16
41,3.42105263158,2004-10-17 - 2004-10-23
42,3.25,2004-10-24 - 2004-10-30
43,2.1,2004-10-31 - 2004-11-06
44,4.7619047619,2004-11-07 - 2004-11-13
45,2.42857142857,2004-11-14 - 2004-11-20
46,1.75,2004-11-21 - 2004-11-27
47,1.94444444444,2004-11-28 - 2004-12-04
48,1.84210526316,2004-12-05 - 2004-12-11
49,3.47368421053,2004-12-12 - 2004-12-18
50,1.72222222222,2004-12-19 - 2004-12-25
51,2.17647058824,2004-12-26 - 2005-01-01
52,4.0625,2005-01-02 - 2005-01-08
53,2.88235294118,2005-01-09 - 2005-01-15
54,1.94117647059,2005-01-16 - 2005-01-22
55,1.41176470588,2005-01-23 - 2005-01-29
56,3.05555555556,2005-01-30 - 2005-02-05
57,2.11764705882,2005-02-06 - 2005-02-12
58,4.11764705882,2005-02-13 - 2005-02-19
59,1.83333333333,2005-02-20 - 2005-02-26
60,4.11764705882,2005-02-27 - 2005-03-05
61,2.64705882353,2005-03-06 - 2005-03-12
62,1.83333333333,2005-03-13 - 2005-03-19
63,3.11111111111,2005-03-20 - 2005-03-26
64,2.77777777778,2005-03-27 - 2005-04-02
65,4.95,2005-04-03 - 2005-04-09
66,4.29411764706,2005-04-10 - 2005-04-16
67,2.93333333333,2005-04-17 - 2005-04-23
68,2.75,2005-04-24 - 2005-04-30
69,2.125,2005-05-01 - 2005-05-07
70,1.23529411765,2005-05-08 - 2005-05-14
71,2.0,2005-05-15 - 2005-05-21
72,2.58823529412,2005-05-22 - 2005-05-28
73,2.2,2005-05-29 - 2005-06-04
74,1.23529411765,2005-06-05 - 2005-06-11
75,2.25,2005-06-12 - 2005-06-18
76,3.25,2005-06-19 - 2005-06-25
77,1.375,2005-06-26 - 2005-07-02
78,4.46666666667,2005-07-03 - 2005-07-09
79,2.75,2005-07-10 - 2005-07-16
80,3.375,2005-07-17 - 2005-07-23
81,1.46666666667,2005-07-24 - 2005-07-30
82,2.0625,2005-07-31 - 2005-08-06
83,1.23529411765,2005-08-07 - 2005-08-13
84,1.88235294118,2005-08-14 - 2005-08-20
85,2.0,2005-08-21 - 2005-08-27
86,2.66666666667,2005-08-28 - 2005-09-03
87,1.875,2005-09-04 - 2005-09-10
88,2.75,2005-09-11 - 2005-09-17
89,2.76470588235,2005-09-18 - 2005-09-24
90,2.17647058824,2005-09-25 - 2005-10-01
91,2.17647058824,2005-10-02 - 2005-10-08
