,Interest,Week
0,1.0,2004-01-04 - 2004-01-10
1,1.35,2004-01-11 - 2004-01-17
2,0.478260869565,2004-01-18 - 2004-01-24
3,1.79166666667,2004-01-25 - 2004-01-31
4,0.869565217391,2004-02-01 - 2004-02-07
5,0.695652173913,2004-02-08 - 2004-02-14
6,1.63636363636,2004-02-15 - 2004-02-21
7,1.29166666667,2004-02-22 - 2004-02-28
8,0.896551724138,2004-02-29 - 2004-03-06
9,1.42307692308,2004-03-07 - 2004-03-13
10,1.59090909091,2004-03-14 - 2004-03-20
11,1.30769230769,2004-03-21 - 2004-03-27
12,2.0,2004-03-28 - 2004-04-03
13,1.45454545455,2004-04-04 - 2004-04-10
14,3.57142857143,2004-04-11 - 2004-04-17
15,1.40909090909,2004-04-18 - 2004-04-24
16,0.739130434783,2004-04-25 - 2004-05-01
17,1.0,2004-05-02 - 2004-05-08
18,1.85714285714,2004-05-09 - 2004-05-15
19,1.18181818182,2004-05-16 - 2004-05-22
20,1.09523809524,2004-05-23 - 2004-05-29
21,1.52380952381,2004-05-30 - 2004-06-05
22,1.81818181818,2004-06-06 - 2004-06-12
23,1.81818181818,2004-06-13 - 2004-06-19
24,1.55,2004-06-20 - 2004-06-26
25,1.15789473684,2004-06-27 - 2004-07-03
26,2.05,2004-07-04 - 2004-07-10
27,1.86956521739,2004-07-11 - 2004-07-17
28,2.19047619048,2004-07-18 - 2004-07-24
29,3.14285714286,2004-07-25 - 2004-07-31
30,1.95238095238,2004-08-01 - 2004-08-07
31,2.38095238095,2004-08-08 - 2004-08-14
32,2.33333333333,2004-08-15 - 2004-08-21
33,1.90476190476,2004-08-22 - 2004-08-28
34,2.19047619048,2004-08-29 - 2004-09-04
35,1.85714285714,2004-09-05 - 2004-09-11
36,2.54545454545,2004-09-12 - 2004-09-18
37,2.25,2004-09-19 - 2004-09-25
38,1.55,2004-09-26 - 2004-10-02
39,2.2380952381,2004-10-03 - 2004-10-09
40,1.54545454545,2004-10-10 - 2004-10-16
41,2.10526315789,2004-10-17 - 2004-10-23
42,1.4,2004-10-24 - 2004-10-30
43,1.95,2004-10-31 - 2004-11-06
44,1.42857142857,2004-11-07 - 2004-11-13
45,1.90476190476,2004-11-14 - 2004-11-20
46,1.5,2004-11-21 - 2004-11-27
47,1.44444444444,2004-11-28 - 2004-12-04
48,1.47368421053,2004-12-05 - 2004-12-11
49,1.68421052632,2004-12-12 - 2004-12-18
50,2.38888888889,2004-12-19 - 2004-12-25
51,1.88235294118,2004-12-26 - 2005-01-01
52,2.25,2005-01-02 - 2005-01-08
53,2.47058823529,2005-01-09 - 2005-01-15
54,2.11764705882,2005-01-16 - 2005-01-22
55,2.41176470588,2005-01-23 - 2005-01-29
56,1.88888888889,2005-01-30 - 2005-02-05
57,2.23529411765,2005-02-06 - 2005-02-12
58,3.35294117647,2005-02-13 - 2005-02-19
59,2.33333333333,2005-02-20 - 2005-02-26
60,4.47058823529,2005-02-27 - 2005-03-05
61,2.70588235294,2005-03-06 - 2005-03-12
62,2.77777777778,2005-03-13 - 2005-03-19
63,3.27777777778,2005-03-20 - 2005-03-26
64,2.55555555556,2005-03-27 - 2005-04-02
65,2.25,2005-04-03 - 2005-04-09
66,1.11764705882,2005-04-10 - 2005-04-16
67,2.06666666667,2005-04-17 - 2005-04-23
68,1.875,2005-04-24 - 2005-04-30
69,2.3125,2005-05-01 - 2005-05-07
70,2.64705882353,2005-05-08 - 2005-05-14
71,3.125,2005-05-15 - 2005-05-21
72,2.0,2005-05-22 - 2005-05-28
73,2.4,2005-05-29 - 2005-06-04
74,2.35294117647,2005-06-05 - 2005-06-11
75,1.8125,2005-06-12 - 2005-06-18
76,1.5,2005-06-19 - 2005-06-25
77,2.4375,2005-06-26 - 2005-07-02
78,1.4,2005-07-03 - 2005-07-09
79,1.9375,2005-07-10 - 2005-07-16
80,2.0625,2005-07-17 - 2005-07-23
81,1.73333333333,2005-07-24 - 2005-07-30
82,1.4375,2005-07-31 - 2005-08-06
83,2.0,2005-08-07 - 2005-08-13
84,1.88235294118,2005-08-14 - 2005-08-20
85,2.38888888889,2005-08-21 - 2005-08-27
86,2.26666666667,2005-08-28 - 2005-09-03
87,1.5,2005-09-04 - 2005-09-10
88,1.6875,2005-09-11 - 2005-09-17
89,2.0,2005-09-18 - 2005-09-24
90,1.47058823529,2005-09-25 - 2005-10-01
91,1.17647058824,2005-10-02 - 2005-10-08
92,1.66666666667,2005-10-09 - 2005-10-15
93,1.2,2005-10-16 - 2005-10-22
94,1.26666666667,2005-10-23 - 2005-10-29
95,1.0625,2005-10-30 - 2005-11-05
96,1.5625,2005-11-06 - 2005-11-12
97,1.9375,2005-11-13 - 2005-11-19
98,1.86666666667,2005-11-20 - 2005-11-26
99,2.4,2005-11-27 - 2005-12-03
100,1.85714285714,2005-12-04 - 2005-12-10
101,1.35714285714,2005-12-11 - 2005-12-17
102,2.64285714286,2005-12-18 - 2005-12-24
103,0.733333333333,2005-12-25 - 2005-12-31
104,1.71428571429,2006-01-01 - 2006-01-07
105,3.14285714286,2006-01-08 - 2006-01-14
106,2.53846153846,2006-01-15 - 2006-01-21
107,2.0,2006-01-22 - 2006-01-28
108,2.23076923077,2006-01-29 - 2006-02-04
109,2.38461538462,2006-02-05 - 2006-02-11
110,1.69230769231,2006-02-12 - 2006-02-18
111,1.5,2006-02-19 - 2006-02-25
112,1.64285714286,2006-02-26 - 2006-03-04
113,3.15384615385,2006-03-05 - 2006-03-11
114,2.16666666667,2006-03-12 - 2006-03-18
115,2.07692307692,2006-03-19 - 2006-03-25
116,2.0,2006-03-26 - 2006-04-01
117,2.08333333333,2006-04-02 - 2006-04-08
118,1.25,2006-04-09 - 2006-04-15
119,1.08333333333,2006-04-16 - 2006-04-22
120,2.08333333333,2006-04-23 - 2006-04-29
121,1.69230769231,2006-04-30 - 2006-05-06
122,2.0,2006-05-07 - 2006-05-13
123,1.91666666667,2006-05-14 - 2006-05-20
124,1.23076923077,2006-05-21 - 2006-05-27
125,1.41666666667,2006-05-28 - 2006-06-03
126,1.08333333333,2006-06-04 - 2006-06-10
127,1.41666666667,2006-06-11 - 2006-06-17
128,1.33333333333,2006-06-18 - 2006-06-24
129,2.0,2006-06-25 - 2006-07-01
130,2.0,2006-07-02 - 2006-07-08
131,1.08333333333,2006-07-09 - 2006-07-15
132,2.33333333333,2006-07-16 - 2006-07-22
133,1.72727272727,2006-07-23 - 2006-07-29
134,1.72727272727,2006-07-30 - 2006-08-05
135,0.916666666667,2006-08-06 - 2006-08-12
136,2.18181818182,2006-08-13 - 2006-08-19
137,1.90909090909,2006-08-20 - 2006-08-26
138,1.8,2006-08-27 - 2006-09-02
139,1.63636363636,2006-09-03 - 2006-09-09
140,1.63636363636,2006-09-10 - 2006-09-16
141,2.09090909091,2006-09-17 - 2006-09-23
142,2.45454545455,2006-09-24 - 2006-09-30
143,1.33333333333,2006-10-01 - 2006-10-07
144,1.58333333333,2006-10-08 - 2006-10-14
145,3.0,2006-10-15 - 2006-10-21
146,2.58333333333,2006-10-22 - 2006-10-28
147,2.18181818182,2006-10-29 - 2006-11-04
148,2.27272727273,2006-11-05 - 2006-11-11
149,2.09090909091,2006-11-12 - 2006-11-18
150,2.54545454545,2006-11-19 - 2006-11-25
151,2.9,2006-11-26 - 2006-12-02
152,2.0,2006-12-03 - 2006-12-09
153,1.6,2006-12-10 - 2006-12-16
154,2.9,2006-12-17 - 2006-12-23
155,2.5,2006-12-24 - 2006-12-30
156,2.5,2006-12-31 - 2007-01-06
157,3.66666666667,2007-01-07 - 2007-01-13
158,2.0,2007-01-14 - 2007-01-20
159,2.77777777778,2007-01-21 - 2007-01-27
160,2.7,2007-01-28 - 2007-02-03
161,3.0,2007-02-04 - 2007-02-10
162,2.0,2007-02-11 - 2007-02-17
163,3.0,2007-02-18 - 2007-02-24
164,2.88888888889,2007-02-25 - 2007-03-03
165,1.9,2007-03-04 - 2007-03-10
166,2.2,2007-03-11 - 2007-03-17
167,1.66666666667,2007-03-18 - 2007-03-24
168,2.3,2007-03-25 - 2007-03-31
169,2.33333333333,2007-04-01 - 2007-04-07
170,1.7,2007-04-08 - 2007-04-14
171,1.8,2007-04-15 - 2007-04-21
172,1.8,2007-04-22 - 2007-04-28
173,2.33333333333,2007-04-29 - 2007-05-05
174,2.55555555556,2007-05-06 - 2007-05-12
175,1.9,2007-05-13 - 2007-05-19
176,2.55555555556,2007-05-20 - 2007-05-26
177,1.88888888889,2007-05-27 - 2007-06-02
178,1.4,2007-06-03 - 2007-06-09
179,1.77777777778,2007-06-10 - 2007-06-16
180,1.66666666667,2007-06-17 - 2007-06-23
181,2.5,2007-06-24 - 2007-06-30
182,2.5,2007-07-01 - 2007-07-07
183,2.625,2007-07-08 - 2007-07-14
184,2.375,2007-07-15 - 2007-07-21
185,3.0,2007-07-22 - 2007-07-28
186,2.14285714286,2007-07-29 - 2007-08-04
187,3.42857142857,2007-08-05 - 2007-08-11
188,2.0,2007-08-12 - 2007-08-18
189,2.125,2007-08-19 - 2007-08-25
190,1.625,2007-08-26 - 2007-09-01
191,2.375,2007-09-02 - 2007-09-08
192,1.88888888889,2007-09-09 - 2007-09-15
193,1.44444444444,2007-09-16 - 2007-09-22
194,3.0,2007-09-23 - 2007-09-29
195,2.0,2007-09-30 - 2007-10-06
196,1.66666666667,2007-10-07 - 2007-10-13
197,1.77777777778,2007-10-14 - 2007-10-20
198,2.0,2007-10-21 - 2007-10-27
199,1.88888888889,2007-10-28 - 2007-11-03
200,1.625,2007-11-04 - 2007-11-10
201,1.625,2007-11-11 - 2007-11-17
202,1.5,2007-11-18 - 2007-11-24
203,1.875,2007-11-25 - 2007-12-01
204,1.75,2007-12-02 - 2007-12-08
205,2.375,2007-12-09 - 2007-12-15
206,2.28571428571,2007-12-16 - 2007-12-22
207,2.0,2007-12-23 - 2007-12-29
208,1.71428571429,2007-12-30 - 2008-01-05
209,1.625,2008-01-06 - 2008-01-12
210,1.875,2008-01-13 - 2008-01-19
211,2.0,2008-01-20 - 2008-01-26
212,2.125,2008-01-27 - 2008-02-02
213,2.42857142857,2008-02-03 - 2008-02-09
214,2.25,2008-02-10 - 2008-02-16
215,1.5,2008-02-17 - 2008-02-23
216,1.625,2008-02-24 - 2008-03-01
217,2.5,2008-03-02 - 2008-03-08
218,1.875,2008-03-09 - 2008-03-15
219,2.375,2008-03-16 - 2008-03-22
220,2.25,2008-03-23 - 2008-03-29
221,1.75,2008-03-30 - 2008-04-05
222,2.0,2008-04-06 - 2008-04-12
223,1.42857142857,2008-04-13 - 2008-04-19
224,1.75,2008-04-20 - 2008-04-26
225,3.0,2008-04-27 - 2008-05-03
226,2.0,2008-05-04 - 2008-05-10
227,2.28571428571,2008-05-11 - 2008-05-17
228,2.71428571429,2008-05-18 - 2008-05-24
229,2.0,2008-05-25 - 2008-05-31
230,2.33333333333,2008-06-01 - 2008-06-07
231,2.0,2008-06-08 - 2008-06-14
232,2.0,2008-06-15 - 2008-06-21
233,2.0,2008-06-22 - 2008-06-28
234,1.57142857143,2008-06-29 - 2008-07-05
235,1.5,2008-07-06 - 2008-07-12
236,1.85714285714,2008-07-13 - 2008-07-19
237,1.57142857143,2008-07-20 - 2008-07-26
238,1.42857142857,2008-07-27 - 2008-08-02
239,1.71428571429,2008-08-03 - 2008-08-09
240,1.66666666667,2008-08-10 - 2008-08-16
241,2.16666666667,2008-08-17 - 2008-08-23
242,2.83333333333,2008-08-24 - 2008-08-30
243,2.5,2008-08-31 - 2008-09-06
244,2.0,2008-09-07 - 2008-09-13
245,2.83333333333,2008-09-14 - 2008-09-20
246,2.14285714286,2008-09-21 - 2008-09-27
247,2.125,2008-09-28 - 2008-10-04
248,1.54545454545,2008-10-05 - 2008-10-11
249,1.75,2008-10-12 - 2008-10-18
250,1.57142857143,2008-10-19 - 2008-10-25
251,2.33333333333,2008-10-26 - 2008-11-01
252,1.71428571429,2008-11-02 - 2008-11-08
253,1.85714285714,2008-11-09 - 2008-11-15
254,2.14285714286,2008-11-16 - 2008-11-22
255,2.0,2008-11-23 - 2008-11-29
256,2.16666666667,2008-11-30 - 2008-12-06
257,1.85714285714,2008-12-07 - 2008-12-13
258,1.83333333333,2008-12-14 - 2008-12-20
259,2.16666666667,2008-12-21 - 2008-12-27
260,1.66666666667,2008-12-28 - 2009-01-03
261,2.83333333333,2009-01-04 - 2009-01-10
262,2.33333333333,2009-01-11 - 2009-01-17
263,2.33333333333,2009-01-18 - 2009-01-24
264,2.16666666667,2009-01-25 - 2009-01-31
265,2.5,2009-02-01 - 2009-02-07
266,2.33333333333,2009-02-08 - 2009-02-14
267,1.83333333333,2009-02-15 - 2009-02-21
268,2.0,2009-02-22 - 2009-02-28
269,2.42857142857,2009-03-01 - 2009-03-07
270,2.0,2009-03-08 - 2009-03-14
271,2.0,2009-03-15 - 2009-03-21
272,2.57142857143,2009-03-22 - 2009-03-28
273,1.71428571429,2009-03-29 - 2009-04-04
274,2.66666666667,2009-04-05 - 2009-04-11
275,1.5,2009-04-12 - 2009-04-18
276,2.57142857143,2009-04-19 - 2009-04-25
277,2.5,2009-04-26 - 2009-05-02
278,2.0,2009-05-03 - 2009-05-09
279,2.33333333333,2009-05-10 - 2009-05-16
280,2.16666666667,2009-05-17 - 2009-05-23
281,2.5,2009-05-24 - 2009-05-30
282,2.33333333333,2009-05-31 - 2009-06-06
283,2.16666666667,2009-06-07 - 2009-06-13
284,1.66666666667,2009-06-14 - 2009-06-20
285,2.0,2009-06-21 - 2009-06-27
286,2.5,2009-06-28 - 2009-07-04
287,2.5,2009-07-05 - 2009-07-11
288,2.5,2009-07-12 - 2009-07-18
289,2.4,2009-07-19 - 2009-07-25
290,2.4,2009-07-26 - 2009-08-01
291,1.66666666667,2009-08-02 - 2009-08-08
292,2.6,2009-08-09 - 2009-08-15
293,3.0,2009-08-16 - 2009-08-22
294,2.8,2009-08-23 - 2009-08-29
295,2.66666666667,2009-08-30 - 2009-09-05
296,2.0,2009-09-06 - 2009-09-12
297,2.0,2009-09-13 - 2009-09-19
298,1.83333333333,2009-09-20 - 2009-09-26
299,2.0,2009-09-27 - 2009-10-03
300,1.45454545455,2009-10-04 - 2009-10-10
301,1.71428571429,2009-10-11 - 2009-10-17
302,3.0,2009-10-18 - 2009-10-24
303,1.83333333333,2009-10-25 - 2009-10-31
304,1.66666666667,2009-11-01 - 2009-11-07
305,2.6,2009-11-08 - 2009-11-14
306,2.0,2009-11-15 - 2009-11-21
307,2.4,2009-11-22 - 2009-11-28
308,2.0,2009-11-29 - 2009-12-05
309,2.5,2009-12-06 - 2009-12-12
310,2.2,2009-12-13 - 2009-12-19
311,2.2,2009-12-20 - 2009-12-26
312,2.8,2009-12-27 - 2010-01-02
313,2.2,2010-01-03 - 2010-01-09
314,3.2,2010-01-10 - 2010-01-16
315,2.0,2010-01-17 - 2010-01-23
316,2.0,2010-01-24 - 2010-01-30
317,2.4,2010-01-31 - 2010-02-06
318,2.6,2010-02-07 - 2010-02-13
319,2.4,2010-02-14 - 2010-02-20
320,2.6,2010-02-21 - 2010-02-27
321,2.6,2010-02-28 - 2010-03-06
322,3.0,2010-03-07 - 2010-03-13
323,2.8,2010-03-14 - 2010-03-20
324,1.8,2010-03-21 - 2010-03-27
325,2.8,2010-03-28 - 2010-04-03
326,2.2,2010-04-04 - 2010-04-10
327,2.0,2010-04-11 - 2010-04-17
328,2.0,2010-04-18 - 2010-04-24
329,3.2,2010-04-25 - 2010-05-01
330,2.8,2010-05-02 - 2010-05-08
331,2.0,2010-05-09 - 2010-05-15
332,4.2,2010-05-16 - 2010-05-22
333,2.8,2010-05-23 - 2010-05-29
334,2.2,2010-05-30 - 2010-06-05
335,2.0,2010-06-06 - 2010-06-12
336,1.8,2010-06-13 - 2010-06-19
337,2.0,2010-06-20 - 2010-06-26
338,2.2,2010-06-27 - 2010-07-03
339,2.2,2010-07-04 - 2010-07-10
340,2.4,2010-07-11 - 2010-07-17
341,1.8,2010-07-18 - 2010-07-24
342,2.2,2010-07-25 - 2010-07-31
343,2.6,2010-08-01 - 2010-08-07
344,2.8,2010-08-08 - 2010-08-14
345,3.16666666667,2010-08-15 - 2010-08-21
346,3.2,2010-08-22 - 2010-08-28
347,3.4,2010-08-29 - 2010-09-04
348,2.4,2010-09-05 - 2010-09-11
349,3.4,2010-09-12 - 2010-09-18
350,3.0,2010-09-19 - 2010-09-25
351,3.2,2010-09-26 - 2010-10-02
352,1.625,2010-10-03 - 2010-10-09
353,3.14285714286,2010-10-10 - 2010-10-16
354,2.2,2010-10-17 - 2010-10-23
355,2.0,2010-10-24 - 2010-10-30
356,2.8,2010-10-31 - 2010-11-06
357,3.2,2010-11-07 - 2010-11-13
358,4.0,2010-11-14 - 2010-11-20
359,5.8,2010-11-21 - 2010-11-27
360,8.2,2010-11-28 - 2010-12-04
361,4.6,2010-12-05 - 2010-12-11
362,4.6,2010-12-12 - 2010-12-18
