,Interest,Week
0,1.66666666667,2004-01-04 - 2004-01-10
1,1.70588235294,2004-01-11 - 2004-01-17
2,1.6862745098,2004-01-18 - 2004-01-24
3,1.53846153846,2004-01-25 - 2004-01-31
4,1.52727272727,2004-02-01 - 2004-02-07
5,1.59259259259,2004-02-08 - 2004-02-14
6,1.62962962963,2004-02-15 - 2004-02-21
7,1.49090909091,2004-02-22 - 2004-02-28
8,1.66101694915,2004-02-29 - 2004-03-06
9,1.58620689655,2004-03-07 - 2004-03-13
10,1.66037735849,2004-03-14 - 2004-03-20
11,1.7962962963,2004-03-21 - 2004-03-27
12,1.71698113208,2004-03-28 - 2004-04-03
13,1.64814814815,2004-04-04 - 2004-04-10
14,1.78571428571,2004-04-11 - 2004-04-17
15,1.64814814815,2004-04-18 - 2004-04-24
16,1.46296296296,2004-04-25 - 2004-05-01
17,1.66037735849,2004-05-02 - 2004-05-08
18,1.58823529412,2004-05-09 - 2004-05-15
19,1.75510204082,2004-05-16 - 2004-05-22
20,1.9375,2004-05-23 - 2004-05-29
21,1.70212765957,2004-05-30 - 2004-06-05
22,1.84782608696,2004-06-06 - 2004-06-12
23,2.04347826087,2004-06-13 - 2004-06-19
24,1.95555555556,2004-06-20 - 2004-06-26
25,2.04444444444,2004-06-27 - 2004-07-03
26,2.0,2004-07-04 - 2004-07-10
27,1.97826086957,2004-07-11 - 2004-07-17
28,2.17777777778,2004-07-18 - 2004-07-24
29,2.08888888889,2004-07-25 - 2004-07-31
30,1.90909090909,2004-08-01 - 2004-08-07
31,2.0,2004-08-08 - 2004-08-14
32,1.97727272727,2004-08-15 - 2004-08-21
33,2.18181818182,2004-08-22 - 2004-08-28
34,1.91304347826,2004-08-29 - 2004-09-04
35,1.9347826087,2004-09-05 - 2004-09-11
36,1.9375,2004-09-12 - 2004-09-18
37,1.81632653061,2004-09-19 - 2004-09-25
38,1.73469387755,2004-09-26 - 2004-10-02
39,1.68,2004-10-03 - 2004-10-09
40,1.52941176471,2004-10-10 - 2004-10-16
41,1.81632653061,2004-10-17 - 2004-10-23
42,1.54901960784,2004-10-24 - 2004-10-30
43,1.55102040816,2004-10-31 - 2004-11-06
44,1.89795918367,2004-11-07 - 2004-11-13
45,1.52941176471,2004-11-14 - 2004-11-20
46,1.64444444444,2004-11-21 - 2004-11-27
47,1.61224489796,2004-11-28 - 2004-12-04
48,1.59183673469,2004-12-05 - 2004-12-11
49,1.55555555556,2004-12-12 - 2004-12-18
50,2.0,2004-12-19 - 2004-12-25
51,2.35135135135,2004-12-26 - 2005-01-01
52,2.09302325581,2005-01-02 - 2005-01-08
53,1.77777777778,2005-01-09 - 2005-01-15
54,1.82222222222,2005-01-16 - 2005-01-22
55,1.86666666667,2005-01-23 - 2005-01-29
56,1.84782608696,2005-01-30 - 2005-02-05
57,1.93333333333,2005-02-06 - 2005-02-12
58,1.91304347826,2005-02-13 - 2005-02-19
59,1.59574468085,2005-02-20 - 2005-02-26
60,1.67391304348,2005-02-27 - 2005-03-05
61,1.78260869565,2005-03-06 - 2005-03-12
62,1.82608695652,2005-03-13 - 2005-03-19
63,1.90909090909,2005-03-20 - 2005-03-26
64,1.84090909091,2005-03-27 - 2005-04-02
65,1.6170212766,2005-04-03 - 2005-04-09
66,1.89130434783,2005-04-10 - 2005-04-16
67,1.73913043478,2005-04-17 - 2005-04-23
68,1.95652173913,2005-04-24 - 2005-04-30
69,1.76086956522,2005-05-01 - 2005-05-07
70,1.84090909091,2005-05-08 - 2005-05-14
71,1.88095238095,2005-05-15 - 2005-05-21
72,1.88095238095,2005-05-22 - 2005-05-28
73,2.025,2005-05-29 - 2005-06-04
74,2.075,2005-06-05 - 2005-06-11
75,2.17948717949,2005-06-12 - 2005-06-18
76,2.0,2005-06-19 - 2005-06-25
77,2.13157894737,2005-06-26 - 2005-07-02
78,2.16666666667,2005-07-03 - 2005-07-09
79,2.18421052632,2005-07-10 - 2005-07-16
80,2.16216216216,2005-07-17 - 2005-07-23
81,2.24324324324,2005-07-24 - 2005-07-30
82,2.25,2005-07-31 - 2005-08-06
83,2.2972972973,2005-08-07 - 2005-08-13
84,2.2972972973,2005-08-14 - 2005-08-20
85,2.18421052632,2005-08-21 - 2005-08-27
86,2.21621621622,2005-08-28 - 2005-09-03
87,2.05128205128,2005-09-04 - 2005-09-10
88,2.025,2005-09-11 - 2005-09-17
89,2.0,2005-09-18 - 2005-09-24
90,2.0,2005-09-25 - 2005-10-01
91,1.74418604651,2005-10-02 - 2005-10-08
92,2.04761904762,2005-10-09 - 2005-10-15
93,1.81395348837,2005-10-16 - 2005-10-22
94,1.85714285714,2005-10-23 - 2005-10-29
95,1.7380952381,2005-10-30 - 2005-11-05
96,1.69047619048,2005-11-06 - 2005-11-12
97,1.71428571429,2005-11-13 - 2005-11-19
98,1.86842105263,2005-11-20 - 2005-11-26
99,1.85365853659,2005-11-27 - 2005-12-03
100,1.80487804878,2005-12-04 - 2005-12-10
101,1.92307692308,2005-12-11 - 2005-12-17
102,2.36363636364,2005-12-18 - 2005-12-24
103,2.41379310345,2005-12-25 - 2005-12-31
104,2.08823529412,2006-01-01 - 2006-01-07
105,2.24324324324,2006-01-08 - 2006-01-14
106,2.13513513514,2006-01-15 - 2006-01-21
107,2.21052631579,2006-01-22 - 2006-01-28
108,2.28947368421,2006-01-29 - 2006-02-04
109,2.23684210526,2006-02-05 - 2006-02-11
110,2.24324324324,2006-02-12 - 2006-02-18
111,2.21052631579,2006-02-19 - 2006-02-25
112,2.07692307692,2006-02-26 - 2006-03-04
113,2.18421052632,2006-03-05 - 2006-03-11
114,2.21052631579,2006-03-12 - 2006-03-18
115,2.02631578947,2006-03-19 - 2006-03-25
116,2.18918918919,2006-03-26 - 2006-04-01
117,2.15789473684,2006-04-02 - 2006-04-08
118,2.16216216216,2006-04-09 - 2006-04-15
119,2.16216216216,2006-04-16 - 2006-04-22
120,2.21052631579,2006-04-23 - 2006-04-29
121,2.35135135135,2006-04-30 - 2006-05-06
122,2.38888888889,2006-05-07 - 2006-05-13
123,2.22857142857,2006-05-14 - 2006-05-20
124,2.41176470588,2006-05-21 - 2006-05-27
125,2.32352941176,2006-05-28 - 2006-06-03
126,2.41176470588,2006-06-04 - 2006-06-10
127,2.26470588235,2006-06-11 - 2006-06-17
128,2.3125,2006-06-18 - 2006-06-24
129,2.7,2006-06-25 - 2006-07-01
130,2.72413793103,2006-07-02 - 2006-07-08
131,2.67741935484,2006-07-09 - 2006-07-15
132,2.76666666667,2006-07-16 - 2006-07-22
133,2.8064516129,2006-07-23 - 2006-07-29
134,2.66666666667,2006-07-30 - 2006-08-05
135,2.89655172414,2006-08-06 - 2006-08-12
136,2.76666666667,2006-08-13 - 2006-08-19
137,2.61290322581,2006-08-20 - 2006-08-26
138,2.6,2006-08-27 - 2006-09-02
139,2.67741935484,2006-09-03 - 2006-09-09
140,2.05882352941,2006-09-10 - 2006-09-16
141,2.23529411765,2006-09-17 - 2006-09-23
142,2.32352941176,2006-09-24 - 2006-09-30
143,2.29411764706,2006-10-01 - 2006-10-07
144,2.14285714286,2006-10-08 - 2006-10-14
145,2.35294117647,2006-10-15 - 2006-10-21
146,2.32352941176,2006-10-22 - 2006-10-28
147,2.08571428571,2006-10-29 - 2006-11-04
148,2.38235294118,2006-11-05 - 2006-11-11
149,2.31428571429,2006-11-12 - 2006-11-18
150,2.61290322581,2006-11-19 - 2006-11-25
151,2.20588235294,2006-11-26 - 2006-12-02
152,2.29411764706,2006-12-03 - 2006-12-09
153,2.57575757576,2006-12-10 - 2006-12-16
154,3.07407407407,2006-12-17 - 2006-12-23
155,2.95652173913,2006-12-24 - 2006-12-30
156,3.03703703704,2006-12-31 - 2007-01-06
157,2.51612903226,2007-01-07 - 2007-01-13
158,2.48387096774,2007-01-14 - 2007-01-20
159,2.59375,2007-01-21 - 2007-01-27
160,2.5625,2007-01-28 - 2007-02-03
161,2.41935483871,2007-02-04 - 2007-02-10
162,2.54838709677,2007-02-11 - 2007-02-17
163,2.65625,2007-02-18 - 2007-02-24
164,2.6875,2007-02-25 - 2007-03-03
165,2.6875,2007-03-04 - 2007-03-10
166,2.59375,2007-03-11 - 2007-03-17
167,2.71875,2007-03-18 - 2007-03-24
168,2.625,2007-03-25 - 2007-03-31
169,2.73333333333,2007-04-01 - 2007-04-07
170,2.58064516129,2007-04-08 - 2007-04-14
171,2.375,2007-04-15 - 2007-04-21
172,2.6875,2007-04-22 - 2007-04-28
