,Interest,Week
0,1.95833333333,2004-01-04 - 2004-01-10
1,1.8431372549,2004-01-11 - 2004-01-17
2,1.88235294118,2004-01-18 - 2004-01-24
3,1.78846153846,2004-01-25 - 2004-01-31
4,1.76363636364,2004-02-01 - 2004-02-07
5,1.74074074074,2004-02-08 - 2004-02-14
6,1.72222222222,2004-02-15 - 2004-02-21
7,1.81818181818,2004-02-22 - 2004-02-28
8,1.69491525424,2004-02-29 - 2004-03-06
9,1.60344827586,2004-03-07 - 2004-03-13
10,1.79245283019,2004-03-14 - 2004-03-20
11,1.68518518519,2004-03-21 - 2004-03-27
12,1.81132075472,2004-03-28 - 2004-04-03
13,1.74074074074,2004-04-04 - 2004-04-10
14,1.64285714286,2004-04-11 - 2004-04-17
15,1.74074074074,2004-04-18 - 2004-04-24
16,1.77777777778,2004-04-25 - 2004-05-01
17,1.81132075472,2004-05-02 - 2004-05-08
18,1.82352941176,2004-05-09 - 2004-05-15
19,1.89795918367,2004-05-16 - 2004-05-22
20,1.8125,2004-05-23 - 2004-05-29
21,1.76595744681,2004-05-30 - 2004-06-05
22,1.84782608696,2004-06-06 - 2004-06-12
23,1.76086956522,2004-06-13 - 2004-06-19
24,1.77777777778,2004-06-20 - 2004-06-26
25,1.73333333333,2004-06-27 - 2004-07-03
26,1.75,2004-07-04 - 2004-07-10
27,1.67391304348,2004-07-11 - 2004-07-17
28,1.77777777778,2004-07-18 - 2004-07-24
29,1.77777777778,2004-07-25 - 2004-07-31
30,1.79545454545,2004-08-01 - 2004-08-07
31,1.86046511628,2004-08-08 - 2004-08-14
32,1.79545454545,2004-08-15 - 2004-08-21
33,1.79545454545,2004-08-22 - 2004-08-28
34,1.76086956522,2004-08-29 - 2004-09-04
35,1.80434782609,2004-09-05 - 2004-09-11
36,1.83333333333,2004-09-12 - 2004-09-18
37,1.81632653061,2004-09-19 - 2004-09-25
38,1.83673469388,2004-09-26 - 2004-10-02
39,1.8,2004-10-03 - 2004-10-09
40,1.72549019608,2004-10-10 - 2004-10-16
41,1.81632653061,2004-10-17 - 2004-10-23
42,1.80392156863,2004-10-24 - 2004-10-30
43,1.87755102041,2004-10-31 - 2004-11-06
44,1.75510204082,2004-11-07 - 2004-11-13
45,1.8431372549,2004-11-14 - 2004-11-20
46,1.86666666667,2004-11-21 - 2004-11-27
47,1.87755102041,2004-11-28 - 2004-12-04
48,1.89795918367,2004-12-05 - 2004-12-11
49,1.91111111111,2004-12-12 - 2004-12-18
