,Interest,Week
0,1.875,2004-01-04 - 2004-01-10
1,1.78431372549,2004-01-11 - 2004-01-17
2,1.82352941176,2004-01-18 - 2004-01-24
3,1.76923076923,2004-01-25 - 2004-01-31
4,1.63636363636,2004-02-01 - 2004-02-07
5,1.66666666667,2004-02-08 - 2004-02-14
6,1.5,2004-02-15 - 2004-02-21
7,1.50909090909,2004-02-22 - 2004-02-28
8,1.42372881356,2004-02-29 - 2004-03-06
9,1.44827586207,2004-03-07 - 2004-03-13
10,1.58490566038,2004-03-14 - 2004-03-20
11,1.38888888889,2004-03-21 - 2004-03-27
12,1.50943396226,2004-03-28 - 2004-04-03
13,1.55555555556,2004-04-04 - 2004-04-10
14,1.57142857143,2004-04-11 - 2004-04-17
15,1.51851851852,2004-04-18 - 2004-04-24
16,1.51851851852,2004-04-25 - 2004-05-01
17,1.50943396226,2004-05-02 - 2004-05-08
18,1.58823529412,2004-05-09 - 2004-05-15
19,1.63265306122,2004-05-16 - 2004-05-22
20,1.6875,2004-05-23 - 2004-05-29
21,1.8085106383,2004-05-30 - 2004-06-05
22,1.86956521739,2004-06-06 - 2004-06-12
23,1.80434782609,2004-06-13 - 2004-06-19
24,1.93333333333,2004-06-20 - 2004-06-26
25,1.93333333333,2004-06-27 - 2004-07-03
26,2.06818181818,2004-07-04 - 2004-07-10
27,1.91304347826,2004-07-11 - 2004-07-17
28,2.04444444444,2004-07-18 - 2004-07-24
29,2.0,2004-07-25 - 2004-07-31
30,2.20454545455,2004-08-01 - 2004-08-07
31,2.32558139535,2004-08-08 - 2004-08-14
32,2.20454545455,2004-08-15 - 2004-08-21
33,2.13636363636,2004-08-22 - 2004-08-28
34,1.89130434783,2004-08-29 - 2004-09-04
35,1.82608695652,2004-09-05 - 2004-09-11
36,1.66666666667,2004-09-12 - 2004-09-18
37,1.69387755102,2004-09-19 - 2004-09-25
38,1.83673469388,2004-09-26 - 2004-10-02
39,1.68,2004-10-03 - 2004-10-09
40,1.72549019608,2004-10-10 - 2004-10-16
41,1.73469387755,2004-10-17 - 2004-10-23
42,1.62745098039,2004-10-24 - 2004-10-30
43,1.71428571429,2004-10-31 - 2004-11-06
44,1.59183673469,2004-11-07 - 2004-11-13
45,1.58823529412,2004-11-14 - 2004-11-20
46,1.86666666667,2004-11-21 - 2004-11-27
47,1.55102040816,2004-11-28 - 2004-12-04
48,1.48979591837,2004-12-05 - 2004-12-11
49,1.55555555556,2004-12-12 - 2004-12-18
50,1.68421052632,2004-12-19 - 2004-12-25
51,1.7027027027,2004-12-26 - 2005-01-01
52,1.83720930233,2005-01-02 - 2005-01-08
53,1.91111111111,2005-01-09 - 2005-01-15
54,1.91111111111,2005-01-16 - 2005-01-22
55,1.86666666667,2005-01-23 - 2005-01-29
56,1.91304347826,2005-01-30 - 2005-02-05
57,1.95555555556,2005-02-06 - 2005-02-12
58,1.82608695652,2005-02-13 - 2005-02-19
59,1.78723404255,2005-02-20 - 2005-02-26
60,1.69565217391,2005-02-27 - 2005-03-05
61,1.69565217391,2005-03-06 - 2005-03-12
62,1.76086956522,2005-03-13 - 2005-03-19
63,1.79545454545,2005-03-20 - 2005-03-26
64,1.59090909091,2005-03-27 - 2005-04-02
65,1.6170212766,2005-04-03 - 2005-04-09
66,1.67391304348,2005-04-10 - 2005-04-16
67,1.73913043478,2005-04-17 - 2005-04-23
68,1.78260869565,2005-04-24 - 2005-04-30
69,1.76086956522,2005-05-01 - 2005-05-07
70,1.84090909091,2005-05-08 - 2005-05-14
71,1.95238095238,2005-05-15 - 2005-05-21
72,2.0,2005-05-22 - 2005-05-28
73,2.075,2005-05-29 - 2005-06-04
74,2.125,2005-06-05 - 2005-06-11
75,2.25641025641,2005-06-12 - 2005-06-18
76,2.23076923077,2005-06-19 - 2005-06-25
77,2.44736842105,2005-06-26 - 2005-07-02
78,2.72222222222,2005-07-03 - 2005-07-09
79,2.18421052632,2005-07-10 - 2005-07-16
80,2.21621621622,2005-07-17 - 2005-07-23
81,2.2972972973,2005-07-24 - 2005-07-30
82,2.5,2005-07-31 - 2005-08-06
83,2.48648648649,2005-08-07 - 2005-08-13
84,2.51351351351,2005-08-14 - 2005-08-20
85,2.26315789474,2005-08-21 - 2005-08-27
86,2.10810810811,2005-08-28 - 2005-09-03
87,2.02564102564,2005-09-04 - 2005-09-10
88,1.9,2005-09-11 - 2005-09-17
89,1.9756097561,2005-09-18 - 2005-09-24
90,2.0487804878,2005-09-25 - 2005-10-01
91,1.88372093023,2005-10-02 - 2005-10-08
92,1.92857142857,2005-10-09 - 2005-10-15
93,1.79069767442,2005-10-16 - 2005-10-22
94,1.85714285714,2005-10-23 - 2005-10-29
95,1.92857142857,2005-10-30 - 2005-11-05
96,1.85714285714,2005-11-06 - 2005-11-12
97,1.7619047619,2005-11-13 - 2005-11-19
98,2.05263157895,2005-11-20 - 2005-11-26
99,1.75609756098,2005-11-27 - 2005-12-03
100,1.70731707317,2005-12-04 - 2005-12-10
101,1.66666666667,2005-12-11 - 2005-12-17
102,1.84848484848,2005-12-18 - 2005-12-24
103,1.96551724138,2005-12-25 - 2005-12-31
104,2.17647058824,2006-01-01 - 2006-01-07
105,2.18918918919,2006-01-08 - 2006-01-14
106,2.08108108108,2006-01-15 - 2006-01-21
107,2.02631578947,2006-01-22 - 2006-01-28
108,2.07894736842,2006-01-29 - 2006-02-04
109,2.05263157895,2006-02-05 - 2006-02-11
110,2.0,2006-02-12 - 2006-02-18
111,2.0,2006-02-19 - 2006-02-25
112,1.92307692308,2006-02-26 - 2006-03-04
113,1.92105263158,2006-03-05 - 2006-03-11
114,1.94736842105,2006-03-12 - 2006-03-18
115,1.97368421053,2006-03-19 - 2006-03-25
116,2.0,2006-03-26 - 2006-04-01
117,1.89473684211,2006-04-02 - 2006-04-08
118,2.02702702703,2006-04-09 - 2006-04-15
119,1.91891891892,2006-04-16 - 2006-04-22
